line,english,german,issues,reviewed,replacement
62,Nortah:\nYou can return to the Menagerie at any time to swap out a creature from your party if you'd rather take another one with you instead.,"Nortah:\nDu kannst jederzeit zur Menagerie zurückkehren, um ein Wesen aus deiner Gruppe auszutauschen, falls du lieber ein anderes mitnehmen möchtest.",TERM:Creature->Kreatur,,
68,"Everett:\nAfterward, speak with Rhea the Enchantress. She will teach you how to craft Spell Gems for your creatures to use in battle.","Everett:\nSprich danach mit Rhea der Verzauberin. Sie wird dir beibringen, wie du Zauberedelsteine für deine Kreaturen herstellen kannst, die sie im Kampf einsetzen können.",TERM:Spell Gems->Zaubersteine,,
87,"Sabon:\nHo. Ho. Oh. I can tell by the look in your eye that you're eager to meet with Rhea next. She'll explain all you need to know about Spell Gems. You'll find her in the neighboring room.\n\nGood luck, {PLAYERNAME}!","Sabon:\nHo. Ho. Oh. Ich kann an deinem Blick erkennen, dass du es kaum erwarten kannst, als Nächstes Rhea zu treffen. Sie wird dir alles erklären, was du über Zauber-Edelsteine wissen musst. Du findest sie im Nachbarraum.\n\nViel Glück, {PLAYERNAME}!",TERM:Spell Gems->Zaubersteine,,
88,"Rhea:\nGood day to you, Your Majesty! Are you ready to learn about Spell Gems?","Rhea:\nEinen schönen Tag, Eure Majestät! Seid Ihr bereit, etwas über Zauberedelsteine zu erfahren?",TERM:Spell Gems->Zaubersteine,,
89,"Rhea:\nYour creatures can equip Spell Gems which allow them to cast spells in battle. Each Spell Gem allows you to cast a different spell. For example, a Spell Gem of Fireball enables a creature to cast the Fireball spell.","Rhea:\nDeine Kreaturen können Zauberedelsteine ausrüsten, die ihnen ermöglichen, Zauber im Kampf zu wirken. Jeder Zauberedelstein erlaubt dir, einen anderen Zauber zu wirken. Zum Beispiel ermöglicht ein Zauberedelstein des Feuerballs einer Kreatur, den Feuerball-Zauber zu wirken.",TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
94,"Rhea:\nMuch like Artifacts, Spell Gems also have a Tier. You can [ench_upgradegem] Upgrade your Spell Gems to increase their Tier. At certain Tiers, your Spell Gems will gain a new slot which can be enchanted to give that Spell Gem a new property. These properties change the way the spell works.","Rhea:\nÄhnlich wie Artefakte haben auch Zauberedelsteine eine Stufe. Du kannst deine Zauberedelsteine [ench_upgradegem] Aufwerten, um ihre Stufe zu erhöhen. Bei bestimmten Stufen erhalten deine Zauberedelsteine einen neuen Slot, der verzaubert werden kann, um dem Zauberedelstein eine neue Eigenschaft zu verleihen. Diese Eigenschaften verändern die Wirkungsweise des Zaubers.",TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
208,"Everett:\nWhen you Fuse two creatures together, the offspring inherits both of the original creatures' traits. In addition, its stats will be the average of those of its parents, and its class will be that of the secondary creature.","Everett:\nWenn du zwei Kreaturen miteinander verschmilzt, erbt der Nachkomme die Eigenschaften beider ursprünglichen Kreaturen. Zusätzlich werden seine Werte der Durchschnitt der Werte seiner Eltern sein, und seine Klasse wird die der sekundären Kreatur sein.",TERM:Traits->Merkmale,,
409,"{REALMGODNAME}:\nLet us begin immediately. Deep within the Temple of Lies is a Carbuncle called Vitja. Vitja is a powerful, sorcerous beast who turns Spell Gems into living creatures with her magic. These creatures are known as Gemlings, and it is with their hearts that we may activate the five Nether Orbs.","{REALMGODNAME}:\nLasst uns sofort beginnen. Tief im Tempel der Lügen befindet sich ein Karfunkel namens Vitja. Vitja ist eine mächtige, zauberhafte Bestie, die mit ihrer Magie Zauberedelsteine in lebende Kreaturen verwandelt. Diese Kreaturen werden als Gemlings bezeichnet, und mit ihren Herzen können wir die fünf Nether-Kugeln aktivieren.",TERM:Spell Gems->Zaubersteine,,
411,"(This must be Vitja. True to Aurum's word, the gorgeous beast is surrounded by what appear to be animated Spell Gems - Gemlings, as he called them.)","(Das muss Vitja sein. Genau wie Aurum gesagt hat, ist das prächtige Biest umgeben von dem, was wie animierte Zaubergems aussieht - Gemlinge, wie er sie nannte.)",TERM:Spell Gems->Zaubersteine,,
599,"{REALMGODNAME}:\nOi've been ‘avin' sum rubble wif a certain creature lately. Find ‘im, kill ‘im, and I'll ‘elp ya aahhht. Deal?","{REALMGODNAME}:\nIch 'ab in letzter Zeit Ärger mit 'nem bestimmten Viech. Find's, töt's, und ick 'elf dir. Abgemacht?",TERM:Creature->Kreatur,,
602,"(A short creature who talks funny. So, in summary, it could be any creature in the entire realm. Perfect.)","(Ein kleines Wesen, das seltsam spricht. Also, zusammengefasst, könnte es jedes Wesen im gesamten Reich sein. Perfekt.)",TERM:Creature->Kreatur,,
701,"(As Lucius's final creature falls, he backs away from you with a grimace.)","(Als Lucius' letztes Wesen fällt, weicht er mit einer Grimasse vor dir zurück.)",TERM:Creature->Kreatur,,
