Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_QUESTNAME_NATURALBORNKILLER,,Natural Born Killer,ナチュラル・ボーン・キラー,Geborener Killer,Tueur-né,Asesino Nato,Assassino Nato,Прирождённый убийца,Assassino Nato,天生殺手,天生杀手,타고난 살인자,Urodzony Zabójca,Природжений вбивця,Natuurlijke Moordenaar,Doğuştan Katil
L_QUESTDESC_NATURALBORNKILLER,,Defeat enemies in this Realm to ensure the safety of {CASTLENAME}'s people.,この世界の敵を倒して{CASTLENAME}の民の安全を確保しよう。,"Besiege Feinde in diesem Reich, um die Sicherheit der Bewohner von {CASTLENAME} zu gewährleisten.",Vaincre les ennemis dans ce Royaume pour assurer la sécurité du peuple de {CASTLENAME}.,Derrota a los enemigos en este Reino para garantizar la seguridad de la gente de {CASTLENAME}.,Derrote inimigos neste Reino para garantir a segurança do povo de {CASTLENAME}.,"Победите врагов в этом Мире, чтобы обеспечить безопасность жителей {CASTLENAME}.",Sconfiggi i nemici in questo Regno per garantire la sicurezza della gente di {CASTLENAME}.,在此境界中擊敗敵人，以確保{CASTLENAME}居民的安全。,在这个领域中击败敌人，确保{CASTLENAME}居民的安全。,이 영역에서 적들을 물리쳐 {CASTLENAME}의 사람들의 안전을 보장하세요.,"Pokonaj wrogów w tym Królestwie, aby zapewnić bezpieczeństwo ludności {CASTLENAME}.","Перемагайте ворогів у цьому Світі, щоб забезпечити безпеку жителів {CASTLENAME}.",Versla vijanden in dit Rijk om de veiligheid van de mensen van {CASTLENAME} te waarborgen.,Halkın güvenliğini sağlamak için bu Diyar'daki düşmanları yenin.
L_ITEMREQ_NATURALBORNKILLER,,Enemies Killed,敵を倒した数,Besiegte Feinde,Ennemis Tués,Enemigos Eliminados,Inimigos Derrotados,Убито врагов,Nemici Uccisi,擊殺敵人,已击杀敌人,처치한 적,Zabici wrogowie,Вбито ворогів,Vijanden Gedood,Öldürülen Düşmanlar
"L_QUESTNAME_NEEDAPENNY,TAKEAPENNY",,"Need a Penny, Take a Penny",必要なら小銭を取って,"Brauchst du einen Pfennig, nimm einen Pfennig","Besoin d'un Sou, Prenez un Sou","Necesitas un Centavo, Toma un Centavo","Precisa de um Centavo, Pegue um Centavo","Нужна копейка, возьми копейку","Hai bisogno di un centesimo, prendi un centesimo",需要銅板，拿一枚銅板,需要一分钱，拿一分钱,"페니가 필요하면, 페니를 가져가세요","Potrzebujesz Grosza, Weź Grosza","Потрібна копійка, візьми копійку","Een Cent Nodig, Neem een Cent","Bir Kuruşa İhtiyacın Varsa, Bir Kuruş Al"
"L_QUESTDESC_NEEDAPENNY,TAKEAPENNY",,Collect coins in this Realm to bolster {CASTLENAME}'s economy.,このレルムでコインを集めて{CASTLENAME}の経済を強化しましょう。,"Sammle Münzen in diesem Reich, um die Wirtschaft von {CASTLENAME} zu stärken.",Collectez des pièces dans ce Royaume pour renforcer l'économie de {CASTLENAME}.,Recoge monedas en este Reino para reforzar la economía de {CASTLENAME}.,Colete moedas neste Reino para fortalecer a economia de {CASTLENAME}.,"Собирайте монеты в этом Мире, чтобы укрепить экономику {CASTLENAME}.",Raccogli monete in questo Regno per rafforzare l'economia di {CASTLENAME}.,在這個境界中收集金幣以增強{CASTLENAME}的經濟。,在这个领域中收集金币以增强{CASTLENAME}的经济。,이 영역에서 코인을 모아 {CASTLENAME}의 경제를 강화하세요.,"Zbieraj monety w tym Królestwie, aby wzmocnić gospodarkę {CASTLENAME}.","Збирайте монети в цьому Світі, щоб зміцнити економіку {CASTLENAME}.",Verzamel munten in dit Rijk om de economie van {CASTLENAME} te versterken.,Bu Diyar'da {CASTLENAME}'in ekonomisini güçlendirmek için para topla.
"L_ITEMREQ_NEEDAPENNY,TAKEAPENNY",,Coins Collected,コイン獲得数,Gesammelte Münzen,Pièces Collectées,Monedas Recolectadas,Moedas Coletadas,Собрано монет,Monete Raccolte,已收集金幣,已收集金币,획득한 코인,Zebrane Monety,Зібрані монети,Munten Verzameld,Toplanan Paralar
L_QUESTNAME_THEROBESOFFTHEIRBACKS,,The Robes Off Their Backs,奪い取った衣,Die Roben von ihren Rücken,Les Robes de Leurs Dos,Las Túnicas de Sus Espaldas,As Vestes de Suas Costas,Одежда С Их Плеч,Le Vesti Strappate di Dosso,剝奪他們的長袍,夺取长袍,그들의 등에서 벗겨낸 로브,Szaty z Ich Pleców,Роби З Їхніх Спин,De Gewaden Van Hun Rug,Sırtlarından Cübbelerini Almak
L_QUESTDESC_THEROBESOFFTHEIRBACKS,,Collect robes in this Realm to clothe {CASTLENAME}'s apprentice magi.,この世界でローブを集めて、{CASTLENAME}の見習い魔道士たちに服を着せよう。,"Sammle Roben in diesem Reich, um die Zauberlehrlinge von {CASTLENAME} zu kleiden.",Collectez des robes dans ce Royaume pour vêtir les apprentis mages de {CASTLENAME}.,Recolecta túnicas en este Reino para vestir a los magos aprendices de {CASTLENAME}.,Colete mantos neste Reino para vestir os magos aprendizes de {CASTLENAME}.,"Собирайте мантии в этом Мире, чтобы одеть учеников-магов {CASTLENAME}.",Raccogli tuniche in questo Regno per vestire i maghi apprendisti di {CASTLENAME}.,在這個境界中收集長袍，為{CASTLENAME}的見習法師們提供衣物。,在这个领域中收集长袍，为{CASTLENAME}的见习法师们提供衣物。,이 영역에서 로브를 모아 {CASTLENAME}의 견습 마법사들에게 입힐 옷을 마련하세요.,"Zbieraj szaty w tym Królestwie, aby ubrać uczniów magów z {CASTLENAME}.","Зберіть мантії в цьому Світі, щоб одягнути учнів-магів {CASTLENAME}.",Verzamel gewaden in dit Rijk om de leerling-magiërs van {CASTLENAME} te kleden.,Bu Diyar'da {CASTLENAME}'nin çırak büyücülerini giydirmek için cüppeler topla.
L_ITEMREQ_THEROBESOFFTHEIRBACKS,,Robes Collected,ローブ収集済み,Gesammelte Roben,Robes Collectées,Túnicas Recolectadas,Mantos Coletados,Собранные мантии,Tuniche Raccolte,長袍收集數,已收集长袍,로브 수집됨,Zebrane Szaty,Зібрані мантії,Gewaden Verzameld,Toplanan Cübbeler
L_QUESTNAME_PELTEDWITHGIFTS,,Pelted With Gifts,贈り物の嵐,Mit Geschenken überhäuft,Pelté de Cadeaux,Bombardeado Con Regalos,Bombardeado Com Presentes,Осыпанный Подарками,Tempestato di Regali,禮物雨,以皮为礼,선물 세례,Obsypany Prezentami,Закидані Подарунками,Overladen Met Geschenken,Hediyeye Boğulmak
L_QUESTDESC_PELTEDWITHGIFTS,,Collect pelts in this Realm to clothe {CASTLENAME}'s citizens.,この世界で毛皮を集めて{CASTLENAME}の市民に衣服を提供しよう。,"Sammle Felle in diesem Reich, um die Bürger von {CASTLENAME} zu kleiden.",Collectez des peaux dans ce Royaume pour vêtir les citoyens de {CASTLENAME}.,Recolecta pieles en este Reino para vestir a los ciudadanos de {CASTLENAME}.,Colete peles neste Reino para vestir os cidadãos de {CASTLENAME}.,"Собирайте шкуры в этом Мире, чтобы одеть жителей {CASTLENAME}.",Raccogli pelli in questo Regno per vestire i cittadini di {CASTLENAME}.,在這個境界中收集毛皮，為{CASTLENAME}的居民提供衣物。,在这个领域中收集毛皮，为{CASTLENAME}的居民提供衣物。,이 영역에서 모피를 모아 {CASTLENAME}의 시민들에게 옷을 제공하세요.,"Zbieraj skóry w tym Królestwie, aby ubrać obywateli {CASTLENAME}.","Збирайте шкури в цьому Світі, щоб одягнути жителів {CASTLENAME}.",Verzamel huiden in dit Rijk om de burgers van {CASTLENAME} te kleden.,Bu Diyar'da {CASTLENAME} vatandaşlarını giydirmek için postlar topla.
L_ITEMREQ_PELTEDWITHGIFTS,,Pelts Collected,収集した毛皮,Gesammelte Felle,Peaux Récoltées,Pieles Recolectadas,Peles Coletadas,Собранные шкуры,Pellicce Raccolte,已收集的獸皮,已收集毛皮,수집한 모피,Zebrane Skóry,Зібрані шкури,Verzamelde Huiden,Toplanan Postlar
L_QUESTNAME_CALLTOARMS,,Call to Arms,武器を取れ,Ruf zu den Waffen,Appel aux Armes,Llamada a las Armas,Chamado às Armas,Призыв к оружию,Chiamata alle Armi,集結號令,武装号召,출진 명령,Wezwanie do Broni,Заклик до зброї,Oproep te Wapen,Silahlanma Çağrısı
L_QUESTDESC_CALLTOARMS,,Recruit knights from this Realm to guard {CASTLENAME}.,この世界から騎士を募集して{CASTLENAME}を守らせよう。,"Rekrutiere Ritter aus diesem Reich, um {CASTLENAME} zu bewachen.",Recrutez des chevaliers de ce Royaume pour protéger {CASTLENAME}.,Recluta caballeros de este Reino para proteger {CASTLENAME}.,Recrute cavaleiros deste Reino para proteger {CASTLENAME}.,Нанимайте рыцарей из этого Королевства для охраны {CASTLENAME}.,Recluta cavalieri da questo Regno per proteggere {CASTLENAME}.,從這個境地招募騎士來守衛{CASTLENAME}。,在这个领域中招募骑士来守卫{CASTLENAME}。,이 왕국에서 기사를 모집하여 {CASTLENAME}을(를) 지키게 하세요.,"Rekrutuj rycerzy z tego Królestwa, aby strzegli {CASTLENAME}.",Наймайте лицарів з цього Королівства для охорони {CASTLENAME}.,Rekruteer ridders uit dit Rijk om {CASTLENAME} te bewaken.,Bu Diyar'dan {CASTLENAME} korumak için şövalyeler topla.
L_ITEMREQ_CALLTOARMS,,Knights Recruited,騎士を雇用した,Rekrutierte Ritter,Chevaliers Recrutés,Caballeros Reclutados,Cavaleiros Recrutados,Рыцари Завербованы,Cavalieri Reclutati,招募的騎士,已招募骑士,기사 모집됨,Zrekrutowani Rycerze,Лицарі Завербовані,Ridders Gerekruteerd,Şövalyeler Alındı
L_QUESTNAME_CITIZENSOFAGROWINGEMPIRE,,Citizens of a Growing Empire,成長する帝国の市民,Bürger eines wachsenden Reiches,Citoyens d'un Empire Grandissant,Ciudadanos de un Imperio en Crecimiento,Cidadãos de um Império em Crescimento,Граждане растущей империи,Cittadini di un Impero in Crescita,成長中帝國的公民,日益壮大的帝国居民,성장하는 제국의 시민들,Obywatele Rosnącego Imperium,Громадяни Зростаючої Імперії,Burgers van een Groeiend Rijk,Büyüyen Bir İmparatorluğun Vatandaşları
L_QUESTDESC_CITIZENSOFAGROWINGEMPIRE,,Recruit citizens from this Realm to populate {CASTLENAME}.,この王国から市民を募集して{CASTLENAME}に住まわせましょう。,"Rekrutiere Bürger aus diesem Reich, um {CASTLENAME} zu bevölkern.",Recrutez des citoyens de ce Royaume pour peupler {CASTLENAME}.,Recluta ciudadanos de este Reino para poblar {CASTLENAME}.,Recrute cidadãos deste Reino para povoar {CASTLENAME}.,Нанимайте граждан из этого Королевства для заселения {CASTLENAME}.,Recluta cittadini da questo Regno per popolare {CASTLENAME}.,招募此境界的居民來充實{CASTLENAME}。,在这个领域中招募居民来增加{CASTLENAME}的人口。,이 영역에서 시민들을 모집하여 {CASTLENAME}에 정착시키세요.,"Rekrutuj obywateli z tego Królestwa, aby zaludnić {CASTLENAME}.",Набирайте громадян з цього Королівства для заселення {CASTLENAME}.,Rekruteer burgers uit dit Rijk om {CASTLENAME} te bevolken.,Bu Diyar'dan vatandaşları {CASTLENAME} nüfusuna katılmak için işe al.
L_ITEMREQ_CITIZENSOFAGROWINGEMPIRE,,Citizens Recruited,市民を勧誘した,Rekrutierte Bürger,Citoyens Recrutés,Ciudadanos Reclutados,Cidadãos Recrutados,Граждане Завербованы,Cittadini Reclutati,招募市民,已招募居民,시민 모집됨,Zrekrutowani Obywatele,Громадяни Завербовані,Burgers Gerekruteerd,Vatandaşlar Alındı
