Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_PROJN_BLACKSMITH_RANK_2,,Blacksmith (Rank 2),鍛冶屋（ランク2）,Schmied (Rang 2),Forgeron (Rang 2),Herrero (Rango 2),Ferreiro (Nível 2),Кузнец (Ранг 2),Fabbro (Grado 2),鐵匠（等級 2）,铁匠（等级2）,대장장이 (등급 2),Kowal (Ranga 2),Коваль (Ранг 2),Smid (Rang 2),Demirci (Rütbe 2)
L_PROJD_BLACKSMITH_RANK_2,,Allows you to upgrade your Artifacts even further.,アーティファクトをさらに強化することができます。,"Ermöglicht es dir, deine Artefakte noch weiter zu verbessern.",Vous permet d'améliorer vos Artéfacts encore davantage.,Te permite mejorar tus Artefactos aún más.,Permite que você aprimore seus Artefatos ainda mais.,Позволяет улучшать ваши Артефакты еще сильнее.,Ti permette di potenziare ulteriormente i tuoi Artefatti.,讓你能夠進一步強化你的神器。,允许你进一步给神器升阶。,유물을 더욱 강화할 수 있게 해줍니다.,Pozwala na jeszcze dalsze ulepszanie twoich Artefaktów.,Дозволяє вдосконалювати ваші Артефакти ще більше.,Hiermee kun je je Artefacten nog verder upgraden.,Eserlerini daha da yükseltmene olanak tanır.
L_PROJN_BLACKSMITH_RANK_3,,Blacksmith (Rank 3),鍛冶屋（ランク3）,Schmied (Rang 3),Forgeron (Rang 3),Herrero (Rango 3),Ferreiro (Nível 3),Кузнец (Ранг 3),Fabbro (Grado 3),鐵匠（等級 3）,铁匠（等级3）,대장장이 (3등급),Kowal (Ranga 3),Коваль (Ранг 3),Smid (Rang 3),Demirci (Rütbe 3)
L_PROJD_BLACKSMITH_RANK_3,,Allows you to upgrade your Artifacts even further.,アーティファクトをさらに強化することができます。,"Ermöglicht es dir, deine Artefakte noch weiter zu verbessern.",Vous permet d'améliorer vos Artéfacts encore davantage.,Te permite mejorar tus Artefactos aún más.,Permite que você aprimore seus Artefatos ainda mais.,Позволяет улучшать ваши Артефакты еще сильнее.,Ti permette di potenziare ulteriormente i tuoi Artefatti.,讓你能夠進一步強化你的神器。,允许你进一步给神器升阶。,유물을 더욱 강화할 수 있게 해줍니다.,Pozwala na jeszcze dalsze ulepszanie twoich Artefaktów.,Дозволяє вдосконалювати ваші Артефакти ще більше.,Hiermee kun je je Artefacten nog verder upgraden.,Eserlerini daha da yükseltmene olanak tanır.
L_PROJN_BLACKSMITH_RANK_4,,Blacksmith (Rank 4),鍛冶屋（ランク4）,Schmied (Rang 4),Forgeron (Rang 4),Herrero (Rango 4),Ferreiro (Nível 4),Кузнец (Ранг 4),Fabbro (Grado 4),鐵匠（等級 4）,铁匠（等级4）,대장장이 (랭크 4),Kowal (Ranga 4),Коваль (Ранг 4),Smid (Rang 4),Demirci (Rütbe 4)
L_PROJD_BLACKSMITH_RANK_4,,Allows you to upgrade your Artifacts even further.,アーティファクトをさらに強化することができます。,"Ermöglicht es dir, deine Artefakte noch weiter zu verbessern.",Vous permet d'améliorer vos Artéfacts encore davantage.,Te permite mejorar tus Artefactos aún más.,Permite que você aprimore seus Artefatos ainda mais.,Позволяет улучшать ваши Артефакты еще сильнее.,Ti permette di potenziare ulteriormente i tuoi Artefatti.,讓你能夠進一步強化你的神器。,允许你进一步给神器升阶。,유물을 더욱 강화할 수 있게 해줍니다.,Pozwala na jeszcze dalsze ulepszanie twoich Artefaktów.,Дозволяє вдосконалювати ваші Артефакти ще більше.,Hiermee kun je je Artefacten nog verder upgraden.,Eserlerini daha da yükseltmene olanak tanır.
L_PROJN_BLACKSMITH_RANK_5,,Blacksmith (Rank 5),鍛冶屋（ランク5）,Schmied (Rang 5),Forgeron (Rang 5),Herrero (Rango 5),Ferreiro (Nível 5),Кузнец (Ранг 5),Fabbro (Grado 5),鐵匠（等級 5）,铁匠（等级5）,대장장이 (랭크 5),Kowal (Ranga 5),Коваль (Ранг 5),Smid (Rang 5),Demirci (Rütbe 5)
L_PROJD_BLACKSMITH_RANK_5,,Allows you to upgrade your Artifacts even further.,アーティファクトをさらに強化することができます。,"Ermöglicht es dir, deine Artefakte noch weiter zu verbessern.",Vous permet d'améliorer vos Artéfacts encore davantage.,Te permite mejorar tus Artefactos aún más.,Permite que você aprimore seus Artefatos ainda mais.,Позволяет улучшать ваши Артефакты еще сильнее.,Ti permette di potenziare ulteriormente i tuoi Artefatti.,讓你能夠進一步強化你的神器。,允许你进一步给神器升阶。,유물을 더욱 강화할 수 있게 해줍니다.,Pozwala na jeszcze dalsze ulepszanie twoich Artefaktów.,Дозволяє вдосконалювати ваші Артефакти ще більше.,Hiermee kun je je Artefacten nog verder upgraden.,Eserlerini daha da yükseltmene olanak tanır.
L_PROJN_ENCHANTER_RANK_2,,Enchanter (Rank 2),エンチャンター（ランク2）,Verzauberer (Rang 2),Enchanteur (Rang 2),Encantador (Rango 2),Encantador (Nível 2),Чародей (Ранг 2),Incantatore (Grado 2),附魔師（等級 2）,附魔师（等级2）,마법부여사 (2등급),Zaklinacz (Ranga 2),Чарівник (Ранг 2),Bezweerder (Rang 2),Büyücü (Rütbe 2)
L_PROJD_ENCHANTER_RANK_2,,Allows you to upgrade your Spell Gems even further.,魔石をさらに強化することができます。,"Ermöglicht es dir, deine Zauber-Edelsteine noch weiter zu verbessern.",Vous permet d'améliorer vos Gemmes de Sort encore davantage.,Te permite mejorar aún más tus Gemas de Hechizo.,Permite que você aprimore suas Gemas de Feitiço ainda mais.,Позволяет улучшить ваши Камни Заклинаний еще сильнее.,Ti permette di potenziare ulteriormente le tue Gemme Incantesimo.,讓你能夠進一步強化你的法術寶石。,允许你进一步给法术宝石升阶。,주문 보석을 더욱 강화할 수 있게 해줍니다.,Pozwala na jeszcze dalsze ulepszanie Klejnotów Zaklęć.,Дозволяє вдосконалювати ваші Магічні Самоцвіти ще більше.,Hiermee kun je je Spreukstenen nog verder upgraden.,Büyü Taşlarını daha da yükseltmene olanak tanır.
L_PROJN_ENCHANTER_RANK_3,,Enchanter (Rank 3),エンチャンター（ランク3）,Verzauberer (Rang 3),Enchanteur (Rang 3),Encantador (Rango 3),Encantador (Nível 3),Чародей (Ранг 3),Incantatore (Grado 3),附魔師（等級 3）,附魔师（等级3）,마법부여사 (3등급),Zaklinacz (Ranga 3),Чарівник (Ранг 3),Bezweerder (Rang 3),Büyücü (Seviye 3)
