Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_DEC_TRIBUTETOLISTER,,Tribute to Lister,リスターへの賛辞,Tribut an Lister,Hommage à Lister,Tributo a Lister,Tributo a Lister,Дань Листеру,Tributo a Lister,向李斯特致敬,利斯特的进贡祭坛,리스터에게 바치는 헌사,Hołd dla Listera,Данина Лістеру,Eerbetoon aan Lister,Lister'a Saygı
L_DEC_LISTER'SBANNER,,Lister's Banner,リスターの旗印,Listers Banner,Bannière de Lister,Estandarte de Lister,Estandarte de Lister,Знамя Листера,Vessillo di Lister,李斯特的旗幟,利斯特的旗帜,리스터의 깃발,Sztandar Listera,Прапор Лістера,Lister's Banier,Lister'ın Sancağı
L_DEC_LISTER'SBIGRUG,,Lister's Big Rug,リスターの大きな絨毯,Listers großer Teppich,Tapis Géant de Lister,Alfombra Grande de Lister,Tapete Grande de Lister,Большой Ковер Листера,Tappeto Grande di Lister,李斯特的大地毯,利斯特的大地毯,리스터의 큰 러그,Wielki Dywan Listera,Великий Килим Лістера,Lister's Grote Tapijt,Lister'ın Büyük Halısı
L_DEC_LISTER'STIKITORCH,,Lister's Tiki Torch,リスターのティキトーチ,Listers Tiki-Fackel,Torche Tiki de Lister,Antorcha Tiki de Lister,Tocha Tiki de Lister,Факел Тики Листера,Torcia Tiki di Lister,李斯特的提基火炬,利斯特的提基火把,리스터의 티키 토치,Pochodnia Tiki Listera,Факел Тікі Лістера,Tiki-fakkel van Lister,Lister'ın Tiki Meşalesi
L_DEC_LISTER'SCHAIR,,Lister's Chair,リスターの椅子,Listers Stuhl,Chaise de Lister,Silla de Lister,Cadeira de Lister,Кресло Листера,Sedia di Lister,李斯特的椅子,利斯特的椅子,리스터의 의자,Krzesło Listera,Крісло Лістера,Listers Stoel,Lister'ın Sandalyesi
L_DEC_LISTER'SPILLAR,,Lister's Pillar,リスターの柱,Listers Säule,Pilier de Lister,Pilar de Lister,Pilar de Lister,Столп Листера,Pilastro di Lister,李斯特之柱,利斯特的柱子,리스터의 기둥,Filar Listera,Стовп Лістера,Lister's Pilaar,Lister'ın Sütunu
L_DEC_LISTER'SLONGRUG,,Lister's Long Rug,リスターの長い絨毯,Listers langer Teppich,Tapis Long de Lister,Alfombra Larga de Lister,Tapete Comprido de Lister,Длинный ковёр Листера,Tappeto Lungo di Lister,李斯特的長地毯,利斯特的长地毯,리스터의 긴 러그,Długi Dywan Listera,Довгий килим Лістера,Listers Lange Tapijt,Lister'ın Uzun Halısı
L_DEC_GLITTERINGGREEN,,Glittering Green,輝く緑,Glitzerndes Grün,Vert Scintillant,Verde Resplandeciente,Verde Cintilante,Сверкающая Зелень,Verde Scintillante,閃爍綠光,闪耀绿,반짝이는 초록색,Lśniąca Zieleń,Мерехтливий Зелений,Glinsterende Groen,Parlayan Yeşil
L_DEC_FARAWAYSUNSET,,Faraway Sunset,遥かなる夕陽,Ferner Sonnenuntergang,Crépuscule Lointain,Ocaso Lejano,Pôr do Sol Distante,Далёкий Закат,Tramonto Lontano,遙遠的落日,遥远日落,머나먼 노을,Odległy Zachód Słońca,Далекий Захід Сонця,Verre Zonsondergang,Uzak Günbatımı
L_DEC_BEACHGRASS,,Beach Grass,浜草,Strandgras,Herbe de plage,Hierba de Playa,Grama de Praia,Пляжная трава,Erba di Spiaggia,海灘草,海滩草,해변 풀,Trawa Plażowa,Пляжна трава,Strandgras,Sahil Çimeni
