line,english,german,issues,reviewed,replacement
168,"Banshees have access to empowered versions of different Spell Gems. If you don't manage to seal their gems early on in battle, you'll be sorry!\n\nWith that said, it's time to du-du-du-du-du-duel!","Banshees haben Zugang zu verstärkten Versionen verschiedener Zauber-Edelsteine. Wenn es dir nicht gelingt, ihre Edelsteine früh im Kampf zu versiegeln, wirst du es bereuen!\n\nDas gesagt, ist es Zeit zu du-du-du-du-du-duellieren!",TERM:Spell Gems->Zaubersteine,,
177,"Centaurs tend to shy away from spellcasting in favor of strong melee attacks - which is great, since that means I don't ever have to worry about my creatures' Spell Gems running out of Charges! Think you've got what it takes to bring me down?","Zentauren neigen dazu, dem Zauberwirken aus dem Weg zu gehen und bevorzugen stattdessen starke Nahkampfangriffe - was großartig ist, denn das bedeutet, dass ich mir nie Sorgen machen muss, dass die Zauberedelsteine meiner Kreaturen keine Ladungen mehr haben! Glaubst du, du hast was es braucht, um mich zu besiegen?",TERM:Spell Gems->Zaubersteine,,
178,"Cerberuses... Cerberi? Hmmm.\n\nAnyway, my creatures may not be able to cast spells through traditional means, but that doesn't mean they can't make use of their Spell Gems for other purposes. Allow me to demonstrate!","Zerberusse... Zerberi? Hmmm.\n\nWie auch immer, meine Kreaturen mögen zwar keine Zauber auf herkömmliche Weise wirken können, aber das bedeutet nicht, dass sie ihre Zaubergems nicht für andere Zwecke nutzen können. Lass mich das demonstrieren!",TERM:Spell Gems->Zaubersteine,,
182,Crunchers like to eat Spell Gems. That's bad news for your creatures who rely on casting spells rather than using standard attacks. Think you've got what it takes to beat me?,"Knirscher fressen gerne Zauber-Edelsteine. Das sind schlechte Nachrichten für deine Kreaturen, die sich auf das Wirken von Zaubern verlassen, anstatt Standardangriffe zu nutzen. Glaubst du, du hast das Zeug dazu, mich zu besiegen?",TERM:Spell Gems->Zaubersteine,,
185,Demigods are manipulative creatures that mold their friends and foes to suit their needs. Why don't we have a quick duel so I can show you how they work?,"Halbgötter sind manipulative Wesen, die ihre Freunde und Feinde nach ihren Bedürfnissen formen. Wie wäre es mit einem schnellen Duell, damit ich dir zeigen kann, wie sie funktionieren?",TERM:Creatures->Kreaturen,,
198,Familiars are studious creatures who work together for a common cause - often in an effort to better their own research. Familiars are always looking for new ways to power up their spells. Care to see firsthand what they've learned recently?,"Vertraute sind fleißige Wesen, die für eine gemeinsame Sache zusammenarbeiten - oft mit dem Ziel, ihre eigene Forschung zu verbessern. Vertraute sind stets auf der Suche nach neuen Wegen, ihre Zauber zu verstärken. Möchtest du aus erster Hand sehen, was sie kürzlich gelernt haben?",TERM:Creatures->Kreaturen,,
203,Gemlings are as strong as they are gorgeous. They can power up your other creatures' Spell Gems to make them a force to be reckoned with. Let me show you in a duel!,"Gemlings sind so stark wie sie schön sind. Sie können die Zauber-Edelsteine deiner anderen Kreaturen verstärken und sie zu einer Macht machen, mit der man rechnen muss. Lass mich dir das in einem Duell zeigen!",TERM:Spell Gems->Zaubersteine,,
209,Grimoires are great for powering up certain Spell Gems to make them even stronger yet. Care to see what I mean? Let's duel!,"Grimoires sind hervorragend, um bestimmte Zauberedelsteine noch stärker zu machen. Willst du sehen, was ich meine? Lass uns duellieren!",TERM:Spell Gems->Zaubersteine,,
244,"Rift Dancers are some of the most graceful creatures in existence. Their unique dances empower their allies, granting them powerful boons that can turn the tide of battle. Let's see if you can stand up against my Rift Dancer army!","Rift-Tänzer gehören zu den anmutigsten Wesen, die existieren. Ihre einzigartigen Tänze stärken ihre Verbündeten und gewähren ihnen mächtige Segen, die den Verlauf einer Schlacht wenden können. Mal sehen, ob du gegen meine Rift-Tänzer-Armee bestehen kannst!",TERM:Creatures->Kreaturen,,
254,"When you hear the name ""Siren"", don't you think of some beautiful, mermaid-like creature that middle-aged weirdos would fawn over? Well, you won't find them like that in Rodia. Nope, no sir. Sirens are actually some of the ugliest little guys in the whole world. Here - see for yourself!","Wenn du den Namen ""Sirene"" hörst, denkst du nicht an ein wunderschönes, meerjungfrauenähnliches Wesen, über das seltsame Männer mittleren Alters schwärmen würden? Nun, in Rodia wirst du sie nicht so finden. Nein, auf keinen Fall. Sirenen sind tatsächlich einige der hässlichsten kleinen Kerle in der ganzen Welt. Hier - überzeug dich selbst!",TERM:Creature->Kreatur,,
264,"Stags are the only creatures in Rodia that have the ability to unlock the true potential of Spell Gems. If you think you can stand up against my army of spellcasters, then let's have ourselves a duel!","Hirsche sind die einzigen Kreaturen in Rodia, die die Fähigkeit besitzen, das wahre Potenzial der Zauberedelsteine freizusetzen. Wenn du glaubst, dass du gegen meine Armee von Zauberkundigen bestehen kannst, dann lass uns ein Duell austragen!",TERM:Spell Gems->Zaubersteine,,
271,Valkyries are well-rounded creatures that live to keep their allies safe from harm. Let's see if you can break down my defenses in a duel!,"Walküren sind vielseitige Wesen, die dafür leben, ihre Verbündeten vor Schaden zu bewahren. Mal sehen, ob du in einem Duell meine Verteidigung durchbrechen kannst!",TERM:Creatures->Kreaturen,,
