Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_D_BOSS_DENIZEN_1,,"(As you step closer to the treasure, a trail of saltwater slithers across the floor followed by the sloshing steps of a Denizen crawling forth from the shadows. It gurgles something in a forgotten tongue, then attacks!)",宝物に近づくと、床に海水の跡が蛇行し、続いて影から這い出てくるデニズンの水音が聞こえる。それは忘れられた言語で何かをごぼごぼと発し、そして襲いかかってくる！,"Als du dich dem Schatz näherst, schlängelt sich eine Spur von Salzwasser über den Boden, gefolgt von den platschenden Schritten eines Bewohners, der aus den Schatten kriecht. Es gurgelt etwas in einer vergessenen Sprache und greift dann an!","Alors que vous vous approchez du trésor, une traînée d'eau salée serpente sur le sol, suivie par les pas clapotants d'un Habitant rampant hors des ombres. Il gargouille quelque chose dans une langue oubliée, puis attaque !","Al acercarte al tesoro, un rastro de agua salada se desliza por el suelo seguido por los pasos chapoteantes de un Morador que emerge arrastrándose desde las sombras. Gorgotea algo en una lengua olvidada, ¡y luego ataca!","Ao se aproximar do tesouro, um rastro de água salgada serpenteia pelo chão, seguido pelos passos encharcados de um Habitante rastejando das sombras. Ele gorgoleja algo em uma língua esquecida e então ataca!","Когда вы приближаетесь к сокровищу, по полу ползёт струйка солёной воды, за которой следуют хлюпающие шаги Обитателя, выползающего из теней. Он бормочет что-то на забытом языке, а затем нападает!","Mentre ti avvicini al tesoro, una scia d'acqua salata striscia sul pavimento seguita dai passi fradici di un Abitante che avanza strisciando dall'ombra. Gorgoglia qualcosa in una lingua dimenticata, poi attacca!",當你走近寶藏時，一道鹽水痕跡在地板上蜿蜒爬行，隨後是一個從陰影中爬出的居民發出的濺水腳步聲。它用一種被遺忘的語言咕嚕著什麼，然後發動攻擊！,（当你走近宝藏时，你注意到地面上有一道蜿蜒的咸水痕迹，潮湿的脚步声在身后响起。海民的身影从阴影中浮现，它用一种被遗忘的语言咕哝着什么，然后发起了攻击！）,"(보물에 가까이 다가가자, 바닷물 자국이 바닥을 가로질러 기어가고 그 뒤로 그림자에서 기어 나오는 거주자의 철벅거리는 발소리가 들립니다. 그것은 잊혀진 언어로 무언가를 꿀꺽거리더니, 공격해 옵니다!)","(Gdy podchodzisz bliżej do skarbu, strużka słonej wody pełznie po podłodze, a za nią rozlega się chlupot kroków Mieszkańca wypełzającego z cieni. Bulgocze coś w zapomnianym języku, po czym atakuje!)","(Коли ви підходите ближче до скарбу, слід солоної води звивається по підлозі, а за ним чуються хлюпаючі кроки Мешканця, що виповзає з тіней. Він булькоче щось забутою мовою, а потім атакує!)","Terwijl je dichter bij de schat komt, kronkelt een spoor van zout water over de vloer, gevolgd door de klotsende voetstappen van een Bewoner die uit de schaduwen tevoorschijn kruipt. Het gorgelt iets in een vergeten taal, en valt dan aan!","(Hazineye yaklaştıkça, zeminde bir tuzlu su izi kıvrılıyor, ardından gölgelerden sürünerek çıkan bir Sakinin şapırtılı adımları geliyor. Unutulmuş bir dilde bir şeyler gargara yapıyor, sonra saldırıyor!)"
L_D_BOSS_DENIZEN_2,,"(The Denizen lurches from its murky pool with a hollow, bubbling shriek. Several others rise behind it, eyes glowing dimly like dying embers beneath the waves. You've interrupted their vigil, and now you'll pay the ultimate price.)",住人は濁った水たまりからよろめき出て、空洞の泡立つ悲鳴を上げる。他の数体も後ろから現れ、目は波の下で消えかけた残り火のように薄暗く光っている。あなたは彼らの見張りを邪魔してしまった。そして今、最大の代償を払うことになる。,"Der Bewohner taumelt mit einem hohlen, blubbernden Schrei aus seinem trüben Tümpel. Mehrere andere erheben sich hinter ihm, ihre Augen glimmen schwach wie sterbende Glut unter den Wellen. Du hast ihre Totenwache unterbrochen, und nun wirst du den höchsten Preis bezahlen.","Le Résident se redresse brusquement de sa mare trouble avec un cri creux et bouillonnant. Plusieurs autres s'élèvent derrière lui, leurs yeux luisant faiblement comme des braises mourantes sous les vagues. Vous avez interrompu leur veille, et maintenant vous en paierez le prix ultime.","El Habitante se tambalea desde su turbia charca con un chillido hueco y burbujeante. Varios más se alzan detrás de él, con ojos que brillan tenuemente como brasas moribundas bajo las olas. Has interrumpido su vigilia, y ahora pagarás el precio máximo.","O Habitante se projeta de sua poça turva com um grito oco e borbulhante. Vários outros se erguem atrás dele, olhos brilhando fracamente como brasas moribundas sob as ondas. Você interrompeu a vigília deles, e agora pagará o preço máximo.","Обитатель выныривает из мутной лужи с пустым, булькающим визгом. Несколько других поднимаются позади него, их глаза тускло светятся, словно угасающие угли под волнами. Вы прервали их бдение, и теперь заплатите высшую цену.","Il Residente si solleva dal suo torbido stagno con un urlo cavo e gorgogliante. Diversi altri si alzano dietro di lui, con occhi che brillano debolmente come braci morenti sotto le onde. Hai interrotto la loro veglia, e ora pagherai il prezzo supremo.",居民從渾濁的水池中猛然晃動而出，發出一聲空洞、冒泡的尖叫。其他幾個也在它身後浮現，眼睛在波浪下如垂死的餘燼般暗淡地發光。你打擾了它們的守夜，現在你將付出最終的代價。,（海民从浑浊的水池中猛地冲出，发出一声空洞的爆鸣。又有几只紧随其后，它们的眼睛在水面下如即将熄灭的余烬般暗淡地发光。你打扰了它们的守夜，现在你将付出代价。）,"거주자가 탁한 웅덩이에서 텅 빈 거품 같은 비명을 지르며 휘청거리며 나타납니다. 그 뒤로 여러 개체가 솟아오르고, 파도 아래에서 꺼져가는 불씨처럼 눈이 희미하게 빛납니다. 당신은 그들의 경계를 방해했고, 이제 최후의 대가를 치르게 될 것입니다.","Mieszkaniec wynurza się ze swojego mętnego basenu z pustym, bulgoczącym wrzaskiem. Kilku innych wznosi się za nim, ich oczy słabo świecą jak dogasające węgle pod falami. Przerwałeś ich czuwanie, a teraz zapłacisz najwyższą cenę.","Мешканець вигинається зі свого каламутного басейну з порожнім, булькаючим вереском. Кілька інших піднімаються позаду нього, очі тьмяно світяться, як вугілля, що догорає під хвилями. Ви перервали їхню варту, і тепер заплатите найвищу ціну.","De Bewoner schokt uit zijn troebele poel met een holle, borrelende kreet. Verschillende anderen rijzen achter hem op, ogen die zwak gloeien als stervende sintels onder de golven. Je hebt hun wake verstoord, en nu zul je de ultieme prijs betalen.","Sakin, balçıklı havuzundan içi boş, kabarcıklı bir çığlıkla sarsılarak yükselir. Arkasında birkaç tane daha yükselir, gözleri dalgaların altında sönmekte olan közler gibi donuk bir şekilde parlıyor. Onların nöbetini böldün ve şimdi en ağır bedeli ödeyeceksin."
L_D_BOSS_DENIZEN_3,,"(A chorus of echoing clicks and wet thuds surrounds you as the Denizens emerge, scaling walls and slinking from unseen crevices. You instinctively step back. Too late. They're already upon you.)",(周囲から反響する無数のカチカチという音と湿った衝撃音が聞こえてくる。壁を這い上がり、見えない隙間から忍び寄るデニズンたちが現れたのだ。思わず後ずさりする。しかし遅すぎた。彼らはすでにあなたに襲いかかっていた。),"(Ein Chor von hallenden Klicklauten und feuchten Aufprallgeräuschen umgibt dich, während die Bewohner auftauchen, Wände erklimmen und aus unsichtbaren Spalten schleichen. Du trittst instinktiv zurück. Zu spät. Sie sind bereits über dir.)","(Un chœur de cliquetis résonnants et de bruits sourds et humides vous entoure tandis que les Habitants émergent, escaladant les murs et se glissant hors de crevasses invisibles. Vous reculez instinctivement. Trop tard. Ils sont déjà sur vous.)","(Un coro de clics resonantes y golpes húmedos te rodea mientras los Moradores emergen, escalando paredes y deslizándose desde grietas invisibles. Instintivamente das un paso atrás. Demasiado tarde. Ya están sobre ti.)","(Um coro de cliques ecoantes e batidas úmidas te rodeia enquanto os Moradores emergem, escalando paredes e esgueirando-se de fendas invisíveis. Você instintivamente recua. Tarde demais. Eles já estão sobre você.)","(Хор эхом разносящихся щелчков и влажных ударов окружает вас, когда появляются Обитатели, карабкаясь по стенам и выскальзывая из невидимых щелей. Вы инстинктивно отступаете. Слишком поздно. Они уже настигли вас.)","(Un coro di echi di scatti e tonfi umidi ti circonda mentre i Residenti emergono, scalando pareti e scivolando da fessure invisibili. Istintivamente fai un passo indietro. Troppo tardi. Ti sono già addosso.)",（一陣迴盪的喀嗒聲和濕黏的撞擊聲環繞著你，隨著居民們出現，攀爬牆壁並從看不見的縫隙中潛行而出。你本能地後退一步。太遲了。他們已經撲向你。）,（回音般的咔哒声与黏腻的闷响在你四周响起。它们现身了——攀附墙壁，从隐蔽的缝隙中钻出。你本能地后退一步，却太迟了。它们已经扑向了你。）,(주민들이 나타나면서 울려 퍼지는 딸깍거리는 소리와 축축한 쿵쿵 소리가 당신을 둘러쌉니다. 그들은 벽을 타고 올라오고 보이지 않는 틈새에서 슬그머니 나옵니다. 당신은 본능적으로 뒤로 물러섭니다. 너무 늦었습니다. 그들은 이미 당신 앞에 있습니다.),"(Otacza cię chór echa kliknięć i mokrych uderzeń, gdy Mieszkańcy wyłaniają się, wspinając po ścianach i wyślizgując z niewidocznych szczelin. Instynktownie cofasz się. Za późno. Już są przy tobie.)","(Хор відлунюючих клацань і вологих ударів оточує вас, коли з'являються Мешканці, видираючись на стіни і прослизаючи з невидимих щілин. Ви інстинктивно відступаєте. Надто пізно. Вони вже на вас.)","(Een koor van echoënde klikken en natte dreunen omringt je terwijl de Bewoners tevoorschijn komen, langs muren klimmen en uit onzichtbare spleten glippen. Je doet instinctief een stap terug. Te laat. Ze zijn je al op het lijf gevallen.)","(Sakinler ortaya çıkarken, duvarları tırmanıp görünmeyen çatlaklardan süzülürken, yankılanan tıklamaların ve ıslak gümbürtülerin korosu sizi çevreler. İçgüdüsel olarak geri adım atarsınız. Çok geç. Çoktan üzerinize geldiler.)"
L_D_BOSS_AMARANTH_1,,"(You have to stop and recollect your bearings momentarily as a bizarre creature suddenly materializes in your path, as if it had always been there. It attacks just as quickly!)",奇妙な生き物が突然あなたの行く手に現れ、まるでずっとそこにいたかのように実体化したため、一瞬立ち止まって状況を把握する必要がある。そしてそれは同じくらい素早く襲いかかってくる！,"(Du musst kurz innehalten und dich sammeln, als plötzlich eine bizarre Kreatur auf deinem Weg erscheint, als wäre sie schon immer dort gewesen. Sie greift genauso schnell an!)","(Vous devez vous arrêter et reprendre vos repères un instant alors qu'une créature bizarre se matérialise soudainement sur votre chemin, comme si elle avait toujours été là. Elle attaque tout aussi rapidement !)","(Tienes que detenerte y recuperar el sentido momentáneamente cuando una criatura extraña se materializa de repente en tu camino, como si siempre hubiera estado allí. ¡Ataca con la misma rapidez!)","(Você precisa parar e recuperar seu equilíbrio momentaneamente quando uma criatura bizarra se materializa subitamente em seu caminho, como se sempre estivesse estado ali. Ela ataca com a mesma rapidez!)","(Вам приходится остановиться и на мгновение собраться с мыслями, когда на вашем пути внезапно материализуется странное существо, словно оно всегда было здесь. Оно атакует так же быстро!)","(Devi fermarti e raccogliere le idee per un momento mentre una creatura bizzarra si materializza improvvisamente sul tuo cammino, come se fosse sempre stata lì. Attacca altrettanto rapidamente!)",（你不得不停下來，暫時重新整理思緒，因為一個奇怪的生物突然出現在你的路徑上，彷彿它一直都在那裡。它立刻發動攻擊！）,（你不得不停下脚步，短暂地定了定神，因为一只诡异的生物突然出现在你的前方，仿佛它一直都在那里。它猛然发动了攻击！）,(갑자기 이상한 생물이 당신의 길에 나타나 마치 항상 그곳에 있었던 것처럼 보여 잠시 정신을 차리고 방향을 가늠해야 합니다. 그것은 곧바로 공격해 옵니다!),"(Musisz się na chwilę zatrzymać i zebrać myśli, gdy dziwaczne stworzenie nagle materializuje się na twojej drodze, jakby zawsze tam było. Atakuje równie szybko!)","(Вам доводиться зупинитися й на мить зібратися з думками, коли дивна істота раптово матеріалізується на вашому шляху, ніби вона завжди там була. Вона атакує так само швидко!)","(Je moet even stoppen en je oriënteren wanneer een vreemd wezen plotseling op je pad verschijnt, alsof het er altijd al was geweest. Het valt net zo snel aan!)","(Tuhaf bir yaratık aniden yolunuzda beliriyor, sanki hep oradaymış gibi, ve siz bir an durup kendinizi toparlamak zorunda kalıyorsunuz. Yaratık aynı hızla saldırıya geçiyor!)"
L_D_BOSS_AMARANTH_2,,"(An Amaranth floats atop the treasure hoard, seemingly guarding it; you can't be too sure, given how inscrutable these creatures are. Either way, you need to get past it!)",(宝物の山の上にアマランスが浮かんでいる。どうやらそれを守っているようだ。この生き物がどれほど謎めいているかを考えると、確信は持てないが。いずれにせよ、あなたはそれを通り過ぎる必要がある！),"(Eine Amaranth schwebt über dem Schatz, als würde sie ihn bewachen; du kannst dir nicht ganz sicher sein, da diese Kreaturen so undurchschaubar sind. Wie auch immer, du musst an ihr vorbei!)","Un Amarante flotte au-dessus du trésor, semblant le garder ; vous ne pouvez pas en être certain, étant donné l'impénétrabilité de ces créatures. Quoi qu'il en soit, vous devez le dépasser !","(Un Amaranto flota sobre el tesoro acumulado, aparentemente custodiándolo; no puedes estar muy seguro, dado lo inescrutables que son estas criaturas. De cualquier manera, ¡necesitas pasar más allá de él!)","(Um Amaranto flutua sobre o tesouro acumulado, aparentemente guardando-o; você não pode ter certeza, considerando o quão inescrutáveis essas criaturas são. De qualquer forma, você precisa passar por ele!)","(Амарант парит над грудой сокровищ, как будто охраняя её; вы не можете быть уверены, учитывая, насколько непостижимы эти существа. В любом случае, вам нужно пройти мимо него!)","(Un Amaranto fluttua sopra il tesoro, apparentemente a guardia di esso; non puoi esserne troppo sicuro, considerando quanto siano imperscrutabili queste creature. In ogni caso, devi superarlo!)",(一朵不凋花漂浮在寶藏堆上方，似乎在守護著它；但你無法確定，因為這些生物實在難以捉摸。無論如何，你必須設法通過它！),（一朵长生花漂浮在宝藏堆上，似乎在守护着它；但这些难以捉摸的家伙究竟想做什么，谁又说得清呢？无论如何，你需要设法通过它！）,"(보물 더미 위에 아마란스가 떠 있으며, 마치 그것을 지키는 것처럼 보입니다; 이 생물들이 얼마나 불가해한지를 고려하면 확신할 수는 없습니다. 어쨌든, 당신은 그것을 지나가야 합니다!)","(Amarant unosi się nad stosem skarbów, jakby go strzegł; nie możesz być tego pewien, biorąc pod uwagę, jak nieodgadnione są te stworzenia. Tak czy inaczej, musisz się przez niego przedostać!)","(Амарант ширяє над скарбами, ніби охороняючи їх; ви не можете бути впевнені, враховуючи, наскільки незбагненні ці істоти. У будь-якому випадку, вам потрібно пройти повз нього!)","Een Amaranth zweeft boven de schat, ogenschijnlijk als bewaker; je kunt er niet helemaal zeker van zijn, gezien hoe ondoorgrondelijk deze wezens zijn. Hoe dan ook, je moet er voorbij zien te komen!","Bir Amaranth, hazine yığınının üzerinde süzülüyor, görünüşe göre onu koruyor; bu yaratıkların ne kadar anlaşılmaz olduğu düşünülürse, çok emin olamazsın. Her halükârda, onun yanından geçmen gerekiyor!"
L_D_BOSS_AMARANTH_3,,"(The creature guarding the treasure gazes deep into your soul with its single eye. Evidently not liking what it found, it moves to attack! How rude!)",宝物を守る生物は、その一つ目であなたの魂を深く見つめています。どうやらそこに見つけたものが気に入らなかったようで、攻撃の構えに入りました！ なんて無礼な！,"(Das Wesen, das den Schatz bewacht, blickt mit seinem einzelnen Auge tief in deine Seele. Offensichtlich gefällt ihm nicht, was es dort gefunden hat, und es greift an! Wie unhöflich!)","(La créature gardant le trésor plonge son regard au plus profond de votre âme avec son œil unique. N'appréciant visiblement pas ce qu'elle y a trouvé, elle s'apprête à attaquer ! Quelle impolitesse !)","(La criatura que custodia el tesoro mira profundamente en tu alma con su único ojo. Evidentemente no le gusta lo que encontró, ¡se dispone a atacar! ¡Qué descortés!)","(A criatura guardando o tesouro olha profundamente em sua alma com seu único olho. Evidentemente não gostando do que encontrou, ela se move para atacar! Que rude!)","(Существо, охраняющее сокровище, пристально вглядывается в вашу душу своим единственным глазом. Очевидно, не одобрив увиденное, оно переходит в атаку! Какая грубость!)","(La creatura che custodisce il tesoro scruta nel profondo della tua anima con il suo unico occhio. Evidentemente non apprezzando ciò che ha trovato, si muove per attaccare! Che maleducazione!)",（守護寶藏的生物用它那隻眼睛深深地凝視著你的靈魂。顯然對它所發現的不太滿意，它開始發動攻擊！真是太無禮了！）,（守护宝藏的怪物用它的独眼直视你的灵魂。显然，它对所见之物并不满意，于是骤然发起攻击！真是无礼之极！）,"(보물을 지키는 생물이 하나뿐인 눈으로 당신의 영혼을 깊이 응시합니다. 분명히 그것이 발견한 것이 마음에 들지 않았는지, 공격하려고 움직입니다! 정말 무례하군요!)","(Stworzenie strzegące skarbu wpatruje się głęboko w twoją duszę swoim jedynym okiem. Najwyraźniej nie podobało mu się to, co znalazło, bo przechodzi do ataku! Cóż za bezczelność!)","(Істота, що охороняє скарб, вдивляється глибоко у вашу душу своїм єдиним оком. Вочевидь не вподобавши побачене, вона готується атакувати! Яка нахабність!)","(Het wezen dat de schat bewaakt, kijkt diep in je ziel met zijn ene oog. Blijkbaar niet tevreden met wat het vond, maakt het aanstalten om aan te vallen! Hoe onbeleefd!)",Hazineyi koruyan yaratık tek gözüyle ruhunuzun derinliklerine bakıyor. Görünüşe göre bulduğunu beğenmemiş olacak ki saldırmak için harekete geçiyor! Ne kabalık!
L_D_BOSS_ANGEL_1,,"No further, human. Your travels end here.",これ以上進むな、人間よ。お前の旅はここで終わりだ。,"Nicht weiter, Mensch. Deine Reise endet hier.","N'avance pas plus loin, humain. Ton voyage s'arrête ici.","No más lejos, humano. Tus viajes terminan aquí.","Não mais adiante, humano. Suas viagens terminam aqui.","Ни шагу дальше, человек. Твой путь заканчивается здесь.","Non andare oltre, umano. I tuoi viaggi finiscono qui.",別再前進了，人類。你的旅程到此為止。,到此为止，人类。你的旅途就此终结。,"더 이상은 안 돼, 인간. 네 여정은 여기서 끝이다.","Ani kroku dalej, człowieku. Twoja podróż kończy się tutaj.","Ні кроку далі, людино. Твоя подорож закінчується тут.","Niet verder, mens. Je reis eindigt hier.","Daha ileri gitme, insan. Yolculuğun burada sona eriyor."
L_D_BOSS_ANGEL_2,,"From on high, your ordained punishment comes. Be still and you may yet die with your dignity intact.",高みより、汝に定められた罰が下る。おとなしくしていれば、尊厳を保ったまま死ねるかもしれぬ。,Von oben kommt deine vorbestimmte Strafe. Sei still und du magst noch mit intakter Würde sterben.,"Du haut des cieux, votre châtiment ordonné arrive. Restez immobile et vous pourrez peut-être mourir avec votre dignité intacte.","Desde las alturas, llega tu castigo ordenado. Quédate quieto y aún podrás morir con tu dignidad intacta.","Do alto, vem o castigo que lhe foi ordenado. Fique quieto e talvez ainda morra com sua dignidade intacta.","С высоты нисходит предначертанная кара. Смирись, и, быть может, умрёшь с достоинством.",Dall'alto giunge la tua punizione predestinata. Resta immobile e potrai ancora morire con la tua dignità intatta.,從高處而來，你被命定的懲罰降臨。保持靜止，或許你還能保有尊嚴地死去。,逆则披罚，顺可安逝。,"높은 곳에서, 당신에게 내려진 형벌이 온다. 가만히 있으면 아직 존엄성을 지킨 채 죽을 수 있을지도 모른다.","Z wysokości nadchodzi twoja wyznaczona kara. Stój spokojnie, a może umrzesz z godnością.","З висоти приходить твоє призначене покарання. Стій спокійно, і ти ще можеш померти з гідністю.",Vanuit den hoge komt uw voorbestemde straf. Wees stil en wellicht sterft u nog met uw waardigheid intact.,"Yücelerden, senin için kararlaştırılan ceza geliyor. Sakin ol ki belki de haysiyetin bozulmadan ölebilesin."
L_D_BOSS_ANGEL_3,,"(Divine flames swirl around the room and soon coalesce into the form of a regal six-winged figure. Surging with energy, it charges right at you!)",神聖な炎が部屋中を渦巻き、やがて六枚の翼を持つ威厳ある姿へと融合する。エネルギーを纏いながら、それはあなたに向かって突進してくる！,(Göttliche Flammen wirbeln durch den Raum und verdichten sich bald zur Gestalt einer majestätischen sechsflügeligen Figur. Vor Energie pulsierend stürzt sie direkt auf dich zu!),"Des flammes divines tourbillonnent dans la salle et se rassemblent bientôt pour former une figure majestueuse à six ailes. Débordant d'énergie, elle se précipite droit sur vous !","(¡Llamas divinas arremolinan por la habitación y pronto se fusionan en la forma de una majestuosa figura de seis alas. Rebosante de energía, se lanza directamente hacia ti!)","(Chamas divinas rodopiavam pela sala e logo se fundem na forma de uma figura majestosa de seis asas. Transbordando de energia, ela avança diretamente contra você!)","(Божественное пламя кружится по комнате и вскоре сливается в форму величественной шестикрылой фигуры. Наполняясь энергией, она устремляется прямо на вас!)","(Fiamme divine vorticano nella stanza e presto si fondono nella forma di una regale figura con sei ali. Traboccante di energia, si lancia direttamente contro di te!)",神聖的火焰在房間內旋繞，很快凝聚成一個擁有六翼的威嚴身影。它充滿能量，直接朝你衝來！,（神圣的火焰在室内盘旋，很快凝聚成一个威严的六翼身影。它气势磅礴，径直向你冲来！）,(신성한 불꽃이 방 안을 소용돌이치다가 곧 위엄 있는 여섯 날개를 가진 형상으로 응집됩니다. 에너지가 넘치는 그것이 당신을 향해 돌진합니다!),"(Boskie płomienie wirują po pomieszczeniu i wkrótce łączą się w postać królewskiej figury o sześciu skrzydłach. Pulsując energią, szarżuje prosto na ciebie!)","(Божественне полум'я кружляє кімнатою і незабаром зливається у форму величної шестикрилої фігури. Наповнюючись енергією, вона мчить прямо на вас!)",(Goddelijke vlammen wervelen door de kamer en vormen al snel de gedaante van een koninklijke figuur met zes vleugels. Bruisend van energie stormt het recht op je af!),"(İlahi alevler odanın etrafında döner ve kısa süre içinde görkemli altı kanatlı bir figürün şekline bürünür. Enerjiyle dolup taşarak, doğrudan sana doğru atılır!)"
L_D_BOSS_APIS_1,,(A loud bellow and the thunder of hooves herald the charge of a very angry Apis; one who seems to have brought its friends to attack you!),(大きな咆哮と蹄の轟音が、非常に怒ったアピスの突進を告げる。そして、そのアピスはあなたを攻撃するために仲間を連れてきたようだ！),"(Ein lautes Brüllen und das Donnern von Hufen kündigen den Angriff eines sehr wütenden Apis an; eines, das anscheinend seine Freunde mitgebracht hat, um dich anzugreifen!)",(Un beuglement sonore et le tonnerre des sabots annoncent la charge d'un Apis très en colère ; un qui semble avoir amené ses amis pour vous attaquer !),"(¡Un fuerte bramido y el estruendo de pezuñas anuncian la carga de un Apis muy enfurecido, que parece haber traído a sus amigos para atacarte!)",(Um berro alto e o trovoar de cascos anunciam a investida de um Apis muito furioso; um que parece ter trazido seus amigos para atacar você!),"(Громкий рёв и грохот копыт возвещают о нападении очень разъярённого Аписа; похоже, он привёл своих друзей, чтобы атаковать вас!)",(Un forte muggito e il tuono di zoccoli annunciano la carica di un Apis molto arrabbiato; uno che sembra aver portato i suoi amici ad attaccarti!),（一陣響亮的吼叫聲和如雷的蹄聲預示著一頭非常憤怒的阿匹斯正在衝鋒；而且牠似乎還帶來了牠的夥伴們來攻擊你！）,（一声震天怒吼伴随着如雷的蹄声，一头怒不可遏的阿比斯冲锋而至；它似乎还带来了它的朋友们！）,(큰 울음소리와 발굽 소리가 매우 화가 난 아피스의 돌진을 알립니다. 당신을 공격하기 위해 친구들을 데려온 것 같군요!),"(Głośny ryk i grzmot kopyt zwiastują szarżę bardzo rozgniewanego Apisa; takiego, który najwyraźniej przyprowadził swoich przyjaciół, by cię zaatakować!)","(Гучний рев і грім копит сповіщають про атаку дуже розлюченого Апіса; того, який, здається, привів своїх друзів, щоб напасти на вас!)",(Een luid gebrul en het gedonder van hoeven kondigen de aanval aan van een zeer woedende Apis; eentje die blijkbaar zijn vrienden heeft meegebracht om je aan te vallen!),"(Yüksek bir böğürtü ve toynak gürültüsü, çok öfkeli bir Apis'in saldırısını haber veriyor; görünüşe göre sana saldırmak için arkadaşlarını da yanında getirmiş!)"
