Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_P_CELERITY,,Celerity,神速,Schnelligkeit,Célérité,Celeridad,Celeridade,Стремительность,Celerità,迅捷,迅捷,신속,Szybkość,Швидкість,Snelheid,Çeviklik
L_P_CELERITY_DESC,,"After your creatures dodge, they {ACTION_attack} the enemy.",味方のクリーチャーが回避した後、敵を{ACTION_attack}する。,"Nachdem deine Kreaturen ausweichen, {ACTION_attack} sie den Feind.","Après que vos créatures esquivent, elles {ACTION_attack} l'ennemi.","Después de que tus criaturas esquiven, {ACTION_attack} al enemigo.","Depois que suas criaturas se esquivam, elas {ACTION_attack} o inimigo.","После того как ваши существа уклоняются, они {ACTION_attack} врага.","Dopo che le tue creature schivano, {ACTION_attack} il nemico.",當你的生物閃避後，牠們{ACTION_attack}敵人。,你的生物闪避后，它{ACTION_attack}那一敌人。,"당신의 생물이 회피한 후, 그들은 적을 {ACTION_attack}합니다.","Po tym, jak twoje stworzenia unikną, {ACTION_attack} wroga.","Після того, як ваші істоти ухиляються, вони {ACTION_attack} ворога.","Nadat je wezens ontwijken, {ACTION_attack} ze de vijand.","Yaratıkların sıyrıldıktan sonra, düşmana {ACTION_attack} yaparlar."
L_P_SERENITY,,Serenity,静寂,Gelassenheit,Sérénité,Serenidad,Serenidade,Безмятежность,Serenità,寧靜,宁静,평온,Spokój,Безтурботність,Sereniteit,Huzur
L_P_SERENITY_DESC,,<5>% of your creatures' chance to dodge attacks is applied to spells as well. This perk ignores independent chances to dodge attacks granted by other effects.,<5>%のクリーチャーの攻撃回避率が呪文にも適用されます。この特典は、他の効果によって付与された独立した攻撃回避率を無視します。,"<5>% der Ausweichchance deiner Kreaturen gegen Angriffe wird auch auf Zauber angewendet. Dieser Vorteil ignoriert unabhängige Ausweichchancen gegen Angriffe, die durch andere Effekte gewährt werden.",<5>% de la chance d'esquive de vos créatures contre les attaques s'applique également aux sorts. Cet avantage ignore les chances indépendantes d'esquiver les attaques accordées par d'autres effets.,<5>% de la probabilidad de tus criaturas para esquivar ataques también se aplica a hechizos. Esta ventaja ignora las probabilidades independientes de esquivar ataques otorgadas por otros efectos.,<5>% da chance de esquiva de ataques das suas criaturas também é aplicada a magias. Este bônus ignora chances independentes de esquivar de ataques concedidas por outros efeitos.,"<5>% шанса ваших существ уклониться от атак также применяется к заклинаниям. Эта способность игнорирует независимые шансы уклонения от атак, предоставляемые другими эффектами.",<5>% della probabilità di schivare gli attacchi delle tue creature si applica anche agli incantesimi. Questo vantaggio ignora le probabilità indipendenti di schivare gli attacchi concesse da altri effetti.,<5>% 你的生物閃避攻擊的機率也會套用於法術上。此特性會忽略其他效果所賦予的獨立閃避攻擊機率。,你的生物有几率闪避法术，几率等同于其闪避攻击几率的<5>%。此专长会忽略其他效果所提供的独立闪避攻击几率。,당신의 생물들의 공격 회피 확률 중 <5>%가 주문에도 적용됩니다. 이 특성은 다른 효과로 인해 부여된 독립적인 공격 회피 확률을 무시합니다.,<5>% szansy twoich stworzeń na uniknięcie ataków jest również stosowane do zaklęć. Ta zaleta ignoruje niezależne szanse na uniknięcie ataków przyznawane przez inne efekty.,"<5>% шансу ваших істот ухилитися від атак також застосовується до заклинань. Ця перевага ігнорує незалежні шанси ухилення від атак, надані іншими ефектами.",<5>% van de kans van je wezens om aanvallen te ontwijken wordt ook toegepast op spreuken. Dit voordeel negeert onafhankelijke kansen om aanvallen te ontwijken die door andere effecten worden verleend.,"Yaratıklarınızın saldırılardan kaçınma şansının <5>%'i büyülere de uygulanır. Bu yetenek, diğer etkiler tarafından sağlanan bağımsız saldırılardan kaçınma şanslarını görmezden gelir."
L_P_SPIRITUALATTUNEMENT,,Spiritual Attunement,霊的調和,Geistige Abstimmung,Harmonisation Spirituelle,Sintonía Espiritual,Sintonia Espiritual,Духовная Настройка,Sintonia Spirituale,靈性調和,灵性协调,영적 조율,Duchowe Dostrojenie,Духовна Настройка,Spirituele Afstemming,Ruhsal Uyum
L_P_SPIRITUALATTUNEMENT_DESC,,"When your creatures take indirect damage, they have a <1>% chance to prevent that damage.",自分のクリーチャーが間接ダメージを受けるとき、<1>%の確率でそのダメージを防ぐことができる。,"Wenn deine Kreaturen indirekten Schaden erleiden, haben sie eine <1>% Chance, diesen Schaden zu verhindern.","Lorsque vos créatures subissent des dégâts indirects, elles ont <1>% de chances d'empêcher ces dégâts.","Cuando tus criaturas reciben daño indirecto, tienen un <1>% de probabilidad de prevenir ese daño.","Quando suas criaturas sofrem dano indireto, elas têm <1>% de chance de prevenir esse dano.","Когда ваши существа получают непрямой урон, у них есть <1>% шанс предотвратить этот урон.","Quando le tue creature subiscono danni indiretti, hanno una probabilità del <1>% di prevenire quei danni.",當你的生物受到間接傷害時，有<1>%的機率防止該傷害。,你的生物承受间接伤害时，它有<1>%几率防止该伤害。,"당신의 생물이 간접 피해를 받을 때, <1>% 확률로 해당 피해를 방지합니다.","Kiedy twoje stworzenia otrzymują obrażenia pośrednie, mają <1>% szans na zapobiegnięcie tym obrażeniom.","Коли ваші істоти отримують непрямі пошкодження, вони мають <1>% шанс запобігти цим пошкодженням.","Wanneer je wezens indirecte schade oplopen, hebben ze <1>% kans om die schade te voorkomen.","Yaratıkların dolaylı hasar aldığında, bu hasarı <1>% ihtimalle önleyebilirler."
L_P_PRESSUREPOINT,,Pressure Point,急所,Druckpunkt,Point de Pression,Punto de Presión,Ponto de Pressão,Точка давления,Punto di Pressione,穴道,点穴,급소,Punkt Nacisku,Точка тиску,Drukpunt,Baskı Noktası
L_P_PRESSUREPOINT_DESC,,Increases your creatures' damage dealt with [nature_monk_kaze] Celerity by <2>%.,[nature_monk_kaze]の迅速さによるクリーチャーのダメージを<2>%増加させる。,Erhöht den Schaden deiner Kreaturen mit [nature_monk_kaze] Schnelligkeit um <2>%.,Augmente les dégâts infligés par vos créatures avec [nature_monk_kaze] Célérité de <2>%.,Aumenta el daño infligido por tus criaturas con [nature_monk_kaze] Celeridad en un <2>%.,Aumenta o dano causado pelas suas criaturas com [nature_monk_kaze] Celeridade em <2>%.,Увеличивает урон ваших существ от [nature_monk_kaze] Стремительности на <2>%.,Aumenta il danno inflitto dalle tue creature con [nature_monk_kaze] Celerità del <2>%.,提升你的生物使用[nature_monk_kaze]迅捷所造成的傷害<2>%。,你的生物用[nature_monk_kaze]迅捷专长造成的伤害增加<2>%。,[nature_monk_kaze] 신속으로 생물이 가하는 피해를 <2>% 증가시킵니다.,Zwiększa obrażenia zadawane przez twoje stworzenia z [nature_monk_kaze] Szybkość o <2>%.,"Збільшує шкоду, яку завдають ваші істоти з [nature_monk_kaze] Стрімкістю, на <2>%.",Verhoogt de schade die je wezens toebrengen met [nature_monk_kaze] Snelheid met <2>%.,[nature_monk_kaze] Çevikliği ile yaratıklarınızın verdiği hasarı <2>% artırır.
L_P_PROTECTIVEWINDS,,Protective Winds,守護の風,Schützende Winde,Vents Protecteurs,Vientos Protectores,Ventos Protetores,Защитные Ветра,Venti Protettivi,守護之風,防护之风,수호의 바람,Ochronne Wiatry,Захисні Вітри,Beschermende Winden,Koruyucu Rüzgarlar
L_P_PROTECTIVEWINDS_DESC,,Your creatures have an independent <3>% chance to dodge attacks.,自分のクリーチャーは攻撃を回避する独立した<3>%の確率を持つ。,"Deine Kreaturen haben eine unabhängige <3>% Chance, Angriffen auszuweichen.",Vos créatures ont <3>% de chance indépendante d'esquiver les attaques.,Tus criaturas tienen una probabilidad independiente del <3>% de esquivar ataques.,Suas criaturas têm uma chance independente de <3>% de esquivar-se de ataques.,У ваших существ есть независимый <3>% шанс уклониться от атак.,Le tue creature hanno una probabilità indipendente del <3>% di schivare gli attacchi.,你的生物有獨立的<3>%機率閃避攻擊。,你的生物有<3>%的独立闪避攻击几率。,당신의 생물들은 공격을 회피할 독립적인 <3>% 확률을 가집니다.,Twoje stworzenia mają niezależną <3>% szansę na uniknięcie ataków.,Ваші істоти мають незалежний <3>% шанс ухилитися від атак.,Je wezens hebben een onafhankelijke <3>% kans om aanvallen te ontwijken.,Yaratıklarınızın saldırılardan kaçınmak için bağımsız <3>% şansı vardır.
