Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_D_PERS_ATTACK_LUCKMANTRIA,,(You can't help but feel a bit luckier than usual with this creature in your party.),（この生き物がパーティーにいると、いつもより少し幸運を感じずにはいられない。）,"(Du kannst nicht anders, als dich mit dieser Kreatur in deiner Gruppe ein bisschen glücklicher als sonst zu fühlen.)",(Vous ne pouvez vous empêcher de vous sentir un peu plus chanceux que d'habitude avec cette créature dans votre groupe.),(No puedes evitar sentirte un poco más afortunado de lo normal con esta criatura en tu grupo.),(Você não pode deixar de se sentir um pouco mais sortudo que o normal com esta criatura em seu grupo.),"(Вы не можете не чувствовать себя немного удачливее, чем обычно, с этим существом в вашей группе.)",(Non puoi fare a meno di sentirti un po' più fortunato del solito con questa creatura nel tuo gruppo.),（你不禁感覺有這個生物在你的隊伍中，運氣比平常好了一點。）,（有这个生物在队伍中，你不禁感到自己比平时更加幸运。）,(이 생물이 파티에 있으니 평소보다 조금 더 운이 좋아진 것 같은 기분이 든다.),"(Nie możesz oprzeć się wrażeniu, że masz nieco więcej szczęścia niż zwykle, mając tę istotę w swojej drużynie.)","(Ви не можете не відчувати себе трохи щасливішим, ніж зазвичай, маючи цю істоту у своїй групі.)",(Je kunt niet anders dan je een beetje gelukkiger dan normaal voelen met dit wezen in je groep.),(Bu yaratık grubunda olduğunda her zamankinden biraz daha şanslı hissetmeden edemiyorsun.)
L_D_PERS_ATTACK_MODRON,,You and I share a common characteristic: we have no self-awareness.,あなたと私には共通点がある。それは自己認識がないということだ。,Du und ich teilen eine gemeinsame Eigenschaft: Wir haben kein Selbstbewusstsein.,Toi et moi partageons une caractéristique commune : nous n'avons aucune conscience de soi.,Tú y yo compartimos una característica común: no tenemos autoconciencia.,Você e eu compartilhamos uma característica em comum: não temos autoconsciência.,Нас с тобой объединяет общая черта: у нас нет самосознания.,Tu ed io condividiamo una caratteristica comune: non abbiamo consapevolezza di noi stessi.,你我有個共同的特質：我們都沒有自我意識。,你我有一个共同的特点：我们都没有自我意识。,당신과 나는 공통점이 있어요: 우리는 자아 인식이 없죠.,Ty i ja dzielimy wspólną cechę: nie mamy samoświadomości.,Ти і я маємо спільну рису: у нас немає самоусвідомлення.,Jij en ik delen een gemeenschappelijke eigenschap: we hebben geen zelfbewustzijn.,Sen ve ben ortak bir özelliği paylaşıyoruz: öz farkındalığımız yok.
L_D_PERS_ATTACK_MYTHICANT,,"(It speaks to you, but not in a tongue you're familiar with. You can only hope it wishes to communicate nothing of importance.)",(見知らぬ言葉で話しかけてくる。重要なことを伝えようとしていないことを願うばかりだ。),"(Es spricht zu dir, aber nicht in einer Sprache, die dir vertraut ist. Du kannst nur hoffen, dass es nichts Wichtiges mitteilen möchte.)","(Il vous parle, mais pas dans une langue que vous connaissez. Vous ne pouvez qu'espérer qu'il ne souhaite rien communiquer d'important.)","(Te habla, pero no en una lengua que te resulte familiar. Solo puedes esperar que no desee comunicar nada importante.)","(Ele fala com você, mas não em uma língua que você conheça. Você só pode esperar que ele não deseje comunicar nada importante.)","(Оно обращается к вам, но не на знакомом вам языке. Вы можете лишь надеяться, что оно не пытается сообщить ничего важного.)","(Ti parla, ma non in una lingua che conosci. Puoi solo sperare che non desideri comunicarti nulla di importante.)",(它對你說話，但不是用你熟悉的語言。你只能希望它想傳達的不是什麼重要的事情。),（它对你说话，但不是用你熟悉的语言。你只能希望它想要传达的不是什么重要的事情。）,"(당신에게 말을 걸지만, 당신이 알고 있는 언어가 아닙니다. 그것이 중요한 내용을 전달하려는 것이 아니기를 바랄 뿐입니다.)","(Przemawia do ciebie, ale nie w języku, który znasz. Możesz jedynie mieć nadzieję, że nie próbuje przekazać niczego istotnego.)","(Воно говорить до вас, але не мовою, яку ви розумієте. Ви можете лише сподіватися, що воно не намагається повідомити нічого важливого.)","(Het spreekt tegen je, maar niet in een taal die je kent. Je kunt alleen maar hopen dat het niets belangrijks wil meedelen.)","(Seninle konuşuyor, ancak bildiğin bir dilde değil. Sadece önemli bir şey iletmek istemediğini umabilirsin.)"
L_D_PERS_ATTACK_NIHILIST,,(This creature always seems to be dancing. Its beauty and grace are truly captivating.),(この生き物はいつも踊っているようだ。その美しさと優雅さは本当に魅力的だ。),(Dieses Wesen scheint immer zu tanzen. Seine Schönheit und Anmut sind wirklich fesselnd.),(Cette créature semble toujours danser. Sa beauté et sa grâce sont vraiment captivantes.),(Esta criatura siempre parece estar bailando. Su belleza y gracia son verdaderamente cautivadoras.),(Esta criatura parece estar sempre dançando. Sua beleza e graça são verdadeiramente cativantes.),(Это существо всегда будто танцует. Его красота и грация поистине завораживают.),(Questa creatura sembra sempre danzare. La sua bellezza e grazia sono davvero incantevoli.),(這生物似乎總是在跳舞。它的美麗與優雅真的令人著迷。),（这个生物总是在跳舞。它的美丽与优雅真是令人着迷。）,(이 생물은 항상 춤을 추는 것 같다. 그 아름다움과 우아함은 정말 매혹적이다.),(To stworzenie zawsze wydaje się tańczyć. Jego piękno i gracja są naprawdę urzekające.),(Ця істота завжди ніби танцює. Її краса і грація справді зачаровують.),(Dit wezen lijkt altijd te dansen. Zijn schoonheid en gratie zijn werkelijk betoverend.),(Bu yaratık her zaman dans ediyor gibi görünür. Güzelliği ve zarafeti gerçekten büyüleyicidir.)
L_D_PERS_ATTACK_NEPHILIM,,"None will stand in my way. I have a mission to fulfill, and nothing will stop me from finishing my duties.",誰も私の邪魔はできない。私には果たすべき使命があり、任務を完遂することを何も妨げることはできないだろう。,"Niemand wird sich mir in den Weg stellen. Ich habe eine Mission zu erfüllen, und nichts wird mich davon abhalten, meine Pflichten zu beenden.","Personne ne se dressera sur mon chemin. J'ai une mission à accomplir, et rien ne m'empêchera de terminer mes devoirs.","Nadie se interpondrá en mi camino. Tengo una misión que cumplir, y nada me impedirá terminar mis deberes.","Ninguém ficará no meu caminho. Tenho uma missão a cumprir, e nada me impedirá de concluir meus deveres.","Никто не встанет на моём пути. У меня есть миссия, которую нужно выполнить, и ничто не помешает мне завершить свои обязанности.","Nessuno si metterà sulla mia strada. Ho una missione da compiere, e niente mi impedirà di portare a termine i miei doveri.",沒有人能阻擋我的去路。我有一個使命要完成，沒有什麼能阻止我履行我的職責。,没有人能阻挡我的道路。我有一个使命要完成，没有什么能阻止我履行我的职责。,"아무도 내 앞길을 막지 못할 것이다. 나는 완수해야 할 임무가 있고, 어떤 것도 내가 의무를 다하는 것을 막지 못할 것이다.",Nikt nie stanie na mojej drodze. Mam misję do wypełnienia i nic nie powstrzyma mnie przed wykonaniem moich obowiązków.,"Ніхто не стане на моєму шляху. У мене є місія, яку я повинен виконати, і ніщо не завадить мені завершити свої обов'язки.","Niemand zal mij in de weg staan. Ik heb een missie te volbrengen, en niets zal mij ervan weerhouden mijn taken te voltooien.",Hiç kimse yoluma çıkamaz. Yerine getirmem gereken bir görevim var ve hiçbir şey görevlerimi tamamlamamı engelleyemez.
L_D_PERS_ATTACK_SPELLMANE,,"(It seems to have conjured a massive, elemental ball for it to play with. It's busy rolling around on its back, batting at the ball, completely ignorant of your presence.)",(巨大な元素のボールを召喚して遊んでいるようだ。背中を丸めて転がりながら、ボールを打ち返している。あなたの存在にまったく気づいていない。),"(Es scheint eine massive, elementare Kugel heraufbeschworen zu haben, mit der es spielen kann. Es ist damit beschäftigt, auf dem Rücken herumzurollen und nach dem Ball zu schlagen, völlig unwissend über deine Anwesenheit.)","(Il semble avoir fait apparaître une énorme boule élémentaire pour jouer avec. Il est occupé à se rouler sur le dos, donnant des coups de patte à la boule, complètement ignorant de votre présence.)","(Parece haber conjurado una enorme bola elemental para jugar. Está ocupado rodando sobre su espalda, golpeando la bola, completamente ajeno a tu presencia.)","(Parece ter conjurado uma bola elementar gigante para brincar. Está ocupado rolando de costas, batendo na bola, completamente alheio à sua presença.)","(Похоже, оно создало огромный стихийный шар, чтобы играть с ним. Оно занято тем, что катается на спине, бьёт по шару лапами, совершенно не замечая вашего присутствия.)","(Sembra aver evocato un'enorme sfera elementale con cui giocare. È occupato a rotolarsi sulla schiena, colpendo la palla, completamente ignaro della tua presenza.)",(看來牠召喚出了一個巨大的元素球來玩耍。牠正忙著在地上打滾，拍打著那個球，完全沒注意到你的存在。),（它召唤出了一个巨大的元素球来玩耍。它正忙着在地上打滚，拍打着球，完全没注意到你的存在。）,"(거대한 원소 구체를 소환해 가지고 노는 것 같다. 등을 대고 뒹굴며 공을 툭툭 치고 있는데, 당신의 존재를 완전히 모르고 있다.)","(Wygląda na to, że przywołało ogromną, żywiołową kulę do zabawy. Jest zajęte tarzaniem się na plecach, uderzając w kulę, całkowicie nieświadome twojej obecności.)","(Здається, воно створило величезну стихійну кулю, щоб гратися з нею. Воно зайняте тим, що перекочується на спині, б'є по кулі, повністю ігноруючи вашу присутність.)","(Het lijkt een enorme, elementaire bal te hebben opgeroepen om mee te spelen. Het is druk bezig op zijn rug te rollen, tegen de bal te slaan, volledig onwetend van jouw aanwezigheid.)","(Görünüşe göre oynaması için devasa, elementsel bir top yaratmış. Sırtüstü yuvarlanıp topa vuruyor, varlığından tamamen habersiz bir şekilde meşgul.)"
L_D_PERS_ATTACK_URALOS,,It's not that we get smarter as we grow older; it's that we run out of stupid things to do after a while.,年を取るにつれて賢くなるわけではない。ただ、しばらくすると愚かなことをやり尽くしてしまうだけだ。,"Es ist nicht so, dass wir klüger werden, wenn wir älter werden; wir gehen nur irgendwann die dummen Dinge aus, die wir tun können.",Ce n'est pas qu'on devient plus intelligent en vieillissant ; c'est qu'on finit par épuiser toutes les bêtises à faire.,No es que nos volvamos más inteligentes al envejecer; es que después de un tiempo se nos acaban las cosas estúpidas que hacer.,Não é que ficamos mais inteligentes à medida que envelhecemos; é que depois de um tempo acabamos as coisas estúpidas para fazer.,"Дело не в том, что мы становимся умнее с возрастом; просто со временем у нас заканчиваются глупости, которые можно совершить.",Non è che diventiamo più intelligenti invecchiando; è che dopo un po' finiamo le cose stupide da fare.,並不是我們隨著年齡增長而變得更聰明；而是我們漸漸用完了所有能做的蠢事。,并不是我们随着年龄增长变得更聪明；而是我们活了一段时间后，就把愚蠢的事情都做完了。,"나이가 들면서 더 똑똑해지는 게 아니라, 한동안 하던 바보 같은 짓거리들을 다 해봐서 그만두게 되는 거지.","Nie chodzi o to, że stajemy się mądrzejsi wraz z wiekiem; po prostu z czasem kończą nam się głupie rzeczy do zrobienia.","Справа не в тому, що ми стаємо розумнішими з віком; просто з часом у нас закінчуються дурні вчинки, які можна зробити.",Het is niet dat we slimmer worden naarmate we ouder worden; het is dat we na een tijdje geen domme dingen meer kunnen bedenken om te doen.,Yaşlandıkça daha akıllı olmuyoruz; bir süre sonra yapacak aptalca şeyler tükenmiş oluyor.
L_D_PERS_ATTACK_WARHOG,,(It's rolling around in a pile of what you hope is mud.),(泥だと願いたくなるような何かの山の中で転がっている。),"(Es wälzt sich in einem Haufen von etwas, das hoffentlich Schlamm ist.)",(Il se roule dans un tas de ce que vous espérez être de la boue.),(Está revolcándose en un montón de lo que esperas que sea barro.),(Está se revirando em uma pilha do que você espera que seja lama.),"(Оно валяется в куче того, что вы надеетесь является грязью.)",(Si sta rotolando in un mucchio di quello che speri sia fango.),(牠正在一堆你希望是泥巴的東西裡打滾。),（它在一堆你希望是泥巴的东西里打滚。）,(진흙이길 바라는 무언가 더미 속에서 뒹굴고 있다.),"(Tarza się w stercie czegoś, co masz nadzieję, że jest błotem.)","(Воно качається в купі того, що ви сподіваєтесь є брудом.)",(Het rolt rond in een hoop waarvan je hoopt dat het modder is.),(Çamur olduğunu umduğun bir yığının içinde yuvarlanıyor.)
L_D_PERS_ATTACK_EXOTIC,,You would dare to rip me from my portal and summon me to this dying world? You have no shame.,この死にゆく世界に私を召喚するため、私のポータルから引き離すとは、よくもそんな真似を。恥知らずめ。,"Du wagst es, mich aus meinem Portal zu reißen und mich in diese sterbende Welt zu rufen? Du kennst keine Scham.",Tu oserais m'arracher à mon portail et me convoquer dans ce monde mourant ? Tu n'as aucune honte.,¿Te atreverías a arrancarme de mi portal y convocarme a este mundo moribundo? No tienes vergüenza.,Você ousaria me arrancar do meu portal e me invocar para este mundo moribundo? Você não tem vergonha.,Ты посмел вырвать меня из моего портала и призвать в этот умирающий мир? У тебя нет стыда.,Oseresti strapparmi dal mio portale e evocarmi in questo mondo morente? Non hai alcuna vergogna.,你竟敢將我從傳送門中拉出，召喚我到這個垂死的世界？你真是厚顏無恥。,你竟敢将我从传送门中拉出，召唤到这个垂死的世界？你真是厚颜无耻。,감히 나를 내 포털에서 끌어내어 이 죽어가는 세계로 소환하려 하는가? 부끄러움도 없군.,Ośmielasz się wyrwać mnie z mojego portalu i przyzwać do tego umierającego świata? Nie masz wstydu.,Ти насмілився вирвати мене з мого порталу і викликати в цей вмираючий світ? У тебе немає сорому.,Je durft het aan om mij uit mijn portaal te rukken en mij naar deze stervende wereld te roepen? Je hebt geen schaamte.,Beni portalımdan koparıp bu ölmekte olan dünyaya çağırmaya cüret eder misin? Hiç utanman yok.
L_D_PERS_ATTACK_KRAKEN,,"(It's squirming around on its stool, clearly uncomfortable with the seating arrangements provided by your Menagerie.)",(椅子の上でもぞもぞと動き回っており、明らかにあなたの動物園が用意した座席の配置に不快感を示している。),"(Es windet sich auf seinem Hocker, offensichtlich unwohl mit den Sitzgelegenheiten, die deine Menagerie bereitgestellt hat.)","(Il se tortille sur son tabouret, visiblement mal à l'aise avec les dispositions d'assise fournies par votre Ménagerie.)","(Se retuerce en su taburete, claramente incómodo con los arreglos de asiento proporcionados por tu Casa de Fieras.)","(Está se contorcendo no banquinho, claramente desconfortável com os arranjos de assento fornecidos pelo seu Menagerie.)","(Оно ёрзает на табурете, явно испытывая дискомфорт от сидячих условий, предоставленных вашим Зверинцем.)","(Si agita sul suo sgabello, chiaramente a disagio con la sistemazione dei posti fornita dal tuo Serraglio.)",(牠在凳子上扭來扭去，顯然對你的珍奇動物園所提供的座位安排感到不自在。),（它在凳子上扭来扭去，显然对你的生物栏提供的座位安排感到不舒服。）,"(의자 위에서 꿈틀거리고 있으며, 당신의 메나제리가 제공한 좌석 배치에 명백히 불편함을 느끼고 있다.)","(Wierci się na swoim stołku, wyraźnie niezadowolone z miejsc siedzących zapewnionych przez twoje Menażerię.)","(Воно звивається на своєму стільці, явно почуваючись незручно через сидіння, надане вашим Звіринцем.)","(Het kronkelt op zijn krukje, duidelijk ongemakkelijk met de zitplaatsregeling die door je Menagerie is verzorgd.)","(Tabure üzerinde kıvranıyor, Menajeri'nizin sağladığı oturma düzeninden açıkça rahatsız.)"
