Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_D_ARENA_MASTER,,Reid,リード,Reid,Reid,Reid,Reid,Рейд,Reid,雷德,里德,레이드,Reid,Рейд,Reid,Reid
L_D_ARENA_WELCOME,,"Ladies, gentlemen, and creatures - the first arena match is about to begin!",皆様、紳士淑女、そして生き物の皆様 - 最初の闘技場の試合がまもなく始まります！,"Meine Damen, meine Herren und Kreaturen - der erste Arenakampf beginnt gleich!","Mesdames, messieurs et créatures - le premier match d'arène est sur le point de commencer !","Damas, caballeros y criaturas - ¡el primer combate de la arena está a punto de comenzar!","Senhoras, senhores e criaturas - a primeira partida da arena está prestes a começar!","Дамы, господа и существа - первый бой на арене вот-вот начнётся!","Signore, signori e creature - il primo incontro nell'arena sta per iniziare!",女士們、先生們，還有各種生物們——第一場競技場比賽即將開始！,女士们，先生们，还有各位生物们——第一场竞技场比赛即将开始！,"신사 숙녀 여러분, 그리고 생물들이여 - 첫 번째 투기장 경기가 곧 시작됩니다!","Panie, panowie i stworzenia - pierwsza walka na arenie zaraz się rozpocznie!","Пані, панове та істоти - перший бій на арені от-от розпочнеться!","Dames, heren en wezens - de eerste arenagevecht staat op het punt te beginnen!","Bayanlar, baylar ve yaratıklar - ilk arena maçı başlamak üzere!"
L_D_ARENA_WELCOME_INFINITE,,Their best streak in the Infinite Arena is currently {1} wins in a row. Let's see if they can outdo themselves!,無限アリーナでの彼らの最高連勝記録は現在{1}連勝です。自己記録を更新できるか見てみましょう！,"Ihre beste Serie in der Unendlichen Arena beträgt derzeit {1} Siege in Folge. Mal sehen, ob sie sich selbst übertreffen können!",Leur meilleure série dans l'Arène Infinie est actuellement de {1} victoires consécutives. Voyons s'ils peuvent se surpasser !,Su mejor racha en la Arena Infinita es actualmente de {1} victorias consecutivas. ¡Veamos si pueden superarse a sí mismos!,A melhor sequência deles na Arena Infinita é atualmente {1} vitórias consecutivas. Vamos ver se eles conseguem superar a si mesmos!,"Их лучшая серия побед в Бесконечной Арене на данный момент составляет {1} побед подряд. Посмотрим, смогут ли они превзойти себя!",Il loro record migliore nell'Arena Infinita è attualmente di {1} vittorie consecutive. Vediamo se riescono a superarsi!,他們在無盡競技場的最佳連勝紀錄目前是連續{1}場勝利。讓我們看看他們能否超越自己！,这位选手目前在无尽竞技场的最佳连胜记录是{1}场。让我们看看这次能否超越自我！,무한 투기장에서 그들의 최고 연승 기록은 현재 {1}연승입니다. 자신의 기록을 경신할 수 있을지 지켜봅시다!,"Ich najlepszy wynik w Nieskończonej Arenie to obecnie {1} zwycięstw z rzędu. Zobaczmy, czy uda im się pobić własny rekord!","Їхня найкраща серія перемог у Нескінченній Арені наразі становить {1} перемог поспіль. Подивимося, чи зможуть вони перевершити себе!",Hun beste reeks in de Oneindige Arena is momenteel {1} overwinningen op rij. Laten we zien of ze zichzelf kunnen overtreffen!,Sonsuz Arena'daki en iyi serileri şu anda art arda {1} galibiyet. Bakalım kendilerini aşabilecekler mi!
L_D_ARENA_INTRO,1 = player name,"Today, the challenger is none other than our very own {1}!",本日の挑戦者は、我らが{1}その人です！,Heute ist der Herausforderer niemand anderes als unser eigener {1}!,"Aujourd'hui, le challenger n'est autre que notre {1} !","Hoy, el desafiante no es otro que nuestro propio {1}!","Hoje, o desafiante não é ninguém menos que o nosso próprio {1}!","Сегодня претендентом является не кто иной, как наш собственный {1}!","Oggi, lo sfidante non è altri che il nostro {1}!",今天，挑戰者不是別人，正是我們自己的{1}！,今天，挑战者不是别人，正是我们的{1}！,오늘의 도전자는 다름 아닌 우리의 {1}입니다!,"Dzisiaj, pretendent to nikt inny jak nasz własny {1}!","Сьогодні претендентом є не хто інший, як наш власний {1}!",Vandaag is de uitdager niemand minder dan onze eigen {1}!,"Bugün, meydan okuyan kişi bizim {1}'den başkası değil!"
L_D_ARENA_INTRO2,,Please finalize your bets now.,ベットを確定してください。,Bitte schließt jetzt eure Wetten ab.,Veuillez finaliser vos paris maintenant.,Por favor finaliza tus apuestas ahora.,"Por favor, finalize suas apostas agora.","Пожалуйста, завершите ваши ставки сейчас.",Finalizzate le vostre scommesse ora.,請現在確認您的賭注。,现在请确定你的赌注。,지금 베팅을 확정해 주세요.,Proszę teraz sfinalizować swoje zakłady.,"Будь ласка, завершіть свої ставки зараз.",Maak nu uw inzetten af.,Lütfen bahislerinizi şimdi sonlandırın.
L_D_ARENA_MATCH_BEGIN,1 = player name,Let us begin. Teleport {1}'s first opponent into the arena!,始めましょう。{1}の最初の対戦相手をアリーナにテレポートさせろ！,Lasst uns beginnen. Teleportiert {1}s ersten Gegner in die Arena!,Commençons. Téléportez le premier adversaire de {1} dans l'arène !,Comencemos. ¡Teletransporta al primer oponente de {1} a la arena!,Vamos começar. Teleportar o primeiro oponente de {1} para a arena!,Начнем. Телепортировать первого противника {1} на арену!,Iniziamo. Teletrasporta il primo avversario di {1} nell'arena!,讓我們開始吧。將{1}的第一位對手傳送到競技場！,我们开始吧。将{1}的第一个对手传送到竞技场！,시작합시다. {1}의 첫 번째 상대를 경기장으로 텔레포트!,Zaczynajmy. Teleportujcie pierwszego przeciwnika {1} na arenę!,Почнімо. Телепортуйте першого суперника {1} на арену!,Laten we beginnen. Teleporteer {1}'s eerste tegenstander naar de arena!,Başlayalım. {1}'in ilk rakibini arenaya ışınlayın!
L_D_ARENA_MATCH_START,,Ready! Set! Fight!,準備！用意！戦え！,Fertig! Los! Kämpft!,Prêt ! Partez ! Combattez !,¡Preparados! ¡Listos! ¡Luchen!,Preparar! Apontar! Lutar!,Готовы! Внимание! В бой!,Pronti! Partenza! Combattimento!,準備！預備！開戰！,各就各位！预备！开打！,준비! 시작! 싸워라!,Gotowi! Do startu! Walka!,Готуйся! Увага! Бій!,Klaar! Af! Vechten!,Hazır! Başla! Savaş!
L_D_ARENA_FIVEWINS,1 = player name,"{1} is victorious, and has defeated all five opponents in a row! Congratulations, {1}.\n\n(The crowd goes wild!)",{1}は勝利し、5人の相手を連続で倒しました！おめでとう、{1}。\n\n（観衆は大興奮！）,"{1} ist siegreich und hat alle fünf Gegner in Folge besiegt! Herzlichen Glückwunsch, {1}.\n\n(Die Menge tobt!)","{1} est victorieux et a vaincu les cinq adversaires d'affilée ! Félicitations, {1}.\n\n(La foule est en délire !)","{1} es victorioso y ha derrotado a los cinco oponentes seguidos. ¡Felicidades, {1}!\n\n(¡La multitud enloquece!)","{1} é vitorioso e derrotou todos os cinco oponentes em sequência! Parabéns, {1}.\n\n(A multidão vai à loucura!)","{1} одерживает победу, одолев всех пятерых противников подряд! Поздравляем, {1}.\n\n(Толпа неистовствует!)","{1} è vittorioso e ha sconfitto tutti e cinque gli avversari di fila! Congratulazioni, {1}.\n\n(La folla impazzisce!)",{1}獲勝了，連續擊敗了所有五位對手！恭喜，{1}。\n\n（觀眾瘋狂歡呼！）,{1}获胜了，连续击败了所有五个对手！恭喜，{1}。\n\n（观众们沸腾了！）,"{1}이(가) 승리했으며, 다섯 명의 상대를 연속으로 모두 물리쳤습니다! 축하합니다, {1}.\n\n(관중들이 열광합니다!)","{1} zwycięża i pokonał wszystkich pięciu przeciwników z rzędu! Gratulacje, {1}.\n\n(Tłum szaleje!)","{1} перемагає і долає всіх п'ятьох супротивників поспіль! Вітаємо, {1}.\n\n(Натовп шаленіє!)","{1} is zegevierend en heeft alle vijf tegenstanders op rij verslagen! Gefeliciteerd, {1}.\n\n(Het publiek gaat uit zijn dak!)","{1} zafer kazandı ve art arda beş rakibi de yendi! Tebrikler, {1}.\n\n(Kalabalık çılgına döndü!)"
L_D_ARENA_WIN,1 = player name,"{1} is victorious! Congratulations, {1}.\n\n(The crowd cheers heartily.)",{1}の勝利！おめでとう、{1}。\n\n（観衆は熱烈に歓声を上げる。）,"{1} ist siegreich! Herzlichen Glückwunsch, {1}.\n\n(Die Menge jubelt begeistert.)","{1} est victorieux ! Félicitations, {1}.\n\n(La foule applaudit chaleureusement.)","¡{1} es victorioso! Felicidades, {1}.\n\n(La multitud aplaude con entusiasmo.)","{1} é vitorioso! Parabéns, {1}.\n\n(A multidão aplaude calorosamente.)","{1} одерживает победу! Поздравляем, {1}.\n\n(Толпа восторженно аплодирует.)","{1} è vittorioso! Congratulazioni, {1}.\n\n(La folla acclama calorosamente.)",{1}勝利了！恭喜，{1}。\n\n（人群熱烈歡呼。）,{1}获胜了！恭喜，{1}。\n\n（观众们热烈欢呼。）,"{1}이(가) 승리했습니다! 축하합니다, {1}.\n\n(군중이 열렬히 환호합니다.)","{1} zwycięża! Gratulacje, {1}.\n\n(Tłum wiwatuje entuzjastycznie.)","{1} перемагає! Вітаємо, {1}.\n\n(Натовп радісно вітає.)","{1} is zegevierend! Gefeliciteerd, {1}.\n\n(De menigte juicht hartelijk.)","{1} zafer kazandı! Tebrikler, {1}.\n\n(Kalabalık coşkuyla tezahürat yapıyor.)"
L_D_ARENA_LOSS_INFINITE,1 = win streak number,You finished the Infinite Arena with a win streak of {1}!,無限アリーナを{1}連勝で制覇しました！,Du hast die Unendliche Arena mit einer Siegesserie von {1} abgeschlossen!,Vous avez terminé l'Arène Infinie avec une série de victoires de {1} !,¡Has terminado la Arena Infinita con una racha de victorias de {1}!,Você terminou a Arena Infinita com uma sequência de vitórias de {1}!,Вы завершили Бесконечную Арену с серией побед в {1}!,Hai completato l'Arena Infinita con una serie di vittorie di {1}!,你以{1}連勝完成了無盡競技場！,你以{1}场连胜完成了无尽竞技场！,무한의 투기장을 {1}연승으로 완료했습니다!,Ukończyłeś Nieskończoną Arenę z serią {1} zwycięstw!,Ви завершили Нескінченну Арену з серією перемог у {1}!,Je hebt de Oneindige Arena voltooid met een winstreeks van {1}!,Sonsuz Arena'yı {1} galibiyet serisiyle tamamladın!
