line,english,german,issues,reviewed,replacement
4,"At the end of its long life, the structure of an Ent changes and a sticky moss begins to cover its body. It is common to find hummingbirds and other small birds around it, and a scientist from Vanelin discovered that they ignore the insects that get trapped in the moss, instead eating the moss itself. The scientist caught one of these creatures to study it and found out that its skin contained a hallucinogenic substance that is addictive to birds.","Am Ende seines langen Lebens verändert sich die Struktur eines Ents, und ein klebriges Moos beginnt seinen Körper zu bedecken. Es ist üblich, Kolibris und andere kleine Vögel um ihn herum zu finden, und ein Wissenschaftler aus Vanelin entdeckte, dass sie die Insekten, die im Moos gefangen werden, ignorieren und stattdessen das Moos selbst fressen. Der Wissenschaftler fing eines dieser Geschöpfe ein, um es zu untersuchen, und fand heraus, dass seine Haut eine halluzinogene Substanz enthielt, die für Vögel süchtig machend ist.",TERM:Creatures->Kreaturen,,
8,"Paragons are extremely long-lived and intelligent creatures that are integrated into human society. They usually hold important positions as great merchants, notaries or even advisors to the sovereigns of Rodia.\n\nDiamond Paragons are especially interested in the fauna and flora of Rodia. When the war ended, many of them joined teams of biologists in different cities to study them. The University of Natural Science in Vanelin is currently directed by one of them.","Paragons sind äußerst langlebige und intelligente Wesen, die in die menschliche Gesellschaft integriert sind. Sie bekleiden gewöhnlich wichtige Positionen als große Kaufleute, Notare oder sogar als Berater der Herrscher von Rodia.\n\nDiamant-Paragons interessieren sich besonders für die Fauna und Flora von Rodia. Als der Krieg endete, schlossen sich viele von ihnen Biologenteams in verschiedenen Städten an, um diese zu erforschen. Die Universität für Naturwissenschaften in Vanelin wird derzeit von einem von ihnen geleitet.",TERM:Creatures->Kreaturen,,
14,"A Reaper sometimes appears when someone dies, remaining there for a moment before disappearing. This led to the popular belief that these creatures accompany the souls of the deceased to the afterlife.\n\nDuring his stay in Eternity's End, Sigmund met and befriended a Bone Reaper. This was an unprecedented event in history, and it led to the discovery that anyone who wears a Reaper's tunic automatically knows the life expectancy of any creature except their own.","Ein Sensenmann erscheint manchmal, wenn jemand stirbt, und verweilt dort für einen Moment, bevor er verschwindet. Dies führte zu dem weit verbreiteten Glauben, dass diese Wesen die Seelen der Verstorbenen ins Jenseits begleiten.\n\nWährend seines Aufenthalts in Ewigkeits Ende traf Sigmund einen Knochensensenmann und freundete sich mit ihm an. Dies war ein beispielloses Ereignis in der Geschichte und führte zu der Entdeckung, dass jeder, der die Tunika eines Sensensmanns trägt, automatisch die Lebenserwartung jedes Wesens kennt - außer seiner eigenen.",TERM:Creature->Kreatur; TERM:Creatures->Kreaturen,,
18,"Despite their unsettling appearance and the sharp scythe they carry with them, Reapers are not aggressive unless they are attacked. They have eternal life and are immune to all diseases. However, they are not immune to the effects of magic.\n\nIf a creature's time has not yet come, the Incursion Reaper may decide to use its scythe to return it to a previous state where it was healthy.","Trotz ihres beunruhigenden Aussehens und der scharfen Sense, die sie mit sich tragen, sind Schnitter nicht aggressiv, es sei denn, sie werden angegriffen. Sie besitzen ewiges Leben und sind immun gegen alle Krankheiten. Allerdings sind sie nicht immun gegen die Wirkungen von Magie.\n\nWenn die Zeit eines Wesens noch nicht gekommen ist, kann der Einfall-Schnitter beschließen, seine Sense zu benutzen, um es in einen früheren Zustand zurückzuversetzen, in dem es gesund war.",TERM:Creature->Kreatur,,
33,"No mortal knows for certain how the Siren Soothsayers came to be. Some believe they were born from the laughter of Lister. Others, that they were created by Tartarith to torment humans. When the gem on their forehead begins to glow, every creature around them receives visions of horrible events, and an unquestionable certainty that they will come to pass in the future. However, this only happens in battle. Some testimonies state that the glow produces hopeful images in other situations.","Kein Sterblicher weiß mit Sicherheit, wie die Sirenen-Wahrsagerinnen entstanden sind. Manche glauben, sie seien aus dem Lachen Listers geboren. Andere meinen, sie wurden von Tartarith erschaffen, um Menschen zu quälen. Wenn der Edelstein auf ihrer Stirn zu leuchten beginnt, empfängt jedes Wesen in ihrer Umgebung Visionen schrecklicher Ereignisse und die unbestreitbare Gewissheit, dass diese in der Zukunft eintreten werden. Dies geschieht jedoch nur im Kampf. Einige Zeugnisse berichten, dass das Leuchten in anderen Situationen hoffnungsvolle Bilder erzeugt.",TERM:Creature->Kreatur,,
43,"From a young age, Shapeshifters practice on the animals and plants around them to imitate their patterns. At the age of eight, these creatures are already capable of transforming into beings twice or half their size.\n\nLife Shapeshifters often take care of the sick and wounded, assist with deliveries and guide the elderly in their last moments of life. They have a strong sense of justice and protect the weak, even above their own lives.","Von klein auf üben Gestaltwandler an den Tieren und Pflanzen um sie herum, um deren Muster nachzuahmen. Im Alter von acht Jahren sind diese Wesen bereits in der Lage, sich in Lebewesen zu verwandeln, die doppelt so groß oder halb so groß sind wie sie selbst.\n\nLebens-Gestaltwandler kümmern sich oft um Kranke und Verwundete, helfen bei Geburten und begleiten die Älteren in ihren letzten Lebensaugenblicken. Sie haben einen starken Gerechtigkeitssinn und beschützen die Schwachen, selbst wenn es ihr eigenes Leben kostet.",TERM:Creatures->Kreaturen,,
58,"Clutchers can sense fear over great distances. Before approaching an unarmed, terrified victim, they hide and move slowly, scratching the cold stone with their nails.\n\nThe Ethereal Clutcher can project terrifying images and scenes into people's minds, even when they are asleep. When Tartarith is especially busy ""DOING THE KILLING"", he orders these creatures to have fun with his future victims.","Klammerer können Angst über große Entfernungen spüren. Bevor sie sich einem unbewaffneten, verängstigten Opfer nähern, verstecken sie sich und bewegen sich langsam, während sie mit ihren Krallen über den kalten Stein kratzen.\n\nDer Ätherische Klammerer kann erschreckende Bilder und Szenen in die Gedanken von Menschen projizieren, selbst wenn diese schlafen. Wenn Tartarith besonders damit beschäftigt ist, ""DAS TÖTEN ZU ERLEDIGEN",TERM:Creatures->Kreaturen,,
71,"To make sure the Djinns were obedient, their creators developed a mechanism in the form of an oil lamp that could contain them and force them to obey orders.\n\nThe Djinn Evoker presents itself as a kind and understanding creature who likes to listen to people's problems. It acts as a confidant, but the longer an individual remains in its presence, the more their negative emotions build up.","Um sicherzustellen, dass die Dschinns gehorsam waren, entwickelten ihre Erschaffer einen Mechanismus in Form einer Öllampe, die sie enthalten und zwingen konnte, Befehlen zu gehorchen.\n\nDer Dschinn-Beschwörer präsentiert sich als ein freundliches und verständnisvolles Wesen, das gerne den Problemen der Menschen zuhört. Er fungiert als Vertrauter, aber je länger eine Person in seiner Gegenwart bleibt, desto mehr bauen sich ihre negativen Emotionen auf.",TERM:Creature->Kreatur,,
86,"Dryads are linked to the oak from which they came. Dryads receive any damage made to their tree, which causes them pain. In the same way, healing the wounds of a Dryad also regenerates her tree.\n\nAeolian put special effort when creating the Dryad Raincallers. When the drought becomes an obstacle to the regeneration of a devastated forest, they perform a beautiful dance that summons the Storms. These creatures release their water where the Dryads believe it is most necessary.","Dryaden sind mit der Eiche verbunden, aus der sie stammen. Dryaden erleiden jeden Schaden, der ihrem Baum zugefügt wird, was ihnen Schmerzen bereitet. Auf die gleiche Weise regeneriert das Heilen der Wunden einer Dryade auch ihren Baum.\n\nAeolian hat besondere Mühe in die Erschaffung der Dryaden-Regenrufer gesteckt. Wenn die Dürre ein Hindernis für die Regeneration eines verwüsteten Waldes darstellt, führen sie einen wunderschönen Tanz auf, der die Stürme beschwört. Diese Wesen geben ihr Wasser dort frei, wo die Dryaden es für am nötigsten halten.",TERM:Creatures->Kreaturen,,
90,"Dryads are denizens of the forest, but some also live in the Cutthroat Jungle and the Unsullied Meadows. They are active protectors of nature, although they prefer to use words to persuade those who threaten it.\n\nWhen tenacious lumberjacks or Flamehook Pilwiz attack a Dryad Keeper after refusing to stop their activities, her first response is to protect herself with her shield. If she is attacked again, she uses the orb in her right hand to call on every nearby creature and annihilate the threat.","Dryaden sind Bewohner des Waldes, aber einige leben auch im Halsabschneider-Dschungel und auf den Unbefleckten Wiesen. Sie sind aktive Beschützer der Natur, obwohl sie es vorziehen, mit Worten diejenigen zu überzeugen, die sie bedrohen.\n\nWenn hartnäckige Holzfäller oder Flammenhaken-Pilwiz eine Dryaden-Hüterin angreifen, nachdem sie sich geweigert haben, ihre Aktivitäten einzustellen, besteht ihre erste Reaktion darin, sich mit ihrem Schild zu schützen. Wird sie erneut angegriffen, nutzt sie die Kugel in ihrer rechten Hand, um jedes Wesen in der Nähe zu rufen und die Bedrohung zu vernichten.",TERM:Creature->Kreatur,,
