Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_MAT_REDAMBER,,Red Amber,レッドアンバー,Roter Bernstein,Ambre Rouge,Ámbar Rojo,Âmbar Vermelho,Красный янтарь,Ambra Rossa,赤琥珀,红琥珀,붉은 호박석,Czerwony Bursztyn,Червоний бурштин,Rood Barnsteen,Kızıl Kehribar
L_MAT_PURPLEAMBER,,Purple Amber,パープルアンバー,Purpurner Bernstein,Ambre Pourpre,Ámbar Púrpura,Âmbar Púrpura,Пурпурный янтарь,Ambra Viola,紫琥珀,紫琥珀,보라색 호박석,Purpurowy Bursztyn,Пурпурний бурштин,Paars Barnsteen,Mor Kehribar
L_MAT_BLUEAMBER,,Blue Amber,蒼琥珀,Blauer Bernstein,Ambre Bleu,Ámbar Azul,Âmbar Azul,Синий янтарь,Ambra Blu,藍琥珀,蓝琥珀,푸른 호박,Błękitny Bursztyn,Блакитний бурштин,Blauw Barnsteen,Mavi Kehribar
L_MAT_GREENAMBER,,Green Amber,グリーンアンバー,Grüner Bernstein,Ambre Vert,Ámbar Verde,Âmbar Verde,Зелёный янтарь,Ambra Verde,綠琥珀,绿琥珀,녹색 호박,Zielony Bursztyn,Зелений бурштин,Groene Amber,Yeşil Kehribar
L_MAT_YELLOWAMBER,,Yellow Amber,黄琥珀,Gelber Bernstein,Ambre Jaune,Ámbar Amarillo,Âmbar Amarelo,Желтый янтарь,Ambra Gialla,黃琥珀,黄琥珀,황색 호박,Żółty Bursztyn,Жовтий бурштин,Geel Barnsteen,Sarı Kehribar
L_MAT_SMELLYPUMPKIN,,Smelly Pumpkin,臭いカボチャ,Stinkender Kürbis,Citrouille Puante,Calabaza Apestosa,Abóbora Fedorenta,Вонючая Тыква,Zucca Puzzolente,臭南瓜,发臭南瓜,냄새나는 호박,Śmierdzący Dyniaczek,Смердючий Гарбуз,Stinkende Pompoen,Kokulu Balkabağı
L_MAT_INFLATABLEDRINK,,Inflatable Drink,インフレータブルドリンク,Aufblasbares Getränk,Boisson Gonflable,Bebida Inflable,Bebida Inflável,Надувной Напиток,Bevanda Gonfiabile,充氣飲料,充气饮料,팽창식 음료,Nadmuchiwany Napój,Надувний Напій,Opblaasbaar Drankje,Şişirilebilir İçecek
L_MAT_SOLARDRINK,,Solar Drink,ソーラードリンク,Sonnentrunk,Boisson Solaire,Bebida Solar,Bebida Solar,Солнечный напиток,Bevanda Solare,太陽飲料,太阳饮料,태양 음료,Napój Słoneczny,Сонячний напій,Zonnedrank,Güneş İçeceği
L_MAT_MELONDRINK,,Melon Drink,メロンドリンク,Melonengetränk,Boisson au Melon,Bebida de Melón,Bebida de Melão,Дынный напиток,Bevanda al Melone,哈密瓜飲料,甜瓜饮料,멜론 음료,Napój Melonowy,Напій з дині,Meloendrank,Kavun İçeceği
L_MAT_KILLERDRINK,,Killer Drink,キラードリンク,Tödliches Getränk,Boisson Mortelle,Bebida Asesina,Bebida Mortal,Убийственный Напиток,Bevanda Letale,殺手飲料,杀手饮料,살인자의 음료,Zabójczy Napój,Вбивчий Напій,Moorddrank,Katil İçecek
