file,line,term,reason,english,german
achievements.csv,2582,Plünderer,Reaver specialization,Raider I,Plünderer I
achievements.csv,2584,Plünderer,Reaver specialization,Raider II,Plünderer II
codex.csv,195,Vorteilspunkte,old perk terminology,"At the start of the game, you chose one of 15 different specializations. Each specialization offers several perks that change the way your creatures fight in battle. After you gain the ability to take on Projects, you can unlock all the other specializations in the game and switch to them at any time at the Enchanted Wardrobe.\n\nIn order to unlock and upgrade your perks, you must earn Perk Points by completing Realm Quests at the highest Realm Depth you've ever visited.","Zu Beginn des Spiels wählst du eine von 15 verschiedenen Spezialisierungen. Jede Spezialisierung bietet mehrere Vorteile, die die Kampfweise deiner Kreaturen verändern. Nachdem du die Fähigkeit erlangt hast, Projekte zu übernehmen, kannst du alle anderen Spezialisierungen im Spiel freischalten und jederzeit am Verzauberten Kleiderschrank zwischen ihnen wechseln.\n\nUm deine Vorteile freizuschalten und zu verbessern, musst du Vorteilspunkte verdienen, indem du Reichquests in der höchsten Reichtiefe abschließt, die du je besucht hast."
creatures.csv,185,Plünderer,Reaver specialization,Harpy Pillager,Harpyien-Plünderer
creatures.csv,374,Plünderer,Reaver specialization,Phase Marauder,Phasenplünderer
creatures.csv,717,Plünderer,Reaver specialization,Centaur Raider,Zentauren-Plünderer
creatures.csv,1045,Plünderer,Reaver specialization,Eft Scavenger,Eft-Plünderer
decorations.csv,138,Plünderer,Reaver specialization,Avast Ye Plunderers,"Hört her, ihr Plünderer"
items.csv,90,Plünderer,Reaver specialization,Scavenger Skull,Plünderer-Schädel
items.csv,369,Plünderer,Reaver specialization,Pillager Crest,Plünderer-Wappen
lore.csv,21,Plünderer,Reaver specialization,"Harpies are fully aware that they carry numerous diseases, deadly to humans and other creatures. On more than one occasion, entire cities have succumbed to their perverse plans.\n\nHarpy Pillagers are the greatest danger to sailors who navigate the seas. They have learned how to wield knives and are especially skilled at cutting the ropes that hold the sails of boats. When a group of Harpies attacks a settlement or a caravan, these creatures are tasked with taking the loot.","Harpien sind sich völlig bewusst, dass sie zahlreiche Krankheiten in sich tragen, die für Menschen und andere Kreaturen tödlich sind. Mehr als einmal sind ganze Städte ihren perversen Plänen zum Opfer gefallen.\n\nHarpy-Plünderer stellen die größte Gefahr für Seeleute dar, die die Meere befahren. Sie haben gelernt, mit Messern umzugehen, und sind besonders geschickt darin, die Seile zu durchtrennen, die die Segel von Booten halten. Wenn eine Gruppe von Harpien eine Siedlung oder eine Karawane angreift, sind diese Kreaturen für das Einsammeln der Beute zuständig."
lore.csv,386,Plünderer,Reaver specialization,"When several Mist Crusaders gather in a large group, a cloud of steam forms around them that prevents anyone from seeing what is happening inside it. This event has only taken place a few times in history; sometimes to protect the creatures of the forest, other times to bring justice to gangs of marauders that ravaged villages and small towns. Warrior tribes and criminals who perform such activities keep watch at night in case the mysterious mist appears in the distance.","Wenn sich mehrere Nebelkreuzritter in einer großen Gruppe versammeln, bildet sich um sie herum eine Dampfwolke, die verhindert, dass jemand sehen kann, was in ihrem Inneren geschieht. Dieses Ereignis hat in der Geschichte nur wenige Male stattgefunden; manchmal zum Schutz der Waldgeschöpfe, andere Male, um Banden von Plünderern Gerechtigkeit zu bringen, die Dörfer und kleine Städte verwüsteten. Kriegerstämme und Verbrecher, die solchen Aktivitäten nachgehen, halten nachts Wache, falls der mysteriöse Nebel in der Ferne auftaucht."
