Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_D_PRELUDE_CALIBAN1,,"Caliban:\nAt last, I've found you.\n\nDo not be alarmed - this is merely a dream.",カリバン:\nついに、見つけたぞ。\n\n驚くな――これは単なる夢だ。,Caliban:\nEndlich habe ich dich gefunden.\n\nKeine Sorge - dies ist nur ein Traum.,"Caliban :\nEnfin, je vous ai trouvé.\n\nNe vous inquiétez pas - ce n'est qu'un rêve.","Caliban:\nAl fin te he encontrado.\n\nNo te alarmes, esto es solo un sueño.","Caliban:\nFinalmente, eu te encontrei.\n\nNão se assuste - isto é apenas um sonho.",Калибан:\nНаконец-то я нашёл тебя.\n\nНе пугайся - это всего лишь сон.,Caliban:\nFinalmente ti ho trovato.\n\nNon allarmarti - questo è solo un sogno.,卡利班：\n終於，我找到你了。\n\n別擔心——這只是一個夢境。,卡利班：\n终于，我找到你了。\n\n不要惊慌——这只是一个梦。,"Caliban:\n마침내, 당신을 찾았군요.\n\n놀라지 마세요 - 이건 단지 꿈일 뿐입니다.",Caliban:\nW końcu cię znalazłem.\n\nNie obawiaj się - to tylko sen.,"Каліба́н:\nНарешті, я знайшов тебе.\n\nНе лякайся - це лише сон.",Caliban:\nEindelijk heb ik je gevonden.\n\nWees niet bang - dit is slechts een droom.,Caliban:\nSonunda seni buldum.\n\nEndişelenme - bu sadece bir rüya.
L_D_PRELUDE_CALIBAN2,,"Caliban:\nYou are the Monarch of Siralim, yes?",カリバン：\nあなたがシラリムの君主ですね？,"Caliban:\nIhr seid der Monarch von Siralim, ja?","Caliban :\nVous êtes bien le Monarque de Siralim, n'est-ce pas ?","Caliban:\n¿Eres tú el Monarca de Siralim, verdad?","Caliban:\nVocê é o Monarca de Siralim, sim?","Калибан:\nВы и есть Монарх Сиралима, верно?","Caliban:\nTu sei il Monarca di Siralim, giusto?",卡利班：\n你就是希拉林的君主，對吧？,卡利班：\n你就是瑟拉利姆的君主，对吧？,칼리반:\n당신이 시랄림의 군주이신가요?,"Caliban:\nJesteś Monarchą Siralim, tak?","Каліба́н:\nВи - Монарх Сіраліму, так?","Caliban:\nJij bent de Monarch van Siralim, toch?","Caliban:\nSen Siralim'in Hükümdarısın, değil mi?"
L_D_PRELUDE_CALIBAN3,,"(You try to say yes, but this happens to be one of those dreams where you can't speak. You also try to nod your head, but you can't move, either.)",(はいと言おうとするが、これは話せない夢の一つであることに気づく。頭を縦に振ろうとするが、体も動かせない。),"(Du versuchst, ja zu sagen, aber dies scheint einer dieser Träume zu sein, in denen du nicht sprechen kannst. Du versuchst auch, mit dem Kopf zu nicken, aber du kannst dich ebenfalls nicht bewegen.)","(Vous essayez de dire oui, mais il s'agit d'un de ces rêves où vous ne pouvez pas parler. Vous essayez aussi de hocher la tête, mais vous ne pouvez pas bouger non plus.)","(Intentas decir que sí, pero resulta ser uno de esos sueños donde no puedes hablar. También intentas asentir con la cabeza, pero tampoco puedes moverte.)","(Você tenta dizer sim, mas por acaso este é um daqueles sonhos onde você não consegue falar. Você também tenta balançar a cabeça, mas também não consegue se mover.)","(Вы пытаетесь сказать ""да","(Provi a dire sì, ma questo è uno di quei sogni in cui non riesci a parlare. Provi anche ad annuire con la testa, ma non riesci nemmeno a muoverti.)",(你試著說好，但這恰好是那種你無法說話的夢。你也試著點頭，但你也無法移動。),（你试图说是，但这恰好是那种你无法说话的梦。你也试图点头，但你也不能动。）,"(당신은 예라고 말하려 하지만, 말을 할 수 없는 꿈 중 하나인 것 같다. 고개를 끄덕이려고도 해보지만, 움직일 수도 없다.)","(Próbujesz powiedzieć tak, ale okazuje się, że to jeden z tych snów, w których nie możesz mówić. Próbujesz też skinąć głową, ale nie możesz się również poruszyć.)","(Ви намагаєтеся сказати ""так","(Je probeert ja te zeggen, maar dit blijkt een van die dromen te zijn waarin je niet kunt spreken. Je probeert ook met je hoofd te knikken, maar je kunt je ook niet bewegen.)","(Evet demeye çalışırsın, ama bu konuşamadığın rüyalardan biri. Başını sallamaya da çalışırsın, ama hareket de edemezsin.)"
L_D_PRELUDE_CALIBAN4,,"Caliban:\nWhew! That's a relief. Imagine my embarrassment if I'd invaded the wrong dream!\n\nAnd fear not - despite your sleep paralysis, I can read your thoughts just fine.",カリバン：\nふぅ！ほっとしたよ。間違った夢に侵入していたら恥ずかしかったところだ！\n\nそれに心配しないで――金縛りにあっていても、君の考えていることはちゃんと読み取れるから。,"Caliban:\nPuh! Das ist eine Erleichterung. Stell dir meine Verlegenheit vor, wenn ich in den falschen Traum eingedrungen wäre!\n\nUnd keine Sorge - trotz deiner Schlafparalyse kann ich deine Gedanken problemlos lesen.","Caliban :\nOuf ! Quel soulagement. Imaginez ma gêne si j'avais envahi le mauvais rêve !\n\nEt ne craignez rien - malgré votre paralysie du sommeil, je peux parfaitement lire vos pensées.","Caliban:\n¡Uf! Qué alivio. ¡Imagina mi vergüenza si hubiera invadido el sueño equivocado!\n\nY no temas - a pesar de tu parálisis del sueño, puedo leer tus pensamientos perfectamente.","Caliban:\nUfa! Que alívio. Imagine meu constrangimento se eu tivesse invadido o sonho errado!\n\nE não tema - apesar da sua paralisia do sono, posso ler seus pensamentos perfeitamente.","Калибан:\nФух! Какое облегчение. Представь мой позор, если бы я вторгся не в тот сон!\n\nИ не бойся - несмотря на твой сонный паралич, я прекрасно читаю твои мысли.","Caliban:\nFiuu! Che sollievo. Immagina il mio imbarazzo se avessi invaso il sogno sbagliato!\n\nE non temere - nonostante la tua paralisi del sonno, posso leggere i tuoi pensieri perfettamente.",卡利班：\n呼！真是鬆了一口氣。想像一下，如果我闖入了錯誤的夢境，那該有多尷尬啊！\n\n別擔心——儘管你有睡眠癱瘓，我還是能夠清楚地讀取你的思想。,卡利班：\n呼！真是松了一口气。想象一下如果我入侵了错误的梦境该有多尴尬！\n\n别担心——尽管你在睡眠中无法行动，我也可以轻松读取你的思想。,"Caliban:\n휴! 다행이네. 내가 엉뚱한 꿈에 침입했다면 얼마나 당황스러웠을까!\n\n그리고 걱정 마 - 네가 수면마비 상태라도, 난 네 생각을 충분히 읽을 수 있어.","Caliban:\nUff! Co za ulga. Wyobraź sobie moje zakłopotanie, gdybym najechał nie ten sen!\n\nI nie bój się - mimo twojego paraliżu sennego, mogę czytać twoje myśli bez problemu.","Каліба́н:\nФух! Яке полегшення. Уявіть мій сором, якби я вторгся не в той сон!\n\nІ не бійтеся - незважаючи на ваш сонний параліч, я чудово читаю ваші думки.",Caliban:\nOef! Dat is een opluchting. Stel je voor hoe beschamend het zou zijn als ik de verkeerde droom was binnengedrongen!\n\nEn wees niet bang - ondanks je slaapverlamming kan ik je gedachten prima lezen.,"Caliban:\nOh! Bu bir rahatlama oldu. Yanlış rüyaya dalmış olsaydım ne kadar utanırdım, düşünsene!\n\nVe korkma - uyku felcin olmasına rağmen, düşüncelerini gayet iyi okuyabiliyorum."
L_D_PRELUDE_CALIBAN5,,Caliban:\nNow then - what should I call you?,カリバン：\nさて、あなたのことは何と呼べばいいかな？,Caliban:\nNun denn - wie soll ich dich nennen?,Caliban :\nAlors - comment devrais-je vous appeler ?,"Caliban:\nBien entonces, ¿cómo debería llamarte?","Caliban:\nBem, então - como devo chamá-lo?",Калибан:\nИтак - как мне тебя называть?,Caliban:\nOra dunque - come dovrei chiamarti?,卡利班：\n那麼——我該怎麼稱呼你？,卡利班：\n那么——我该怎么称呼你？,칼리반:\n그럼 - 당신을 뭐라고 부를까요?,Caliban:\nNo dobrze - jak powinienem cię nazywać?,Калібан:\nОтже - як мені тебе називати?,Caliban:\nWelnu - hoe moet ik je noemen?,Caliban:\nPeki - sana ne demeliyim?
L_D_PRELUDE_CALIBAN6,,What is your name?,お名前は何ですか？,Wie lautet dein Name?,Comment t'appelles-tu ?,¿Cuál es tu nombre?,Qual é o seu nome?,Как тебя зовут?,Come ti chiami?,你的名字是什麼？,你叫什么名字？,당신의 이름은 무엇인가요?,Jak się nazywasz?,Як тебе звати?,Wat is je naam?,İsmin ne?
L_D_PRELUDE_CALIBAN7,,"Caliban:\n{PLAYERNAME}, you say? A fine name, indeed.\n\nYou can call me Caliban. You might think of me as a ghost, or a phantasm, or something of that nature. In other words, I don't exist in your world.",カリバン：\n{PLAYERNAME}、ですか？素晴らしい名前ですね。\n\n私のことはカリバンと呼んでください。私のことを幽霊とか、幻影とか、そういった類のものだと思うかもしれませんね。つまり、私はあなたの世界には存在しないのです。,"Caliban:\n{PLAYERNAME}, sagst du? Ein feiner Name, in der Tat.\n\nDu kannst mich Caliban nennen. Du könntest mich als Geist betrachten, oder als Phantom, oder etwas in dieser Art. Mit anderen Worten, ich existiere nicht in deiner Welt.","Caliban:\n{PLAYERNAME}, dites-vous ? Un beau nom, en effet.\n\nVous pouvez m'appeler Caliban. Vous pourriez me considérer comme un fantôme, un spectre, ou quelque chose de cette nature. En d'autres termes, je n'existe pas dans votre monde.","Caliban:\n{PLAYERNAME}, ¿dices? Un buen nombre, sin duda.\n\nPuedes llamarme Caliban. Podrías considerarme un fantasma, un espectro, o algo de esa naturaleza. En otras palabras, no existo en tu mundo.","Caliban:\n{PLAYERNAME}, você disse? Um belo nome, de fato.\n\nPode me chamar de Caliban. Você pode me considerar um fantasma, ou um espectro, ou algo dessa natureza. Em outras palavras, eu não existo no seu mundo.","Калибан:\n{PLAYERNAME}, говоришь? Прекрасное имя, действительно.\n\nМожешь называть меня Калибан. Ты можешь считать меня призраком, фантомом или чем-то в этом роде. Другими словами, я не существую в твоём мире.","Caliban:\n{PLAYERNAME}, dici? Un bel nome, davvero.\n\nPuoi chiamarmi Caliban. Potresti considerarmi un fantasma, o un'apparizione, o qualcosa del genere. In altre parole, non esisto nel tuo mondo.",卡利班：\n{PLAYERNAME}，是嗎？確實是個好名字。\n\n你可以叫我卡利班。你可以把我想成是一個幽靈，或是幻影，或是類似的東西。換句話說，我並不存在於你的世界。,卡利班：\n{PLAYERNAME}，是吗？确实是个好名字。\n\n你可以叫我卡利班。你可以把我看作是一个幽灵，或者幻影，或者类似的东西。换句话说，我并不存在于你的世界中。,"Caliban:\n{PLAYERNAME}, 라고? 정말 멋진 이름이군.\n\n나를 Caliban이라고 부르면 돼. 넌 나를 유령이나 환영, 또는 그런 종류의 무언가라고 생각할 수도 있어. 다시 말해, 난 네 세계에 존재하지 않아.","Caliban:\n{PLAYERNAME}, powiadasz? Doprawdy, zacne imię.\n\nMożesz nazywać mnie Caliban. Możesz myśleć o mnie jak o duchu, widmie czy czymś w tym rodzaju. Innymi słowy, nie istnieję w twoim świecie.","Каліба́н:\n{PLAYERNAME}, кажеш? Чудове ім'я, справді.\n\nМожеш називати мене Каліба́н. Ти можеш вважати мене привидом, фантомом чи чимось подібним. Іншими словами, я не існую у твоєму світі.","Caliban:\n{PLAYERNAME}, zeg je? Een uitstekende naam, inderdaad.\n\nJe mag me Caliban noemen. Je kunt me beschouwen als een geest, een fantoom, of iets van dergelijke aard. Met andere woorden, ik besta niet in jouw wereld.","Caliban:\n{PLAYERNAME}, öyle mi? Gerçekten güzel bir isim.\n\nBana Caliban diyebilirsin. Beni bir hayalet, bir görüntü veya öyle bir şey olarak düşünebilirsin. Başka bir deyişle, ben senin dünyanda var değilim."
L_D_PRELUDE_CALIBAN8,,Caliban:\nI have another question for you - what is your specialization?,カリバン：\nもう一つ質問がある――君の専門は何だ？,Caliban:\nIch habe noch eine Frage an dich - was ist deine Spezialisierung?,Caliban :\nJ'ai une autre question pour vous - quelle est votre spécialisation ?,Caliban:\nTengo otra pregunta para ti - ¿cuál es tu especialización?,Caliban:\nTenho outra pergunta para você - qual é a sua especialização?,Калибан:\nУ меня есть ещё один вопрос к тебе - какова твоя специализация?,Caliban:\nHo un'altra domanda per te - qual è la tua specializzazione?,卡利班：\n我還有另一個問題要問你——你的專精是什麼？,卡利班：\n我还有一个问题要问你——你的专精是什么？,Caliban:\n당신에게 또 다른 질문이 있습니다 - 당신의 전문 분야는 무엇인가요?,Caliban:\nMam jeszcze jedno pytanie - jaka jest twoja specjalizacja?,Каліба́н:\nУ мене ще одне запитання до тебе - яка твоя спеціалізація?,Caliban:\nIk heb nog een vraag voor je - wat is jouw specialisatie?,Caliban:\nSana başka bir sorum var - uzmanlık alanın nedir?
L_D_PRELUDE_CALIBAN9,,"Caliban:\nWow! You took so long to tell me your specialization that you slept well-past your normal waking time. I'll get right to the point, then.",カリバン：\nうわっ！自分の専門分野を説明するのに時間がかかりすぎて、いつもの起床時間をはるかに過ぎるまで寝てしまったな。それじゃあ、要点だけ言うよ。,"Caliban:\nWow! Du hast so lange gebraucht, um mir deine Spezialisierung mitzuteilen, dass du weit über deine normale Aufwachzeit hinaus geschlafen hast. Ich komme dann gleich zum Punkt.","Caliban :\nWow ! Tu as mis tellement de temps à me dire ta spécialisation que tu as dormi bien au-delà de ton heure habituelle de réveil. J'irai droit au but, alors.","Caliban:\n¡Vaya! Te tomaste tanto tiempo para decirme tu especialización que dormiste mucho más allá de tu hora normal de despertar. Iré directo al grano, entonces.","Caliban:\nUau! Você demorou tanto para me dizer sua especialização que dormiu muito além do seu horário normal de despertar. Vou direto ao ponto, então.","Калибан:\nОго! Ты так долго рассказывал мне о своей специализации, что проспал намного дольше обычного. Тогда перейду сразу к делу.","Caliban:\nAccidenti! Ci hai messo così tanto a dirmi la tua specializzazione che hai dormito ben oltre il tuo solito orario di risveglio. Andrò subito al punto, allora.",卡利班：\n哇！你花了這麼長時間告訴我你的專精，以至於你睡過了平常的起床時間。那麼，我就直接切入正題了。,卡利班：\n哇！你花了这么长时间告诉我你的专精，以至于你睡过了平常的起床时间。那我就直奔主题了。,Caliban:\n와! 당신의 전문 분야를 말하는 데 너무 오래 걸려서 평소 일어나는 시간을 훨씬 지나서까지 잠들어 있었군요. 그럼 바로 본론으로 들어가죠.,"Caliban:\nWow! Tak długo zajęło ci powiedzenie mi o swojej specjalizacji, że przespałeś znacznie dłużej niż zwykle. Przejdę więc od razu do rzeczy.","Каліба́н:\nОго! Ти так довго розповідав мені про свою спеціалізацію, що проспав набагато довше, ніж зазвичай. Тоді я перейду одразу до справи.",Caliban:\nWauw! Je deed er zo lang over om me je specialisatie te vertellen dat je ver voorbij je normale wektijd hebt geslapen. Ik zal dan maar meteen ter zake komen.,Caliban:\nVay! Uzmanlığını bana anlatmak için o kadar uzun süre aldın ki normal uyanma vaktini çoktan geçip uyudun. O halde doğrudan konuya gireceğim.
L_D_PRELUDE_CALIBAN10,,"Caliban:\nYou know of the kingdom of Nex, correct?",カリバン：\nネックス王国について知っているな？,"Caliban:\nIhr wisst von dem Königreich Nex, nicht wahr?","Caliban :\nVous connaissez le royaume de Nex, n'est-ce pas ?","Caliban:\n¿Conoces el reino de Nex, verdad?","Caliban:\nVocê conhece o reino de Nex, correto?","Калибан:\nВы знаете о королевстве Некс, верно?","Caliban:\nConosci il regno di Nex, giusto?",卡利班：\n你知道奈克斯王國，對吧？,卡利班：\n你知道奈克斯王国吧？,칼리반:\n넥스 왕국에 대해 알고 있지?,"Caliban:\nZnasz królestwo Nex, prawda?","Каліба́н:\nТи знаєш про королівство Некс, так?",Caliban:\nKen je het koninkrijk Nex?,"Caliban:\nNex krallığını biliyorsun, değil mi?"
