Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_ACH_NAME_0,,Brimstone Collector I,ブリムストーン・コレクターI,Schwefelsammler I,Collectionneur de Soufre I,Coleccionista de Azufre I,Coletor de Enxofre I,Коллекционер Серы I,Collezionista di Zolfo I,硫磺收集者 I,硫磺收集者I,유황석 수집가 I,Kolekcjoner Siarki I,Збирач Сірки I,Zwavelcollector I,Kükürt Toplayıcı I
L_ACH_DESC_0,,"Obtain 10,000 {RES_BRIMSTONE}.","{RES_BRIMSTONE}を10,000個入手する。",Erhalte 10.000 {RES_BRIMSTONE}.,Obtenez 10 000 {RES_BRIMSTONE}.,"Obtén 10,000 {RES_BRIMSTONE}.",Obtenha 10.000 {RES_BRIMSTONE}.,"Получите 10,000 {RES_BRIMSTONE}.","Ottieni 10,000 {RES_BRIMSTONE}.","獲得 10,000 {RES_BRIMSTONE}。","获得10,000{RES_BRIMSTONE}。","10,000 {RES_BRIMSTONE}을(를) 획득하세요.","Zdobądź 10,000 {RES_BRIMSTONE}.","Отримайте 10,000 {RES_BRIMSTONE}.",Verkrijg 10.000 {RES_BRIMSTONE}.,"10,000 {RES_BRIMSTONE} elde et."
L_ACH_NAME_1,,Brimstone Collector II,ブリムストーン・コレクターII,Schwefelsammler II,Collecteur de Soufre II,Coleccionista de Azufre II,Colecionador de Enxofre II,Коллекционер Серы II,Collezionista di Zolfo II,硫磺收集者 II,硫磺收集者II,유황석 수집가 II,Kolekcjoner Siarki II,Колекціонер Сірки II,Zwavelcollector II,Kükürt Toplayıcı II
L_ACH_DESC_1,,"Obtain 50,000 {RES_BRIMSTONE}.","{RES_BRIMSTONE}を50,000個入手する。",Erhalte 50.000 {RES_BRIMSTONE}.,Obtenez 50 000 {RES_BRIMSTONE}.,"Obtén 50,000 {RES_BRIMSTONE}.",Obtenha 50.000 {RES_BRIMSTONE}.,"Получите 50,000 {RES_BRIMSTONE}.",Ottieni 50.000 {RES_BRIMSTONE}.,"獲得 50,000 {RES_BRIMSTONE}。","获得50,000{RES_BRIMSTONE}。","{RES_BRIMSTONE} 50,000개 획득하세요.","Zdobądź 50,000 {RES_BRIMSTONE}.","Отримайте 50,000 {RES_BRIMSTONE}.",Verkrijg 50.000 {RES_BRIMSTONE}.,"50,000 {RES_BRIMSTONE} elde et."
L_ACH_NAME_2,,Brimstone Collector III,ブリムストーン・コレクターIII,Schwefelsammler III,Collecteur de Soufre III,Colector de Azufre III,Colecionador de Enxofre III,Коллекционер Серы III,Collezionista di Zolfo III,硫磺收集者 III,硫磺收集者III,유황석 수집가 III,Kolekcjoner Siarki III,Збирач Сірки III,Zwavelcollector III,Kükürt Toplayıcısı III
L_ACH_DESC_2,,"Obtain 100,000 {RES_BRIMSTONE}.","{RES_BRIMSTONE}を100,000個入手する。",Erhalte 100.000 {RES_BRIMSTONE}.,"Obtenez 100,000 {RES_BRIMSTONE}.","Obtén 100,000 {RES_BRIMSTONE}.",Obtenha 100.000 {RES_BRIMSTONE}.,"Получите 100,000 {RES_BRIMSTONE}.","Ottieni 100,000 {RES_BRIMSTONE}.","獲得 100,000 {RES_BRIMSTONE}。","获得100,000{RES_BRIMSTONE}。","{RES_BRIMSTONE} 100,000개 획득하세요.","Zdobądź 100,000 {RES_BRIMSTONE}.","Отримайте 100,000 {RES_BRIMSTONE}.",Verkrijg 100.000 {RES_BRIMSTONE}.,"100,000 {RES_BRIMSTONE} elde et."
L_ACH_NAME_3,,Brimstone Collector IV,ブリムストーン・コレクターIV,Schwefelsammler IV,Collecteur de Soufre IV,Colector de Azufre IV,Colecionador de Enxofre IV,Коллекционер Серы IV,Collezionista di Zolfo IV,硫磺收集者 IV,硫磺收集者IV,유황석 수집가 IV,Kolekcjoner Siarki IV,Збирач Сірки IV,Zwavelcollector IV,Kükürt Toplayıcısı IV
L_ACH_DESC_3,,"Obtain 250,000 {RES_BRIMSTONE}.","{RES_BRIMSTONE}を250,000個入手する。",Erhalte 250.000 {RES_BRIMSTONE}.,Obtenez 250 000 {RES_BRIMSTONE}.,"Obtén 250,000 {RES_BRIMSTONE}.","Obtenha 250,000 {RES_BRIMSTONE}.","Получите 250,000 {RES_BRIMSTONE}.","Ottieni 250,000 {RES_BRIMSTONE}.","獲得 250,000 {RES_BRIMSTONE}。","获得250,000{RES_BRIMSTONE}。","250,000 {RES_BRIMSTONE} 획득하기.","Zdobądź 250,000 {RES_BRIMSTONE}.","Отримайте 250,000 {RES_BRIMSTONE}.",Verkrijg 250.000 {RES_BRIMSTONE}.,"250,000 {RES_BRIMSTONE} elde et."
L_ACH_NAME_4,,Brimstone Collector V,ブリムストーン・コレクターV,Schwefelsammler V,Collecteur de Soufre V,Colector de Azufre V,Coletor de Enxofre V,Коллекционер Серы V,Collettore di Zolfo V,硫磺收集者 V,硫磺收集者V,유황석 수집가 V,Kolekcjoner Siarki V,Колекціонер Сірки V,Zwavelcollector V,Kükürt Toplayıcı V
L_ACH_DESC_4,,"Obtain 500,000 {RES_BRIMSTONE}.","{RES_BRIMSTONE}を500,000個入手する。",Erhalte 500.000 {RES_BRIMSTONE}.,Obtenez 500 000 {RES_BRIMSTONE}.,"Obtén 500,000 {RES_BRIMSTONE}.",Obtenha 500.000 {RES_BRIMSTONE}.,"Получите 500,000 {RES_BRIMSTONE}.",Ottieni 500.000 {RES_BRIMSTONE}.,"獲得 500,000 {RES_BRIMSTONE}。","获得500,000{RES_BRIMSTONE}。","{RES_BRIMSTONE} 500,000개 획득하세요.","Zdobądź 500,000 {RES_BRIMSTONE}.","Отримайте 500,000 {RES_BRIMSTONE}.",Verkrijg 500.000 {RES_BRIMSTONE}.,"500,000 {RES_BRIMSTONE} elde et."
