Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_CARD_ENT1,,Your creatures recover 20% more {STAT_health} from {CONDNAME_BUFF_MEND}.,味方の生物は{CONDNAME_BUFF_MEND}から{STAT_health}を20%多く回復する。,Deine Kreaturen regenerieren 20% mehr {STAT_health} durch {CONDNAME_BUFF_MEND}.,Vos créatures récupèrent 20% de {STAT_health} supplémentaire grâce à {CONDNAME_BUFF_MEND}.,Tus criaturas recuperan un 20% más de {STAT_health} de {CONDNAME_BUFF_MEND}.,Suas criaturas recuperam 20% mais {STAT_health} de {CONDNAME_BUFF_MEND}.,Ваши существа восстанавливают на 20% больше {STAT_health} от {CONDNAME_BUFF_MEND}.,Le tue creature recuperano il 20% in più di {STAT_health} da {CONDNAME_BUFF_MEND}.,你的生物從{CONDNAME_BUFF_MEND}中恢復的{STAT_health}增加20%。,你的生物因{CONDNAME_BUFF_MEND}而恢复的{STAT_health}提高20%。,당신의 생물들은 {CONDNAME_BUFF_MEND}에서 20% 더 많은 {STAT_health}를 회복합니다.,Twoje stworzenia odzyskują o 20% więcej {STAT_health} z {CONDNAME_BUFF_MEND}.,Ваші істоти відновлюють на 20% більше {STAT_health} від {CONDNAME_BUFF_MEND}.,Je wezens herstellen 20% meer {STAT_health} van {CONDNAME_BUFF_MEND}.,Yaratıkların {CONDNAME_BUFF_MEND} sayesinde %20 daha fazla {STAT_health} kazanır.
L_CARD_ENT2,,Your creatures with {CONDNAME_BUFF_MEND} take 10% less damage.,自分の{CONDNAME_BUFF_MEND}を持つ生物は受けるダメージが10%減少する。,Deine Kreaturen mit {CONDNAME_BUFF_MEND} erleiden 10% weniger Schaden.,Vos créatures avec {CONDNAME_BUFF_MEND} subissent 10% de dégâts en moins.,Tus criaturas con {CONDNAME_BUFF_MEND} reciben 10% menos de daño.,Suas criaturas com {CONDNAME_BUFF_MEND} recebem 10% menos de dano.,Ваши существа с {CONDNAME_BUFF_MEND} получают на 10% меньше урона.,Le tue creature con {CONDNAME_BUFF_MEND} subiscono il 10% in meno di danni.,你的具有{CONDNAME_BUFF_MEND}的生物受到的傷害減少10%。,你拥有{CONDNAME_BUFF_MEND}的生物受到的伤害减少10%。,당신의 {CONDNAME_BUFF_MEND} 상태인 생물은 10% 적은 피해를 받습니다.,Twoje stworzenia z {CONDNAME_BUFF_MEND} otrzymują o 10% mniej obrażeń.,Ваші істоти з {CONDNAME_BUFF_MEND} отримують на 10% менше шкоди.,Je wezens met {CONDNAME_BUFF_MEND} krijgen 10% minder schade.,Mend {CONDNAME_BUFF_MEND} özelliğine sahip yaratıkların aldığı hasar %10 azalır.
L_CARD_ENT3,,Your creatures' {CONDNAME_BUFF_MEND} buffs last forever.,味方の生物の{CONDNAME_BUFF_MEND}バフは永続的に持続する。,Deine Kreaturen-{CONDNAME_BUFF_MEND}-Buffs halten ewig an.,Les améliorations {CONDNAME_BUFF_MEND} de vos créatures durent éternellement.,Tus criaturas conservan los beneficios de {CONDNAME_BUFF_MEND} para siempre.,As criaturas do seu {CONDNAME_BUFF_MEND} duram para sempre.,Баффы {CONDNAME_BUFF_MEND} ваших существ длятся вечно.,Le tue creature mantengono i bonus {CONDNAME_BUFF_MEND} per sempre.,你的生物的{CONDNAME_BUFF_MEND}增益效果永久持續。,你的生物的{CONDNAME_BUFF_MEND}增益永久持续。,당신의 생물들의 {CONDNAME_BUFF_MEND} 버프는 영원히 지속됩니다.,Efekty {CONDNAME_BUFF_MEND} twoich stworzeń trwają wiecznie.,Бафи {CONDNAME_BUFF_MEND} ваших істот тривають вічно.,Je wezens' {CONDNAME_BUFF_MEND} buffs duren voor altijd.,Yaratıklarının {CONDNAME_BUFF_MEND} güçlendirmeleri sonsuza kadar sürer.
L_CARD_PARAGON1,,Enemies with {CONDNAME_DEBUFF_SILENCE} deal 15% less damage.,{CONDNAME_DEBUFF_SILENCE}状態の敵は与えるダメージが15%減少する。,Gegner mit {CONDNAME_DEBUFF_SILENCE} verursachen 15% weniger Schaden.,Les ennemis avec {CONDNAME_DEBUFF_SILENCE} infligent 15% de dégâts en moins.,Los enemigos con {CONDNAME_DEBUFF_SILENCE} infligen un 15% menos de daño.,Inimigos com {CONDNAME_DEBUFF_SILENCE} causam 15% menos dano.,Враги с {CONDNAME_DEBUFF_SILENCE} наносят на 15% меньше урона.,I nemici con {CONDNAME_DEBUFF_SILENCE} infliggono il 15% di danni in meno.,帶有{CONDNAME_DEBUFF_SILENCE}的敵人造成的傷害減少15%。,带有{CONDNAME_DEBUFF_SILENCE}的敌人造成的伤害减少15%。,{CONDNAME_DEBUFF_SILENCE} 상태인 적은 15% 더 적은 피해를 입힙니다.,Wrogowie z {CONDNAME_DEBUFF_SILENCE} zadają o 15% mniej obrażeń.,Вороги з {CONDNAME_DEBUFF_SILENCE} завдають на 15% менше шкоди.,Vijanden met {CONDNAME_DEBUFF_SILENCE} doen 15% minder schade.,{CONDNAME_DEBUFF_SILENCE} etkisindeki düşmanlar %15 daha az hasar verir.
L_CARD_PARAGON2,,Increases the duration of enemies' {CONDNAME_DEBUFF_SILENCE} debuff by 1 turn.,敵の{CONDNAME_DEBUFF_SILENCE}デバフの持続時間を1ターン延長する。,Erhöht die Dauer des {CONDNAME_DEBUFF_SILENCE}-Debuffs von Gegnern um 1 Runde.,Augmente la durée du malus {CONDNAME_DEBUFF_SILENCE} des ennemis de 1 tour.,Aumenta la duración del perjuicio {CONDNAME_DEBUFF_SILENCE} de los enemigos en 1 turno.,Aumenta a duração do debuff {CONDNAME_DEBUFF_SILENCE} dos inimigos em 1 turno.,Увеличивает длительность дебаффа {CONDNAME_DEBUFF_SILENCE} противников на 1 ход.,Aumenta la durata del debuff {CONDNAME_DEBUFF_SILENCE} dei nemici di 1 turno.,延長敵人的{CONDNAME_DEBUFF_SILENCE}減益效果持續時間1回合。,延长敌人的{CONDNAME_DEBUFF_SILENCE}减益1回合。,적의 {CONDNAME_DEBUFF_SILENCE} 디버프 지속 시간을 1턴 증가시킵니다.,Zwiększa czas trwania osłabienia {CONDNAME_DEBUFF_SILENCE} przeciwników o 1 turę.,Збільшує тривалість дебафу {CONDNAME_DEBUFF_SILENCE} ворогів на 1 хід.,Verhoogt de duur van de {CONDNAME_DEBUFF_SILENCE} verzwakking van vijanden met 1 beurt.,Düşmanların {CONDNAME_DEBUFF_SILENCE} debuff süresini 1 tur artırır.
L_CARD_PARAGON3,,"After an enemy is afflicted with {CONDNAME_DEBUFF_SILENCE}, one of its Spell Gems is Sealed.",敵が{CONDNAME_DEBUFF_SILENCE}状態になると、その呪文石の1つが封印される。,"Nachdem ein Feind mit {CONDNAME_DEBUFF_SILENCE} belegt wurde, wird einer seiner Zaubersteine versiegelt.","Après qu'un ennemi est affligé par {CONDNAME_DEBUFF_SILENCE}, l'une de ses Gemmes de Sort est Scellée.","Después de que un enemigo es afligido con {CONDNAME_DEBUFF_SILENCE}, una de sus Gemas de Hechizo queda Sellada.","Depois que um inimigo é afligido com {CONDNAME_DEBUFF_SILENCE}, uma de suas Gemas de Feitiço é Selada.","После того как враг поражен {CONDNAME_DEBUFF_SILENCE}, один из его Камней Заклинаний запечатывается.","Dopo che un nemico è afflitto da {CONDNAME_DEBUFF_SILENCE}, una delle sue Gemme Incantesimo viene Sigillata.",敵人受到{CONDNAME_DEBUFF_SILENCE}影響後，其中一顆法術寶石會被封印。,敌人被施加{CONDNAME_DEBUFF_SILENCE}后，它的其中一个法术宝石会被封印。,"적이 {CONDNAME_DEBUFF_SILENCE}에 걸리면, 그 적의 주문 보석 중 하나가 봉인됩니다.","Po tym, jak przeciwnik zostanie dotknięty {CONDNAME_DEBUFF_SILENCE}, jeden z jego Klejnotów Zaklęć zostaje Zapieczętowany.","Після того, як ворог отримує {CONDNAME_DEBUFF_SILENCE}, одна з його Магічних Перлин запечатується.","Nadat een vijand is getroffen door {CONDNAME_DEBUFF_SILENCE}, wordt een van zijn Spreukstenen Verzegeld.","Bir düşman {CONDNAME_DEBUFF_SILENCE} etkisine maruz kaldıktan sonra, Büyü Taşlarından biri Mühürlenir."
L_CARD_REAPER1,,Your creatures have a 10% greater chance to deal critical damage.,自分のクリーチャーがクリティカルダメージを与える確率が10%上昇する。,"Deine Kreaturen haben eine um 10% höhere Chance, kritischen Schaden zu verursachen.",Vos créatures ont 10% de chances supplémentaires d'infliger des dégâts critiques.,Tus criaturas tienen un 10% más de probabilidad de infligir daño crítico.,Suas criaturas têm 10% a mais de chance de causar dano crítico.,Ваши существа имеют на 10% больше шансов нанести критический урон.,Le tue creature hanno una probabilità del 10% maggiore di infliggere danni critici.,你的生物有額外10%的機率造成爆擊傷害。,你的生物造成暴击伤害的几率提高10%。,당신의 생물들은 치명타 피해를 입힐 확률이 10% 증가합니다.,Twoje stworzenia mają o 10% większą szansę na zadanie obrażeń krytycznych.,Ваші істоти мають на 10% більший шанс завдати критичної шкоди.,Je wezens hebben 10% meer kans om kritieke schade toe te brengen.,Yaratıklarının kritik hasar verme şansı %10 daha fazla.
L_CARD_REAPER2,,Your creatures deal 25% more critical damage.,クリーチャーのクリティカルダメージが25%増加する。,Deine Kreaturen verursachen 25% mehr kritischen Schaden.,Vos créatures infligent 25% de dégâts critiques supplémentaires.,Tus criaturas infligen un 25% más de daño crítico.,Suas criaturas causam 25% a mais de dano crítico.,Ваши существа наносят на 25% больше критического урона.,Le tue creature infliggono il 25% in più di danno critico.,你的生物造成的爆擊傷害提高25%。,你的生物造成的暴击伤害提高25%。,당신의 생물들이 치명타 피해를 25% 더 줍니다.,Twoje stworzenia zadają o 25% więcej obrażeń krytycznych.,Ваші істоти завдають на 25% більше критичної шкоди.,Je wezens veroorzaken 25% meer kritieke schade.,Yaratıkların %25 daha fazla kritik hasar verir.
L_CARD_REAPER3,,Your creatures have a minimum 10% chance to deal critical damage.,自分のクリーチャーは最低10%の確率でクリティカルダメージを与える。,"Deine Kreaturen haben eine minimale Chance von 10%, kritischen Schaden zu verursachen.",Vos créatures ont un minimum de 10% de chances d'infliger des dégâts critiques.,Tus criaturas tienen un mínimo de 10% de probabilidad de infligir daño crítico.,Suas criaturas têm uma chance mínima de 10% de causar dano crítico.,Ваши существа имеют минимум 10% шанс нанести критический урон.,Le tue creature hanno una probabilità minima del 10% di infliggere danni critici.,你的生物有至少10%機率造成爆擊傷害。,你的生物有至少10%几率造成暴击伤害。,당신의 생물들은 최소 10% 확률로 치명타 피해를 입힙니다.,Twoje stworzenia mają minimalnie 10% szans na zadanie obrażeń krytycznych.,Ваші істоти мають мінімум 10% шанс завдати критичної шкоди.,Je wezens hebben een minimale kans van 10% om kritieke schade toe te brengen.,Yaratıklarının kritik hasar verme şansı en az %10'dur.
L_CARD_HARPY1,,Enemies with {CONDNAME_DEBUFF_BLIND} deal 10% less damage.,{CONDNAME_DEBUFF_BLIND}状態の敵は与えるダメージが10%減少する。,Gegner mit {CONDNAME_DEBUFF_BLIND} verursachen 10% weniger Schaden.,Les ennemis avec {CONDNAME_DEBUFF_BLIND} infligent 10% de dégâts en moins.,Los enemigos con {CONDNAME_DEBUFF_BLIND} infligen un 10% menos de daño.,Inimigos com {CONDNAME_DEBUFF_BLIND} causam 10% menos dano.,Враги с {CONDNAME_DEBUFF_BLIND} наносят на 10% меньше урона.,I nemici con {CONDNAME_DEBUFF_BLIND} infliggono il 10% in meno di danni.,帶有{CONDNAME_DEBUFF_BLIND}的敵人造成的傷害減少10%。,带有{CONDNAME_DEBUFF_BLIND}的敌人造成的伤害减少10%。,{CONDNAME_DEBUFF_BLIND} 상태인 적은 10% 더 적은 피해를 입힙니다.,Wrogowie z {CONDNAME_DEBUFF_BLIND} zadają o 10% mniej obrażeń.,Вороги з {CONDNAME_DEBUFF_BLIND} завдають на 10% менше шкоди.,Vijanden met {CONDNAME_DEBUFF_BLIND} doen 10% minder schade.,{CONDNAME_DEBUFF_BLIND} etkisindeki düşmanlar %10 daha az hasar verir.
