Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_TRAIT_NAME_CIRCLEOFLIFE,,Circle of Life,生命の環,Kreis des Lebens,Cercle de Vie,Círculo de la Vida,Círculo da Vida,Круг Жизни,Cerchio della Vita,生命之環,生命之环,생명의 고리,Krąg Życia,Коло Життя,Cirkel van het Leven,Yaşam Döngüsü
L_TRAIT_DESC_CIRCLEOFLIFE,,"After this creature {ACTION_attacks}, it heals allies for 50% of the damage dealt.",この生物が{ACTION_attacks}した後、与えたダメージの50%だけ味方を回復させる。,"Nachdem diese Kreatur {ACTION_attacks}, heilt sie Verbündete um 50% des verursachten Schadens.","Après que cette créature {ACTION_attacks}, elle soigne ses alliés de 50% des dégâts infligés.","Después de que esta criatura {ACTION_attacks}, cura a los aliados por el 50% del daño infligido.","Após esta criatura {ACTION_attacks}, ela cura aliados em 50% do dano causado.","После того как это существо {ACTION_attacks}, оно исцеляет союзников на 50% от нанесённого урона.","Dopo che questa creatura {ACTION_attacks}, cura gli alleati per il 50% del danno inflitto.",此生物{ACTION_attacks}後，會為盟友治療相當於所造成傷害50%的生命值。,这个生物{ACTION_attacks}后，它治疗其他盟友，数值等同于所造成伤害的50%。,"이 생물이 {ACTION_attacks} 후, 가한 피해의 50%만큼 아군을 치유합니다.","Po tym, jak to stworzenie {ACTION_attacks}, leczy sojuszników o 50% zadanych obrażeń.","Після того, як ця істота {ACTION_attacks}, вона зцілює союзників на 50% від завданих ушкоджень.","Nadat dit wezen {ACTION_attacks}, geneest het bondgenoten voor 50% van de toegebrachte schade.","Bu yaratık {ACTION_attacks} sonrasında, verdiği hasarın %50'si kadar müttefiklerini iyileştirir."
L_TRAIT_NAME_RIGHTEOUSWINDS,,Righteous Winds,正義の風,Rechtschaffene Winde,Vents Vertueux,Vientos Justos,Ventos Justiceiros,Праведные Ветра,Venti Virtuosi,正義之風,正义之风,정의의 바람,Prawe Wiatry,Праведні Вітри,Rechtvaardige Winden,Kutsal Rüzgarlar
L_TRAIT_DESC_RIGHTEOUSWINDS,,"After this creature {ACTION_attacks}, it increases a random ally's {STAT_attack} and {STAT_intelligence} by 50%.",この生物が{ACTION_attacks}した後、ランダムな味方の{STAT_attack}と{STAT_intelligence}を50%上昇させる。,"Nachdem diese Kreatur {ACTION_attacks}, erhöht sie {STAT_attack} und {STAT_intelligence} eines zufälligen Verbündeten um 50%.","Après que cette créature {ACTION_attacks}, elle augmente {STAT_attack} et {STAT_intelligence} d'un allié aléatoire de 50%.","Después de que esta criatura {ACTION_attacks}, aumenta el {STAT_attack} y la {STAT_intelligence} de un aliado aleatorio en un 50%.","Após esta criatura {ACTION_attacks}, ela aumenta o {STAT_attack} e a {STAT_intelligence} de um aliado aleatório em 50%.","После того как это существо {ACTION_attacks}, оно увеличивает {STAT_attack} и {STAT_intelligence} случайного союзника на 50%.","Dopo che questa creatura {ACTION_attacks}, aumenta {STAT_attack} e {STAT_intelligence} di un alleato casuale del 50%.",此生物{ACTION_attacks}後，會隨機提升一名盟友的{STAT_attack}和{STAT_intelligence}各50%。,这个生物{ACTION_attacks}后，它增加一个随机盟友的{STAT_attack}和{STAT_intelligence}50%。,"이 생물이 {ACTION_attacks}한 후, 무작위 아군의 {STAT_attack}과 {STAT_intelligence}를 50% 증가시킵니다.","Po tym, jak to stworzenie {ACTION_attacks}, zwiększa losowemu sojusznikowi {STAT_attack} i {STAT_intelligence} o 50%.","Після того, як ця істота {ACTION_attacks}, вона збільшує {STAT_attack} та {STAT_intelligence} випадкового союзника на 50%.","Nadat dit wezen {ACTION_attacks}, verhoogt het de {STAT_attack} en {STAT_intelligence} van een willekeurige bondgenoot met 50%.","Bu yaratık {ACTION_attacks} sonrasında, rastgele bir müttefikin {STAT_attack} ve {STAT_intelligence} değerlerini %50 artırır."
L_TRAIT_NAME_DIVINEMENDING,,Divine Mending,神聖回復,Göttliche Regeneration,Guérison Divine,Restauración Divina,Restauração Divina,Божественное Исцеление,Guarigione Divina,神聖修復,神圣愈合,신성한 치유,Boskie Uzdrowienie,Божественне Зцілення,Goddelijke Genezing,İlahi Onarım
L_TRAIT_DESC_DIVINEMENDING,,"After this creature {ACTION_attacks}, it heals its ally with the lowest {STAT_health} for 200% of the damage dealt.",この生物が{ACTION_attacks}した後、{STAT_health}が最も低い味方に与えたダメージの200%分回復させる。,"Nachdem diese Kreatur {ACTION_attacks}, heilt sie ihren Verbündeten mit dem niedrigsten {STAT_health} um 200% des verursachten Schadens.","Après que cette créature {ACTION_attacks}, elle soigne son allié avec le {STAT_health} le plus bas pour 200% des dégâts infligés.","Después de que esta criatura {ACTION_attacks}, cura a su aliado con el {STAT_health} más bajo por el 200% del daño infligido.","Após esta criatura {ACTION_attacks}, ela cura seu aliado com o menor {STAT_health} em 200% do dano causado.","После того как это существо {ACTION_attacks}, оно исцеляет своего союзника с наименьшим {STAT_health} на 200% от нанесённого урона.","Dopo che questa creatura {ACTION_attacks}, cura l'alleato con il {STAT_health} più basso per il 200% del danno inflitto.",此生物{ACTION_attacks}後，會為生命值{STAT_health}最低的盟友治療相當於造成傷害200%的生命值。,这个生物{ACTION_attacks}后，它治疗其{STAT_health}最低的盟友，数值等同于所造成伤害的200%。,"이 생물이 {ACTION_attacks} 후, 가장 낮은 {STAT_health}를 가진 아군을 입힌 피해량의 200%만큼 치유합니다.","Po tym, jak to stworzenie {ACTION_attacks}, leczy swojego sojusznika z najniższym {STAT_health} o 200% zadanych obrażeń.","Після того, як ця істота {ACTION_attacks}, вона зцілює свого союзника з найнижчим показником {STAT_health} на 200% від завданих ушкоджень.","Nadat dit wezen {ACTION_attacks}, geneest het zijn bondgenoot met de laagste {STAT_health} voor 200% van de toegebrachte schade.","Bu yaratık {ACTION_attacks} sonrasında, en düşük {STAT_health} değerine sahip müttefikini verdiği hasarın %200'ü kadar iyileştirir."
L_TRAIT_NAME_SPUROFTHEHEAVENS,,Spur of the Heavens,天空の拍車,Sporn der Himmel,Éperon des Cieux,Espuela de los Cielos,Espora dos Céus,Шпора Небес,Sprone dei Cieli,天界之刺,天堂之驱,천국의 박차,Ostroga Niebios,Шпора Небес,Spoor van de Hemelen,Göklerin Mahmuzları
L_TRAIT_DESC_SPUROFTHEHEAVENS,,"After this creature {ACTION_attacks}, it has a 50% chance to move a random ally to the top of the {TIMELINE}.",この生物が{ACTION_attacks}した後、50%の確率でランダムな味方を{TIMELINE}の先頭に移動させる。,"Nachdem diese Kreatur {ACTION_attacks}, besteht eine 50% Chance, dass sie einen zufälligen Verbündeten an die Spitze der {TIMELINE} bewegt.","Après que cette créature {ACTION_attacks}, elle a 50% de chances de déplacer un allié aléatoire en haut de la {TIMELINE}.","Después de que esta criatura {ACTION_attacks}, tiene un 50% de probabilidad de mover a un aliado aleatorio a la parte superior del {TIMELINE}.","Após esta criatura {ACTION_attacks}, ela tem 50% de chance de mover um aliado aleatório para o topo da {TIMELINE}.","После того как это существо {ACTION_attacks}, у него есть 50% шанс переместить случайного союзника в начало {TIMELINE}.","Dopo che questa creatura {ACTION_attacks}, ha il 50% di possibilità di spostare un alleato casuale in cima alla {TIMELINE}.",在這個生物{ACTION_attacks}後，有50%的機率將一個隨機盟友移至{TIMELINE}的最前端。,这个生物{ACTION_attacks}后，它有50%几率将一个随机盟友移至{TIMELINE}顶端。,"이 생물이 {ACTION_attacks}한 후, 50% 확률로 무작위 아군을 {TIMELINE} 맨 위로 이동시킵니다.","Po tym, jak to stworzenie {ACTION_attacks}, ma 50% szans na przesunięcie losowego sojusznika na szczyt {TIMELINE}.","Після того, як ця істота {ACTION_attacks}, вона має 50% шанс перемістити випадкового союзника на початок {TIMELINE}.","Nadat dit wezen {ACTION_attacks}, heeft het 50% kans om een willekeurige bondgenoot naar de top van de {TIMELINE} te verplaatsen.","Bu yaratık {ACTION_attacks} sonrasında, rastgele bir müttefikini {TIMELINE} üstüne taşımak için %50 şansı vardır."
L_TRAIT_NAME_CHRYSAOR'SAMBITION,,Chrysaor's Ambition,クリュサオルの野望,Chrysaors Ambition,Ambition de Chrysaor,Ambición de Crisaor,Ambição de Chrysaor,Амбиции Хрисаора,Ambizione di Crisaore,克律薩俄爾的野心,克律萨俄耳的野心,크리사오르의 야망,Ambicja Chryzaora,Амбіції Хрісаора,Chrysaor's Ambitie,Krizaor'un Hırsı
L_TRAIT_DESC_CHRYSAOR'SAMBITION,,"After this creature {ACTION_attacks}, it gives a random ally 2 random buffs.",この生物が{ACTION_attacks}した後、ランダムな味方に2つのランダムなバフを与える。,"Nachdem diese Kreatur {ACTION_attacks}, verleiht sie einem zufälligen Verbündeten 2 zufällige Buffs.","Après que cette créature {ACTION_attacks}, elle donne 2 bonus aléatoires à un allié aléatoire.","Después de que esta criatura {ACTION_attacks}, otorga a un aliado aleatorio 2 mejoras aleatorias.","Após esta criatura {ACTION_attacks}, ela concede a um aliado aleatório 2 bônus aleatórios.","После того как это существо {ACTION_attacks}, оно даёт случайному союзнику 2 случайных усиления.","Dopo che questa creatura {ACTION_attacks}, conferisce a un alleato casuale 2 potenziamenti casuali.",在這個生物{ACTION_attacks}後，它會給予一個隨機盟友2個隨機增益效果。,这个生物{ACTION_attacks}后，它给予一个随机盟友两个随机增益。,"이 생물이 {ACTION_attacks} 후, 무작위 아군에게 무작위 버프 2개를 부여합니다.","Po tym, jak to stworzenie {ACTION_attacks}, nadaje losowemu sojusznikowi 2 losowe wzmocnienia.","Після того, як ця істота {ACTION_attacks}, вона дає випадковому союзнику 2 випадкових підсилення.","Nadat dit wezen {ACTION_attacks}, geeft het een willekeurige bondgenoot 2 willekeurige buffs.","Bu yaratık {ACTION_attacks} sonrasında, rastgele bir müttefikine 2 rastgele güçlendirme verir."
L_TRAIT_NAME_PYRE,,Pyre,焔火,Scheiterhaufen,Bûcher,Pira,Pira,Костер,Pira,聖火,火葬,불꽃,Stos,Вогнище,Brandstapel,Ateş Çukuru
L_TRAIT_DESC_PYRE,,This creature's attacks deal 75% more damage and afflict the target with {CONDNAME_DEBUFF_BURNED}.,この生物の攻撃は75%多くのダメージを与え、対象に{CONDNAME_DEBUFF_BURNED}を付与する。,Diese Kreatur verursacht mit ihren Angriffen 75% mehr Schaden und belegt das Ziel mit {CONDNAME_DEBUFF_BURNED}.,Les attaques de cette créature infligent 75% de dégâts supplémentaires et affligent la cible avec {CONDNAME_DEBUFF_BURNED}.,Los ataques de esta criatura infligen un 75% más de daño y afligen al objetivo con {CONDNAME_DEBUFF_BURNED}.,Os ataques desta criatura causam 75% a mais de dano e afligem o alvo com {CONDNAME_DEBUFF_BURNED}.,Атаки этого существа наносят на 75% больше урона и поражают цель эффектом {CONDNAME_DEBUFF_BURNED}.,Gli attacchi di questa creatura infliggono il 75% di danni in più e affliggono il bersaglio con {CONDNAME_DEBUFF_BURNED}.,此生物的攻擊造成75%額外傷害，並使目標受到{CONDNAME_DEBUFF_BURNED}的影響。,这个生物攻击造成的伤害增加75%，并给目标施加{CONDNAME_DEBUFF_BURNED}。,이 생물의 공격은 75% 더 많은 피해를 주고 대상에게 {CONDNAME_DEBUFF_BURNED}를 부여합니다.,Ta istota zadaje o 75% więcej obrażeń i nakłada na cel {CONDNAME_DEBUFF_BURNED}.,Атаки цієї істоти завдають на 75% більше шкоди та вражають ціль ефектом {CONDNAME_DEBUFF_BURNED}.,Deze schepsel's aanvallen doen 75% meer schade en treffen het doelwit met {CONDNAME_DEBUFF_BURNED}.,Bu yaratığın saldırıları %75 daha fazla hasar verir ve hedefi {CONDNAME_DEBUFF_BURNED} ile etkiler.
L_TRAIT_NAME_RIME,,Rime,リム,Reif,Givre,Rime,Rima,Иней,Brina,霜凍,白霜,서리,Szron,Іній,Rijm,Kırağı
L_TRAIT_DESC_RIME,,This creature's attacks deal 75% more damage and afflict the target with {CONDNAME_DEBUFF_FROZEN}.,この生物の攻撃は75%多くのダメージを与え、対象に{CONDNAME_DEBUFF_FROZEN}を付与する。,Diese Kreatur verursacht mit ihren Angriffen 75% mehr Schaden und belegt das Ziel mit {CONDNAME_DEBUFF_FROZEN}.,Les attaques de cette créature infligent 75% de dégâts supplémentaires et affligent la cible avec {CONDNAME_DEBUFF_FROZEN}.,Los ataques de esta criatura infligen un 75% más de daño y afligen al objetivo con {CONDNAME_DEBUFF_FROZEN}.,Os ataques desta criatura causam 75% a mais de dano e afligem o alvo com {CONDNAME_DEBUFF_FROZEN}.,Атаки этого существа наносят на 75% больше урона и поражают цель эффектом {CONDNAME_DEBUFF_FROZEN}.,Gli attacchi di questa creatura infliggono il 75% di danni in più e affliggono il bersaglio con {CONDNAME_DEBUFF_FROZEN}.,此生物的攻擊造成75%額外傷害，並使目標陷入{CONDNAME_DEBUFF_FROZEN}狀態。,这个生物攻击造成的伤害增加75%，并给目标施加{CONDNAME_DEBUFF_FROZEN}。,이 생물의 공격은 75% 더 많은 피해를 주고 대상에게 {CONDNAME_DEBUFF_FROZEN}을 부여합니다.,Ta istota zadaje o 75% więcej obrażeń i nakłada na cel {CONDNAME_DEBUFF_FROZEN}.,Атаки цієї істоти завдають на 75% більше шкоди та вражають ціль ефектом {CONDNAME_DEBUFF_FROZEN}.,Deze wezen's aanvallen doen 75% meer schade en treffen het doelwit met {CONDNAME_DEBUFF_FROZEN}.,Bu yaratığın saldırıları %75 daha fazla hasar verir ve hedefi {CONDNAME_DEBUFF_FROZEN} ile etkiler.
L_TRAIT_NAME_STASIS,,Stasis,スタシス,Stase,Stase,Estasis,Estase,Стазис,Stasi,靜止,静滞,정지,Unieruchomienie,Стазис,Stasis,Durgunluk
L_TRAIT_DESC_STASIS,,This creature's attacks deal 75% more damage and afflict the target with {CONDNAME_DEBUFF_CONFUSED}.,この生物の攻撃は75%多くのダメージを与え、対象に{CONDNAME_DEBUFF_CONFUSED}を付与する。,Diese Kreatur verursacht mit ihren Angriffen 75% mehr Schaden und belegt das Ziel mit {CONDNAME_DEBUFF_CONFUSED}.,Les attaques de cette créature infligent 75% de dégâts supplémentaires et affligent la cible avec {CONDNAME_DEBUFF_CONFUSED}.,Los ataques de esta criatura infligen un 75% más de daño y afligen al objetivo con {CONDNAME_DEBUFF_CONFUSED}.,Os ataques desta criatura causam 75% a mais de dano e afligem o alvo com {CONDNAME_DEBUFF_CONFUSED}.,Атаки этого существа наносят на 75% больше урона и поражают цель {CONDNAME_DEBUFF_CONFUSED}.,Gli attacchi di questa creatura infliggono il 75% di danni in più e affliggono il bersaglio con {CONDNAME_DEBUFF_CONFUSED}.,此生物的攻擊造成75%額外傷害，並使目標陷入{CONDNAME_DEBUFF_CONFUSED}狀態。,这个生物攻击造成的伤害增加75%，并给目标施加{CONDNAME_DEBUFF_CONFUSED}。,이 생물의 공격은 75% 더 많은 피해를 주고 대상에게 {CONDNAME_DEBUFF_CONFUSED}를 부여합니다.,Ta istota zadaje o 75% więcej obrażeń i nakłada na cel {CONDNAME_DEBUFF_CONFUSED}.,Атаки цієї істоти завдають на 75% більше шкоди та вражають ціль ефектом {CONDNAME_DEBUFF_CONFUSED}.,Deze wezen's aanvallen doen 75% meer schade en treffen het doelwit met {CONDNAME_DEBUFF_CONFUSED}.,Bu yaratığın saldırıları %75 daha fazla hasar verir ve hedefi {CONDNAME_DEBUFF_CONFUSED} ile etkiler.
L_TRAIT_NAME_SCOURGE,,Scourge,スカージ,Geißel,Fléau,Azote,Flagelo,Бич,Flagello,天譴,灾祸,재앙,Plaga,Бич,Gesel,Bela
L_TRAIT_DESC_SCOURGE,,This creature's attacks deal 75% more damage and afflict the target with {CONDNAME_DEBUFF_WEAK}.,この生物の攻撃は75%多くのダメージを与え、対象に{CONDNAME_DEBUFF_WEAK}を付与する。,Diese Kreatur verursacht mit ihren Angriffen 75% mehr Schaden und belegt das Ziel mit {CONDNAME_DEBUFF_WEAK}.,Les attaques de cette créature infligent 75% de dégâts supplémentaires et affligent la cible avec {CONDNAME_DEBUFF_WEAK}.,Los ataques de esta criatura infligen un 75% más de daño y afligen al objetivo con {CONDNAME_DEBUFF_WEAK}.,Os ataques desta criatura causam 75% a mais de dano e afligem o alvo com {CONDNAME_DEBUFF_WEAK}.,Атаки этого существа наносят на 75% больше урона и поражают цель эффектом {CONDNAME_DEBUFF_WEAK}.,Gli attacchi di questa creatura infliggono il 75% di danni in più e affliggono il bersaglio con {CONDNAME_DEBUFF_WEAK}.,此生物的攻擊造成75%額外傷害，並使目標受到{CONDNAME_DEBUFF_WEAK}的影響。,这个生物攻击造成的伤害增加75%，并给目标施加{CONDNAME_DEBUFF_WEAK}。,이 생물의 공격은 75% 더 많은 피해를 주고 대상에게 {CONDNAME_DEBUFF_WEAK}를 부여합니다.,Ta istota zadaje o 75% więcej obrażeń i nakłada na cel {CONDNAME_DEBUFF_WEAK}.,Атаки цієї істоти завдають на 75% більше шкоди та вражають ціль ефектом {CONDNAME_DEBUFF_WEAK}.,Deze schepsel's aanvallen doen 75% meer schade en treffen het doelwit met {CONDNAME_DEBUFF_WEAK}.,Bu yaratığın saldırıları %75 daha fazla hasar verir ve hedefi {CONDNAME_DEBUFF_WEAK} ile etkiler.
L_TRAIT_NAME_BLACKHOLEHALO,,Black Hole Halo,ブラックホール・ヘイロー,Schwarzloch-Heiligenschein,Halo du Trou Noir,Halo de Agujero Negro,Halo do Buraco Negro,Ореол Черной Дыры,Alone del Buco Nero,黑洞光環,黑洞光环,블랙홀 헤일로,Aureola Czarnej Dziury,Ореол Чорної Діри,Zwart Gat Halo,Kara Delik Halesi
