line,english,german,issues,reviewed,replacement
5,(This creature always seems to be dancing. Its beauty and grace are truly captivating.),(Dieses Wesen scheint immer zu tanzen. Seine Schönheit und Anmut sind wirklich fesselnd.),TERM:Creature->Kreatur,,
13,(It is strange to see a sentient creature act so robotically. The line between living creatures and technology is virtually non-existent.),"(Es ist seltsam, ein empfindsames Wesen zu sehen, das sich so roboterhaft verhält. Die Grenze zwischen Lebewesen und Technologie ist praktisch nicht vorhanden.)",TERM:Creature->Kreatur; TERM:Creatures->Kreaturen,,
15,(This creature is clearly the product of a sick and twisted mind.),(Dieses Wesen ist eindeutig das Produkt eines kranken und verdrehten Geistes.),TERM:Creature->Kreatur,,
18,"(Though this creature lacks a normal visage, you can't help but feel as though it's judging your every action.)","(Obwohl dieses Wesen kein normales Antlitz besitzt, kannst du dich des Gefühls nicht erwehren, als würde es jede deiner Handlungen beurteilen.)",TERM:Creature->Kreatur,,
40,(Such a mysterious creature. You suspect you'll never fully understand them.),"(Ein so geheimnisvolles Wesen. Du vermutest, dass du es nie vollständig verstehen wirst.)",TERM:Creature->Kreatur,,
70,"(This creature is completely out of control, headbutting everything in sight.)","(Dieses Wesen ist völlig außer Kontrolle und rammt alles, was es sieht, mit dem Kopf.)",TERM:Creature->Kreatur,,
71,(This creature is trying to pull out your hair to make an effigy. You're not sure whether to be flattered or revolted.),"(Dieses Wesen versucht, dir Haare auszureißen, um eine Puppe herzustellen. Du bist dir nicht sicher, ob du geschmeichelt oder angewidert sein sollst.)",TERM:Creature->Kreatur,,
95,(This creature has propped itself up by its arms and is repeatedly slamming its torso into the ground in an attempt to start an earthquake. Real mature.),"(Dieses Wesen hat sich auf seine Arme gestützt und schlägt wiederholt seinen Oberkörper auf den Boden, um zu versuchen, ein Erdbeben auszulösen. Sehr erwachsen.)",TERM:Creature->Kreatur,,
105,(This creature will always be picked last for the dodgeball team.),(Dieses Wesen wird immer als Letztes für die Völkerballmannschaft ausgewählt.),TERM:Creature->Kreatur,,
118,"(This creature has a peculiar habit of stimulating the minds of everyone around it. Right now, it's projecting some aggressive metal music into your brain.)","(Dieses Wesen hat die eigenartige Angewohnheit, die Gedanken aller in seiner Umgebung zu stimulieren. Im Moment projiziert es aggressive Metal-Musik in dein Gehirn.)",TERM:Creature->Kreatur,,
127,"(This creature always seems to be moving its hands in a peculiar way, as if it's constantly channeling some sort of spell.)","(Dieses Wesen scheint seine Hände stets auf eine seltsame Weise zu bewegen, als würde es ständig irgendeine Art von Zauber kanalisieren.)",TERM:Creature->Kreatur,,
130,"(It points at you, then mimes a drinking motion. Unsure about how to respond, you pretend to be distracted by another one of your creatures.)","(Es zeigt auf dich und deutet dann eine Trinkbewegung an. Unsicher, wie du reagieren sollst, tust du so, als würdest du von einem deiner anderen Wesen abgelenkt werden.)",TERM:Creatures->Kreaturen,,
132,(This creature has such a goofy face that even your normally-stoic personality is no match for the temptation to knock it flat on its slimy ass.),"(Dieses Wesen hat ein so albernes Gesicht, dass selbst deine normalerweise stoische Persönlichkeit der Versuchung nicht widerstehen kann, es flach auf seinen schleimigen Hintern zu schlagen.)",TERM:Creature->Kreatur,,
141,"(This creature never attempts to communicate with you. Despite the countless battles you've shared together, you're still complete strangers to one another.)","(Dieses Wesen versucht nie, mit dir zu kommunizieren. Trotz der unzähligen Schlachten, die ihr zusammen bestritten habt, seid ihr einander noch immer völlig fremd.)",TERM:Creature->Kreatur,,
145,(This creature has the ugliest feet you've ever had the displeasure to lay eyes on.),"(Dieses Wesen hat die hässlichsten Füße, die du jemals das Missvergnügen hattest zu erblicken.)",TERM:Creature->Kreatur,,
190,(The fact that such an amorphous creature is capable of wielding man-made weapons and armor is quite impressive.),"(Die Tatsache, dass ein so formloses Wesen in der Lage ist, von Menschen hergestellte Waffen und Rüstungen zu führen, ist ziemlich beeindruckend.)",TERM:Creature->Kreatur,,
209,(You'll probably never be able to fully trust that this creature won't stab you in the back when you least expect it.),"(Du wirst diesem Wesen wahrscheinlich nie vollständig vertrauen können, dass es dir nicht in den Rücken sticht, wenn du es am wenigsten erwartest.)",TERM:Creature->Kreatur,,
217,(This creature boasts unimaginable power. It seems to have mastered the elements even more easily than Rodia's most astute magi.),(Dieses Wesen verfügt über unvorstellbare Macht. Es scheint die Elemente noch leichter gemeistert zu haben als Rodias scharfsinnigste Magier.),TERM:Creature->Kreatur,,
228,"(Though this creature often speaks to you, you're unable to discern what it says. Its words are drowned out by an exaggerated echo that causes its intonation to be all but lost.)","(Obwohl dieses Wesen oft mit dir spricht, kannst du nicht erkennen, was es sagt. Seine Worte werden von einem übertriebenen Echo übertönt, das seine Betonung nahezu verschwinden lässt.)",TERM:Creature->Kreatur,,
249,Master... I can't help but think that I'm the strongest creature in all of {CASTLENAME}. Don't you agree?,"Meister... Ich kann nicht anders, als zu denken, dass ich das stärkste Wesen in ganz {CASTLENAME} bin. Stimmt Ihr nicht zu?",TERM:Creature->Kreatur,,
252,(This creature is easily startled. You attempted to pat its head and it jumped as if it didn't know you were there.),"(Dieses Wesen ist leicht zu erschrecken. Du hast versucht, seinen Kopf zu streicheln, und es sprang auf, als hätte es nicht gewusst, dass du da bist.)",TERM:Creature->Kreatur,,
265,(This creature is always the last one to join in a battle. Perhaps it would be better suited to living out the rest of its days in your castle.),"(Dieses Wesen ist immer das letzte, das sich einem Kampf anschließt. Vielleicht wäre es besser geeignet, den Rest seiner Tage in deiner Burg zu verbringen.)",TERM:Creature->Kreatur,,
274,"(It's chasing its own tail, which would be cute if this creature wasn't a massive, three-headed, carnivorous beast.)","(Es jagt seinem eigenen Schwanz hinterher, was niedlich wäre, wenn dieses Wesen nicht ein riesiges, dreiköpfiges, fleischfressendes Biest wäre.)",TERM:Creature->Kreatur,,
282,(This creature could easily be mistaken for a statue.),(Dieses Wesen könnte leicht mit einer Statue verwechselt werden.),TERM:Creature->Kreatur,,
299,"(This creature is trying to whistle unsuccessfully, perhaps trying to imitate someone it saw in the castle.)","(Dieses Wesen versucht erfolglos zu pfeifen, vielleicht in dem Versuch, jemanden nachzuahmen, den es im Schloss gesehen hat.)",TERM:Creature->Kreatur,,
306,"(This creature stinks, but you really can't blame Nortah. Who would want to clean a Troll?)","(Dieses Wesen stinkt, aber man kann Nortah wirklich nicht die Schuld geben. Wer würde schon einen Troll reinigen wollen?)",TERM:Creature->Kreatur,,
324,(This creature looks like the final boss of just about every adventure you've ever heard about.),"(Dieses Wesen sieht aus wie der Endgegner von praktisch jedem Abenteuer, von dem du je gehört hast.)",TERM:Creature->Kreatur,,
326,"(This is, without a doubt, one of the most disturbing creatures in the world. Personally, you can't imagine ever settling down to have children yourself.)","(Dies ist zweifellos eines der verstörendsten Geschöpfe der Welt. Persönlich kannst du dir nicht vorstellen, jemals selbst sesshaft zu werden und Kinder zu bekommen.)",TERM:Creatures->Kreaturen,,
332,"(Despite the fact that it can speak your language, this creature insists on hooting repeatedly to feign ignorance to whatever you tell it to do.)","(Obwohl dieses Wesen deine Sprache sprechen kann, besteht es darauf, wiederholt zu heulen, um Unwissenheit vorzutäuschen, egal was du ihm sagst.)",TERM:Creature->Kreatur,,
336,(This creature never eats or sleeps. How it survives is a mystery to even your most astute scholars.),"(Dieses Wesen isst oder schläft niemals. Wie es überlebt, ist selbst für eure scharfsinnigsten Gelehrten ein Rätsel.)",TERM:Creature->Kreatur,,
344,(This creature is surprisingly small when it's not wreaking havoc with its winds.),"(Dieses Wesen ist überraschend klein, wenn es nicht gerade mit seinen Winden Verwüstung anrichtet.)",TERM:Creature->Kreatur,,
348,"(With a bit of time and effort, you might be able to program this creature to automate chores around the castle.)","(Mit etwas Zeit und Mühe könntest du dieses Wesen so programmieren, dass es Aufgaben im Schloss automatisch erledigt.)",TERM:Creature->Kreatur,,
359,(It's spinning around on the floor. This creature would be useful in a drinking game.),(Es dreht sich auf dem Boden. Dieses Wesen wäre nützlich bei einem Trinkspiel.),TERM:Creature->Kreatur,,
362,"(While this creature is normally quite talkative, it doesn't seem to want to be bothered right now. It's turned away from you, clicking its pincers together methodically.)","(Obwohl dieses Wesen normalerweise recht gesprächig ist, scheint es im Moment nicht gestört werden zu wollen. Es hat sich von dir abgewandt und klappert methodisch mit seinen Scheren.)",TERM:Creature->Kreatur,,
367,"(You're surprised at the large amount of emotion this creature is displaying. It's a shield, after all. It seems to be perturbed about something.)","(Du bist überrascht über die starken Emotionen, die dieses Wesen zeigt. Es ist schließlich nur ein Schild. Es scheint über etwas beunruhigt zu sein.)",TERM:Creature->Kreatur,,
369,I often wonder why you never pick up any of the hundreds of powerful Spell Gems laying around in the Temple of Lies.\n\n(That's a good point.),"Ich frage mich oft, warum du nie einen der hunderten mächtigen Zaubergems aufhebst, die im Tempel der Lügen herumliegen.\n\n(Das ist ein guter Punkt.)",TERM:Spell Gems->Zaubersteine,,
400,(This creature reminds you of the jelly candy your parents used to give you as a child in exchange for doing mundane chores.),"(Dieses Wesen erinnert dich an die Geleebonbons, die dir deine Eltern als Kind für das Erledigen alltäglicher Hausarbeiten gegeben haben.)",TERM:Creature->Kreatur,,
401,"(As you watch it devour a pile of uncharged Spell Gems, you can't help but wince at the thought of it accidentally getting ahold of your fingers.)","(Als du beobachtest, wie es einen Haufen ungeladener Zaubergems verschlingt, kannst du nicht anders, als bei dem Gedanken zusammenzuzucken, dass es versehentlich deine Finger erwischen könnte.)",TERM:Spell Gems->Zaubersteine,,
413,(This creature moves so quickly that you sometimes find it difficult to focus your eyes on it.),"(Dieses Wesen bewegt sich so schnell, dass es dir manchmal schwerfällt, deine Augen darauf zu fokussieren.)",TERM:Creature->Kreatur,,
418,(It's pulsing nervously. Perhaps one of your other creatures did something to upset it.),"(Es pulsiert nervös. Vielleicht hat eines deiner anderen Wesen etwas getan, um es zu verärgern.)",TERM:Creatures->Kreaturen,,
433,(This creature has one and only one weakness: being dropped into a tub of water.),(Dieses Wesen hat eine und nur eine Schwäche: in eine Wanne mit Wasser geworfen zu werden.),TERM:Creature->Kreatur,,
435,"(Despite its horrifying appearance, this creature's steadfast loyalty to you and your kingdom is unquestionable.)",(Trotz seines erschreckenden Aussehens ist die unerschütterliche Loyalität dieses Wesens zu dir und deinem Königreich unbestreitbar.),TERM:Creature->Kreatur,,
438,(This creature moves with the grace and regality of a nobleman.),(Dieses Wesen bewegt sich mit der Anmut und Würde eines Adligen.),TERM:Creature->Kreatur,,
461,(This is perhaps the most serious and focused creature you've ever encountered. It will serve you well in battle.),"(Dies ist vielleicht das ernsthafteste und konzentrierteste Wesen, dem du je begegnet bist. Es wird dir im Kampf gute Dienste leisten.)",TERM:Creature->Kreatur,,
469,(This creature really needs to exercise some moderation. It plays games just a little too often for your liking.),(Dieses Wesen sollte wirklich etwas Mäßigung üben. Es spielt Spiele ein wenig zu oft für deinen Geschmack.),TERM:Creature->Kreatur,,
470,(This creature would make an excellent mascot for {CASTLENAME}.),(Dieses Wesen wäre ein ausgezeichnetes Maskottchen für {CASTLENAME}.),TERM:Creature->Kreatur,,
495,"(This creature is licking everything in sight. Even the floor, which is home to some unsavory presents after such a long journey.)","(Dieses Wesen leckt alles ab, was es sieht. Sogar den Boden, der nach einer so langen Reise einige unappetitliche Hinterlassenschaften beherbergt.)",TERM:Creature->Kreatur,,
500,(This is perhaps the wisest creature you've ever met. You are fortunate to have such a knowledgeable creature on your side.),"(Dies ist vielleicht das weiseste Wesen, dem du je begegnet bist. Du hast Glück, ein so kluges Wesen an deiner Seite zu haben.)",TERM:Creature->Kreatur,,
516,(You're constantly amazed at just how badly this creature smells.),"(Du bist ständig erstaunt darüber, wie unglaublich schlecht dieses Wesen riecht.)",TERM:Creature->Kreatur,,
527,"(Its bandages smell like sweat and mold. It might be nice to exchange them for clean ones, but what happens if the creature is made out of nothing but its wrappings?)","(Seine Bandagen riechen nach Schweiß und Schimmel. Es wäre vielleicht gut, sie gegen saubere auszutauschen, aber was passiert, wenn das Wesen aus nichts anderem als seinen Umwicklungen besteht?)",TERM:Creature->Kreatur,,
546,(This creature takes a sickening amount of pleasure in being wounded.),"(Dieses Wesen empfindet eine widerliche Menge an Vergnügen daran, verwundet zu werden.)",TERM:Creature->Kreatur,,
562,(This creature reeks. That's it! You'll call it Reek.),(Dieses Wesen stinkt. Das ist es! Du wirst es Stinker nennen.),TERM:Creature->Kreatur,,
579,"If I'm made out of Spell Gems, what happens when I run out of charges?","Wenn ich aus Zauberedelsteinen bestehe, was passiert, wenn mir die Ladungen ausgehen?",TERM:Spell Gems->Zaubersteine,,
626,"(This creature reminds you of Spoonor, so you can't help but treat it a little worse than the others.)","(Dieses Wesen erinnert dich an Spoonor, also kannst du nicht anders, als es ein wenig schlechter zu behandeln als die anderen.)",TERM:Creature->Kreatur,,
628,(This creature constantly cycles between a cacophony of crying and laughter.),(Dieses Wesen wechselt ständig zwischen einer Kakophonie aus Weinen und Lachen.),TERM:Creature->Kreatur,,
634,"(Though this creature dons a humanoid appearance, its mannerisms are all but natural.)","(Obwohl dieses Wesen ein menschenähnliches Aussehen trägt, sind seine Verhaltensweisen alles andere als natürlich.)",TERM:Creature->Kreatur,,
639,(It's busy snorting and sniffing at the ground. Not exactly the smartest creature you've ever met.),"(Es ist damit beschäftigt, am Boden zu schnauben und zu schnüffeln. Nicht gerade das klügste Wesen, dem du je begegnet bist.)",TERM:Creature->Kreatur,,
645,"(Such a horrifying yet fascinating creature... you don't want to look, but you can't seem to tear your gaze away from it.)","(Ein so erschreckendes und doch faszinierendes Wesen... du willst nicht hinsehen, aber du kannst deinen Blick einfach nicht davon abwenden.)",TERM:Creature->Kreatur,,
646,(This creature is so young that you can't help but feel like a criminal for making it fight for you.),"(Dieses Wesen ist so jung, dass du dich unweigerlich wie ein Verbrecher fühlst, weil du es für dich kämpfen lässt.)",TERM:Creature->Kreatur,,
649,(This creature seems to lack any semblance of emotion. It is merely an animated object and nothing more.),(Dieses Wesen scheint keinerlei Anzeichen von Emotionen zu haben. Es ist lediglich ein belebter Gegenstand und nichts weiter.),TERM:Creature->Kreatur,,
688,(You would have loved to keep one of these creatures as a pet when you were a child.),(Als Kind hättest du eines dieser Wesen gerne als Haustier behalten.),TERM:Creatures->Kreaturen,,
744,(You should keep a close eye on this creature. You never know what it's capable of doing.),"(Du solltest dieses Wesen genau im Auge behalten. Man weiß nie, wozu es fähig ist.)",TERM:Creature->Kreatur,,
766,(It yawns loudly before smacking its lips. Torun would hate this creature.),"(Es gähnt laut, bevor es mit den Lippen schmatzt. Torun würde dieses Wesen hassen.)",TERM:Creature->Kreatur,,
771,(This creature gets its name from the fact that it was an unknown species until very recently. You're fortunate to have one in your possession.),"(Dieses Wesen erhält seinen Namen daher, dass es bis vor kurzem eine unbekannte Spezies war. Du hast Glück, eines in deinem Besitz zu haben.)",TERM:Creature->Kreatur,,
781,(This creature is quite the rascal. Keep it well-fed if you don't want to get on its bad side.),"(Dieses Wesen ist ein echter Schlingel. Halte es gut gefüttert, wenn du dich nicht mit ihm anlegen willst.)",TERM:Creature->Kreatur,,
