Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_OW_DESTROYED,,Destroyed!,破壊された！,Zerstört!,Détruit !,¡Destruido!,Destruído!,Уничтожено!,Distrutto!,摧毀！,已摧毁！,파괴됐다!,Zniszczony!,Знищено!,Vernietigd!,Yok edildi!
L_OW_RIFTSEALED,,Rift Sealed!,リフト封印完了！,Riss versiegelt!,Faille scellée !,¡Fisura sellada!,Fenda Selada!,Разлом запечатан!,Fenditura Sigillata!,裂隙已封印！,裂隙已封印！,균열 봉인!,Szczelina Zapieczętowana!,Розлом запечатано!,Scheur Verzegeld!,Yarık Mühürlendi!
L_OW_SORCERY_PORTAL,,This portal is summoning strange creatures from the future!\n\nThe creatures attack!,この門は未来から奇妙な生物を召喚している！\n\n生物が襲いかかってきた！,Dieses Portal beschwört seltsame Kreaturen aus der Zukunft!\n\nDie Kreaturen greifen an!,Ce portail invoque d'étranges créatures du futur !\n\nLes créatures attaquent !,Este portal está invocando extrañas criaturas del futuro!\n\n¡Las criaturas atacan!,Este portal está invocando criaturas estranhas do futuro!\n\nAs criaturas atacam!,Этот портал призывает странных существ из будущего!\n\nСущества атакуют!,Questo portale sta evocando strane creature dal futuro!\n\nLe creature attaccano!,這個傳送門正在召喚來自未來的奇怪生物！\n\n這些生物發動攻擊！,这个传送门正在召唤来自未来的奇怪生物！\n\n这些生物发起了攻击！,이 포털은 미래에서 이상한 생물체들을 소환하고 있다!\n\n생물체들이 공격해온다!,Ten portal przywołuje dziwne stworzenia z przyszłości!\n\nStworzenia atakują!,Цей портал викликає дивних істот з майбутнього!\n\nІстоти атакують!,Dit portaal roept vreemde wezens op uit de toekomst!\n\nDe wezens vallen aan!,Bu portal gelecekten tuhaf yaratıklar çağırıyor!\n\nYaratıklar saldırıyor!
L_OW_SPACE_SPIRE,,"Upon your approach, the strange spire begins to pulse rapidly. Moments later, an army of strange-looking creatures stands before you.\n\nThe creatures attack!",近づくと、奇妙な尖塔が急速に脈動し始める。数瞬後、奇妙な姿をした生物の軍団があなたの前に立ちはだかる。\n\n生物たちが襲いかかってきた！,Bei deiner Annäherung beginnt die seltsame Spitze schnell zu pulsieren. Kurz darauf steht eine Armee seltsam aussehender Kreaturen vor dir.\n\nDie Kreaturen greifen an!,"À votre approche, l'étrange flèche commence à pulser rapidement. Quelques instants plus tard, une armée de créatures à l'aspect étrange se dresse devant vous.\n\nLes créatures attaquent !","Al acercarte, la extraña aguja comienza a pulsar rápidamente. Momentos después, un ejército de criaturas de aspecto extraño se alza ante ti.\n\nLas criaturas atacan!","Ao se aproximar, a estranha torre começa a pulsar rapidamente. Momentos depois, um exército de criaturas de aparência estranha está diante de você.\n\nAs criaturas atacam!",При вашем приближении странный шпиль начинает быстро пульсировать. Мгновения спустя перед вами стоит армия странных существ.\n\nСущества атакуют!,"All'avvicinarti, la strana guglia inizia a pulsare rapidamente. Pochi istanti dopo, un esercito di creature dall'aspetto bizzarro si erge davanti a te.\n\nLe creature attaccano!",當你靠近時，奇怪的尖塔開始快速地脈動。片刻之後，一群外形怪異的生物出現在你面前。\n\n這些生物發動攻擊！,当你靠近时，这座奇怪的尖塔开始快速脉动。片刻之后，一群奇怪的生物出现在你面前。\n\n这些生物发起了攻击！,"당신이 다가가자, 이상한 첨탑이 빠르게 맥동하기 시작합니다. 잠시 후, 기이한 모습의 생물들로 이루어진 군대가 당신 앞에 서 있습니다.\n\n생물들이 공격합니다!","Gdy się zbliżasz, dziwna iglica zaczyna pulsować coraz szybciej. Chwilę później przed tobą staje armia dziwnie wyglądających stworzeń.\n\nStworzenia atakują!","Коли ви наближаєтесь, дивна вежа починає швидко пульсувати. За мить перед вами постає армія дивних істот.\n\nІстоти атакують!",Bij je nadering begint de vreemde torenspits snel te pulseren. Momenten later staat er een leger van vreemd uitziende wezens voor je.\n\nDe wezens vallen aan!,"Yaklaştığınızda, garip kule hızla titreşmeye başlar. Birkaç an sonra, tuhaf görünümlü yaratıklardan oluşan bir ordu karşınızda duruyor.\n\nYaratıklar saldırıyor!"
L_OW_ALCHEMY_C1,,Vial of Blue Liquid,青い液体の小瓶,Phiole mit blauer Flüssigkeit,Fiole de Liquide Bleu,Vial de Líquido Azul,Frasco de Líquido Azul,Флакон с синей жидкостью,Fiala di Liquido Blu,藍色液體瓶,一小瓶蓝色液体,푸른 액체 병,Fiolka Niebieskiego Płynu,Флакон синьої рідини,Flesje Blauwe Vloeistof,Mavi Sıvı Şişesi
L_OW_ALCHEMY_C2,,Pouch of Pink Flakes,ピンクの粉末の袋,Beutel mit rosa Flocken,Sacoche de Flocons Roses,Bolsa de Escamas Rosadas,Bolsa de Flocos Rosados,Мешочек розовых хлопьев,Sacchetto di Scaglie Rosa,粉紅碎片袋,一小袋粉色薄片,분홍색 조각 주머니,Sakiewka Różowych Płatków,Мішечок рожевих пластівців,Zakje Roze Vlokken,Pembe Pullar Kesesi
L_OW_ALCHEMY_C3,,Tincture of Yellow Oil,黄色油の調合薬,Tinktur aus gelbem Öl,Teinture d'Huile Jaune,Tintura de Aceite Amarillo,Tintura de Óleo Amarelo,Настойка Желтого Масла,Tintura di Olio Giallo,黃油酊劑,黄色油状酊剂,황유 팅크,Nalewka z Żółtego Oleju,Настоянка жовтої олії,Tinctuur van Gele Olie,Sarı Yağ Tentürü
L_OW_ALCHEMY_C4,,Bottle of Red Gas,赤いガスの瓶,Flasche mit rotem Gas,Bouteille de Gaz Rouge,Botella de Gas Rojo,Garrafa de Gás Vermelho,Бутылка красного газа,Bottiglia di Gas Rosso,紅色氣體瓶,一瓶红色气体,붉은 가스 병,Butelka Czerwonego Gazu,Пляшка Червоного Газу,Fles Rood Gas,Kırmızı Gaz Şişesi
L_OW_ALCHEMY_C5,,Flask of Green Ooze,緑色の粘液のフラスコ,Flasche mit grünem Schleim,Flacon de Limon Vert,Frasco de Limo Verde,Frasco de Gosma Verde,Фляга с Зелёной Слизью,Fiala di Melma Verde,綠色軟泥瓶,一瓶绿色软泥,녹색 점액 플라스크,Flakon Zielonego Śluzu,Фляга зеленого слизу,Flacon Groene Slijm,Yeşil Balçık Şişesi
L_OW_ALCHEMY_DONE,,You have already conducted an experiment here.,すでにここで実験を行っています。,Du hast hier bereits ein Experiment durchgeführt.,Vous avez déjà mené une expérience ici.,Ya has realizado un experimento aquí.,Você já conduziu um experimento aqui.,Вы уже проводили здесь эксперимент.,Hai già condotto un esperimento qui.,你已經在這裡進行過實驗了。,你已经在这里进行过实验了。,당신은 이미 여기서 실험을 수행했습니다.,Przeprowadziłeś już tutaj eksperyment.,Ви вже проводили тут експеримент.,Je hebt hier al een experiment uitgevoerd.,Burada zaten bir deney yaptın.
