Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_B_HIST_FORFEITED,,Player forfeited the battle,プレイヤーは戦闘を放棄した,Spieler hat den Kampf aufgegeben,Le joueur a abandonné le combat,El jugador abandonó la batalla,Jogador desistiu da batalha,Игрок сдался в бою,Il giocatore ha abbandonato la battaglia,玩家放棄了戰鬥,玩家放弃了战斗,플레이어가 전투를 포기했습니다,Gracz poddał walkę,Гравець здався в бою,Speler heeft de strijd opgegeven,Oyuncu savaştan çekildi
L_B_INTRO_SINGULAR,1 = enemy name,A hostile {1} appeared.,敵の{1}が現れた。,Ein feindliches {1} ist erschienen.,Un {1} hostile est apparu.,Un {1} hostil apareció.,Um {1} hostil apareceu.,Появился враждебный {1}.,Un {1} ostile è apparso.,一個敵對的{1}出現了。,一个敌对的{1}出现了。,적대적인 {1}이(가) 나타났다.,Pojawił się wrogi {1}.,Ворожий {1} з'явився.,Een vijandige {1} verscheen.,Düşmanca bir {1} belirdi.
L_B_INTRO_PACK,,A hostile group of creatures appeared.,敵対的な生物の集団が現れた。,Eine feindliche Gruppe von Kreaturen ist erschienen.,Un groupe de créatures hostiles est apparu.,Un grupo hostil de criaturas apareció.,Um grupo hostil de criaturas apareceu.,Появилась враждебная группа существ.,Un gruppo ostile di creature è apparso.,一群敵對的生物出現了。,一群敌对的生物出现了。,적대적인 생물 무리가 나타났다.,Pojawiła się wroga grupa stworzeń.,Ворожа група істот з'явилася.,Een vijandige groep wezens verscheen.,Düşmanca bir yaratık grubu belirdi.
L_B_INTRO_FINAL,,The final battle has begun.,最終決戦が始まった。,Der letzte Kampf hat begonnen.,Le combat final a commencé.,La batalla final ha comenzado.,A batalha final começou.,Финальная битва началась.,La battaglia finale è iniziata.,最終決戰已經開始。,最终战开始了。,최종 전투가 시작되었다.,Ostateczna bitwa się rozpoczęła.,Фінальна битва почалася.,De laatste strijd is begonnen.,Son savaş başladı.
L_B_CALIBAN_APPEARED,,Caliban appeared.,カリバンが現れた。,Caliban erschien.,Caliban est apparu.,Caliban apareció.,Caliban apareceu.,Калибан появился.,Caliban è apparso.,卡利班出現了。,卡利班出现了。,칼리반이 나타났다.,Pojawił się Caliban.,Каліба́н з'явився.,Caliban verscheen.,Caliban belirdi.
L_B_BOSS_APPEARED,1 = boss name,{1} appeared.,{1}が現れた。,{1} erschien.,{1} est apparu.,{1} apareció.,{1} apareceu.,{1} появился.,{1} è apparso.,{1}出現了。,{1}出现了。,{1} 등장했다.,{1} pojawił się.,{1} з'явився.,{1} verscheen.,{1} belirdi.
L_B_SCYLLA_CHARYBDIS_APPEARED,,Scylla and Charybdis appeared.,スキュラとカリュブディスが現れた。,Scylla und Charybdis erschienen.,Scylla et Charybde sont apparues.,Escila y Caribdis aparecieron.,Cila e Caríbdis apareceram.,Сцилла и Харибда появились.,Scilla e Cariddi sono apparse.,斯庫拉和卡律布狄斯出現了。,斯库拉与卡律布狄斯出现了。,스킬라와 카립디스가 나타났다.,Scylla i Charybda pojawiły się.,Сцилла і Харібда з'явилися.,Scylla en Charybdis verschenen.,Scylla ve Charybdis belirdi.
L_B_JUDGMENT_MERCY_APPEARED,,Judgment and Mercy appeared.,審判と慈悲が現れた。,Urteil und Gnade erschienen.,Jugement et Miséricorde sont apparus.,Juicio y Misericordia aparecieron.,Julgamento e Misericórdia apareceram.,Появились Правосудие и Милосердие.,Giudizio e Misericordia sono apparsi.,審判與慈悲出現了。,审判与仁慈出现了。,심판과 자비가 나타났다.,Pojawiły się Osąd i Miłosierdzie.,Суд і Милосердя з'явилися.,Oordeel en Genade verschenen.,Yargı ve Merhamet belirdi.
L_B_NEMESIS_INTRO1,"1 = affix name, 2 = description",You've been attacked by a pack of Nemesis Creatures with the {1} affix: {2},ネメシス・クリーチャーの群れに襲われました。アフィックス{1}：{2},Du wurdest von einer Gruppe Nemesis-Kreaturen mit dem {1}-Affix angegriffen: {2},Vous avez été attaqué par une meute de Créatures Némésis avec l'affix {1} : {2},Has sido atacado por un grupo de Criaturas Némesis con el afijo {1}: {2},Você foi atacado por um bando de Criaturas Nemesis com o afixo {1}: {2},На вас напала стая Существ Немезиды с аффиксом {1}: {2},Sei stato attaccato da un branco di Creature Nemesi con l'affix {1}: {2},你遭到一群帶有{1}詞綴的復仇生物襲擊：{2},你被一群带有{1}词缀的宿敌生物袭击了：{2},당신은 {1} 접사를 가진 네메시스 생물 무리에게 공격받았습니다: {2},Zostałeś zaatakowany przez grupę Stworzeń Nemezis z afiksem {1}: {2},Вас атакувала зграя Істот Немезиди з афіксом {1}: {2},Je bent aangevallen door een groep Nemesis Wezens met het {1} affix: {2},Bir grup {1} özelliğine sahip Nemesis Yaratığı tarafından saldırıya uğradınız: {2}
L_B_NEMESIS_INTRO2,1 = affix name,You've been attacked by a pack of Nemesis Creatures with the {1} affix.,{1}アフィックスを持つネメシス・クリーチャーの群れに襲われた。,Du wurdest von einer Gruppe Nemesis-Kreaturen mit dem {1}-Affix angegriffen.,Vous avez été attaqué par une meute de Créatures Némésis avec l'affix {1}.,Has sido atacado por un grupo de Criaturas Némesis con el afijo {1}.,Você foi atacado por um bando de Criaturas Nêmesis com o afixo {1}.,Вы подверглись нападению стаи Существ Немезиды с аффиксом {1}.,Sei stato attaccato da un branco di Creature Nemesi con l'affinità {1}.,你遭到了一群帶有{1}詞綴的復仇生物的襲擊。,你被一群带有{1}词缀的宿敌生物袭击了。,당신은 {1} 접사를 가진 네메시스 생물 무리에게 공격받았습니다.,Zostałeś zaatakowany przez grupę Stworzeń Nemezis z afiksem {1}.,Вас атакувала зграя Істот Немезиди з афіксом {1}.,Je bent aangevallen door een groep Nemesis Wezens met het {1} affix.,Bir grup {1} özelliğine sahip Nemesis Yaratığı tarafından saldırıya uğradınız.
