line,english,german,issues,reviewed,replacement
7,"(The creature guarding the treasure gazes deep into your soul with its single eye. Evidently not liking what it found, it moves to attack! How rude!)","(Das Wesen, das den Schatz bewacht, blickt mit seinem einzelnen Auge tief in deine Seele. Offensichtlich gefällt ihm nicht, was es dort gefunden hat, und es greift an! Wie unhöflich!)",TERM:Creature->Kreatur,,
12,(Your magical senses feel a surge of energy - the only warning you get before one of your creatures pushes you out of the path of a charging Apis!),"(Deine magischen Sinne spüren einen Energieschub - die einzige Warnung, die du bekommst, bevor eines deiner Wesen dich aus dem Weg eines anstürmenden Apis stößt!)",TERM:Creatures->Kreaturen,,
67,(The creature guarding the treasure hoard starts to make utterly bizarre noises you can't even begin to describe. Its allies soon show up and a fight breaks out!),"(Das Wesen, das den Schatz bewacht, beginnt völlig bizarre Geräusche zu machen, die du nicht einmal ansatzweise beschreiben kannst. Seine Verbündeten tauchen bald auf und ein Kampf bricht aus!)",TERM:Creature->Kreatur,,
125,"(The Wyvern inhales deeply to issue forth one of its infamously deadly shrieks, but one of your creatures quickly throws a rock in its mouth. You press the advantage and attack!)","(Der Lindwurm holt tief Luft, um einen seiner berüchtigten tödlichen Schreie auszustoßen, doch eines deiner Wesen wirft schnell einen Stein in sein Maul. Du nutzt den Vorteil und greifst an!)",TERM:Creatures->Kreaturen,,
145,"(A large hairy creature sits on top of the treasure pile, scratching its chin thoughtfully as you approach. Suddenly, with speed you'd have thought impossible, it darts upright and challenges you!)","(Ein großes, haariges Wesen sitzt auf dem Schatz und kratzt sich nachdenklich am Kinn, als du dich näherst. Plötzlich, mit einer Geschwindigkeit, die du für unmöglich gehalten hättest, schnellt es hoch und fordert dich heraus!)",TERM:Creature->Kreatur,,
214,"(It tries to mumble something at you, but its mouths have been stitched shut. This poor creature's death can surely only be a release from its torment.)","(Es versucht, dir etwas zuzumurmeln, aber seine Münder wurden zugenäht. Der Tod dieses armen Wesens kann sicherlich nur eine Erlösung von seiner Qual sein.)",TERM:Creature->Kreatur,,
278,"(One of your creatures suddenly shoves into you, barging you aside! As you turn to admonish it, you notice it grappling with a creature that had been posing as your shadow to ambush you!)","(Eines deiner Wesen stößt plötzlich gegen dich und drängt dich zur Seite! Als du dich umdrehst, um es zurechtzuweisen, bemerkst du, dass es mit einer Kreatur ringt, die sich als dein Schatten ausgegeben hatte, um dich aus dem Hinterhalt anzugreifen!)",TERM:Creatures->Kreaturen,,
347,"(A small, fluffy creature hops back and forth on top of the treasure hoard, emitting small growls! As cute as it is, you get the feeling that it's not going to let you have the treasure of its own free will.)","(Ein kleines, flauschiges Wesen hüpft auf dem Schatz hin und her und stößt leise Knurrlaute aus! So niedlich es auch ist, du hast das Gefühl, dass es dir den Schatz nicht freiwillig überlassen wird.)",TERM:Creature->Kreatur,,
369,"(An enlarged body part hovers in the air before you, approaching you with intent. You're not really sure how you determine a disembodied creature part's intent, only that you can and it needs stopping.)","(Ein vergrößerter Körperteil schwebt in der Luft vor dir und nähert sich dir mit Absicht. Du bist dir nicht wirklich sicher, wie du die Absicht eines körperlosen Wesensteils bestimmen kannst, nur dass du es kannst und es aufgehalten werden muss.)",TERM:Creature->Kreatur,,
380,"(A bizarre hybridized creature stands before you, brandishing weapons. Your thoughts turn briefly to the fusion station in your castle, wondering if this was some form of fusing mishap. Either way, it needs to die before you can claim your prize.)","(Ein bizarres Hybridwesen steht vor dir und schwingt Waffen. Deine Gedanken wandern kurz zur Fusionsstation in deinem Schloss, und du fragst dich, ob dies eine Art Fusionsunfall war. Wie auch immer, es muss sterben, bevor du deinen Preis beanspruchen kannst.)",TERM:Creature->Kreatur,,
388,"(An unusual mechanical creature in the shape of an insect skitters forward maliciously. You consider it a shame to destroy such a beautifully crafted construct, but your survival cannot be compromised.)","(Ein ungewöhnliches mechanisches Wesen in Form eines Insekts huscht bösartig vorwärts. Du findest es schade, ein so wunderschön gefertigtes Konstrukt zu zerstören, aber dein Überleben darf nicht gefährdet werden.)",TERM:Creature->Kreatur,,
406,"(Little is known of the Nihilists, so you decide to approach with as much caution as possible. This creature could be capable of anything.)","(Über die Nihilisten ist wenig bekannt, also beschließt du, mit größtmöglicher Vorsicht vorzugehen. Dieses Wesen könnte zu allem fähig sein.)",TERM:Creature->Kreatur,,
483,(Monstrosity? Surely that's a bit dramatic considering she's the most human-looking creature in all of Rodia...),"(Monstrosität? Das ist sicherlich etwas übertrieben, wenn man bedenkt, dass sie das menschlichste Wesen in ganz Rodia ist...)",TERM:Creature->Kreatur,,
512,"(This must be Cyhra. You always thought this creature was merely a fictitious product of old legends, but it seems you were wrong.)","(Das muss Cyhra sein. Du dachtest immer, dieses Wesen sei nur ein fiktives Produkt alter Legenden, aber anscheinend hast du dich geirrt.)",TERM:Creature->Kreatur,,
575,"(A massive dragon-like creature descends from a hidden perch, wings outstretched as it lands atop the treasure pile with surprising grace for its size!)","(Ein riesiges drachenähnliches Wesen steigt von einem verborgenen Sitz herab, die Flügel ausgebreitet, als es mit überraschender Anmut für seine Größe auf dem Schatz landet!)",TERM:Creature->Kreatur,,
